ACC,ENTRY,ENS,SPEC,COUNT,InParanoid,InParanoidCore,OMA_Groups,OMA_Pairs,PANTHER8_LDO,RBH,RSD,Orthoinspector,Hieranoid_2,EnsemblCompara_v2,PANTHER8_all,Metaphors,PhylomeDB,EggNOG
Q97UH1,Q97UH1_SULSO,nan,SULSO,12.0,1,1,1,,1,,1,1,1,1,1,1,1,1
B8E1L9,B8E1L9_DICTD,nan,DICTD,9.0,1,1,1,,,,1,1,,,1,1,1,1
A9WJA8,A9WJA8_CHLAA,nan,CHLAA,8.0,1,,1,,,,1,1,,,1,1,1,1
Q5JDT9,Q5JDT9_THEKO,nan,THEKO,7.0,1,,,,1,,1,1,,,1,,1,1
Q9X0U9,Q9X0U9_THEMA,nan,THEMA,6.0,,,,,1,,1,1,,,1,,1,1
Q9WXN7,Q9WXN7_THEMA,nan,THEMA,5.0,,,1,,,,,1,,,1,,1,1
Q8RGT6,Q8RGT6_FUSNN,nan,FUSNN,5.0,,1,,,1,,,1,,,1,,,1
Q8TSF6,Q8TSF6_METAC,nan,METAC,5.0,,,,,1,,1,1,,,1,,,1
A9U6C2,A9U6C2_PHYPA,nan,PHYPA,4.0,,,,,1,,,,1,1,1,,,
B8DYW0,B8DYW0_DICTD,nan,DICTD,4.0,,,,,,,,1,,,1,1,1,
Q8CJQ7,Q8CJQ7_STRCO,nan,STRCO,3.0,,,,,1,,,1,,,1,,,
Q8THB7,Q8THB7_METAC,nan,METAC,3.0,,,,,,,,1,,1,1,,,
B8E3C0,B8E3C0_DICTD,nan,DICTD,3.0,,,,,,,,,,,1,1,1,
B8DYN9,B8DYN9_DICTD,nan,DICTD,3.0,,,,,,,,,,,1,1,1,
Q9WXS7,Q9WXS7_THEMA,nan,THEMA,2.0,,,,,,,,,,,1,,1,
Q7UHZ1,Q7UHZ1_RHOBA,nan,RHOBA,2.0,,,,,,,1,1,,,,,,
Q9WYD7,Q9WYD7_THEMA,nan,THEMA,2.0,,,,,,,,,,,1,,1,
Q8TPJ8,Q8TPJ8_METAC,nan,METAC,2.0,,,,,,,,1,,,1,,,
Q8TN09,Q8TN09_METAC,nan,METAC,2.0,,,1,,,,,1,,,,,,
Q9X0S5,Q9X0S5_THEMA,nan,THEMA,2.0,,,,,,,,,,,1,,1,
Q8EYI6,Q8EYI6_LEPIN,nan,LEPIN,2.0,,,,,,,1,1,,,,,,
Q8REI9,Q8REI9_FUSNN,nan,FUSNN,1.0,,,,,,,,1,,,,,,
Q8RGA9,Q8RGA9_FUSNN,nan,FUSNN,1.0,,,,,,,,1,,,,,,
Q8RIQ0,Q8RIQ0_FUSNN,nan,FUSNN,1.0,,,,,,,,1,,,,,,
A6V711,A6V711_PSEA7,nan,PSEA7,1.0,,,,,,,,1,,,,,,
Q8RIR6,Q8RIR6_FUSNN,nan,FUSNN,1.0,,,,,,,,1,,,,,,
Q8TIA5,Q8TIA5_METAC,nan,METAC,1.0,,,,,,,,1,,,,,,
Q8TKE4,Q8TKE4_METAC,nan,METAC,1.0,,,,,,,,1,,,,,,
Q8TN12,Q8TN12_METAC,nan,METAC,1.0,,,,,,,,1,,,,,,
Q8RDY3,Q8RDY3_FUSNN,nan,FUSNN,1.0,,,,,,,,1,,,,,,
Q9F3B1,Q9F3B1_STRCO,nan,STRCO,1.0,,,,,,,,1,,,,,,
Q9RYU7,Q9RYU7_DEIRA,nan,DEIRA,1.0,,,,,,,,1,,,,,,
Q8TSU5,Q8TSU5_METAC,nan,METAC,1.0,,,,,,,,1,,,,,,
Q7NDV7,Q7NDV7_GLOVI,nan,GLOVI,1.0,,,,,,,,1,,,,,,
Q8CJP3,Q8CJP3_STRCO,nan,STRCO,1.0,,,,,,,,1,,,,,,
A6VBL8,A6VBL8_PSEA7,nan,PSEA7,1.0,,,,,,,,1,,,,,,
B0R7N8,B0R7N8_HALS3,nan,HALS3,1.0,,,,,,,,1,,,,,,
B0R7P5,B0R7P5_HALS3,nan,HALS3,1.0,,,,,,,,1,,,,,,
B0R828,B0R828_HALS3,nan,HALS3,1.0,,,,,,,,1,,,,,,
B1L483,B1L483_KORCO,nan,KORCO,1.0,,,,,,,,,,,,,,1
O66777,O66777_AQUAE,nan,AQUAE,1.0,,,,,,,,1,,,,,,
O69633,O69633_MYCTO,nan,MYCTU,1.0,,,,,,,,1,,,,,,
P0AEF8,DPPB_ECOLI,nan,ECOLI,1.0,,,,,,,,1,,,,,,
P0AFH2,OPPB_ECOLI,nan,ECOLI,1.0,,,,,,,,1,,,,,,
P0AGH3,SAPB_ECOLI,nan,ECOLI,1.0,,,,,,,,1,,,,,,
P24138,OPPB_BACSU,nan,BACSU,1.0,,,,,,,,1,,,,,,
P26903,DPPB_BACSU,nan,BACSU,1.0,,,,,,,,1,,,,,,
P33591,NIKB_ECOLI,nan,ECOLI,1.0,,,,,,,,1,,,,,,
P42062,APPB_BACSU,nan,BACSU,1.0,,,,,,,,1,,,,,,
P66966,nan,nan,nan,1.0,,,,,,,,1,,,,,,
P73631,P73631_SYNY3,nan,SYNY3,1.0,,,,,,,,1,,,,,,
P75798,GSIC_ECOLI,nan,ECOLI,1.0,,,,,,,,1,,,,,,
Q55652,Q55652_SYNY3,nan,SYNY3,1.0,,,,,,,,1,,,,,,
Q5JEM2,Q5JEM2_THEKO,nan,THEKO,1.0,,,,,,,,,,,1,,,
Q74D85,Q74D85_GEOSL,nan,GEOSL,1.0,,,,,,,1,,,,,,,
nan,nan,ENSXETP00000018485,XENTR,1.0,,,,,,,,,,,,1,,
