ACC,ENTRY,ENS,SPEC,COUNT,InParanoid,InParanoidCore,OMA_Groups,OMA_Pairs,PANTHER8_LDO,RBH,RSD,Orthoinspector,Hieranoid_2,EnsemblCompara_v2,PANTHER8_all,Metaphors,PhylomeDB,EggNOG
H2SDJ3,H2SDJ3_TAKRU,ENSTRUP00000010474,TAKRU,10.0,,,1,,1,1,1,1,1,1,1,1,1,
Q9I8Y7,Q9I8Y7_DANRE,nan,DANRE,7.0,,,,,,1,1,1,1,1,,1,1,
Q2PRD6,Q2PRD6_DANRE,nan,DANRE,5.0,,,,,,,,1,1,1,,1,1,
D3ZF02,D3ZF02_RAT,nan,RAT,3.0,,,,,1,,,,,,1,,1,
F6Q2I3,F6Q2I3_MONDO,ENSMODP00000027613,MONDO,2.0,,,,,,,,,,,,1,1,
H2Q306,H2Q306_PANTR,ENSPTRP00000005734,PANTR,2.0,,,,,,,,,,,,1,1,
H2Q2Z9,H2Q2Z9_PANTR,ENSPTRP00000005718,PANTR,2.0,,,,,,,,,,,,1,1,
F7G2Q3,F7G2Q3_MONDO,ENSMODP00000014886,MONDO,2.0,,,,,,,,,,,,1,1,
F7F4J0,F7F4J0_MONDO,ENSMODP00000013805,MONDO,2.0,,,,,,,,,,,,1,1,
F7EMK6,F7EMK6_MONDO,ENSMODP00000013846,MONDO,2.0,,,,,1,,,,,,1,,,
F6WLD5,F6WLD5_XENTR,ENSXETP00000036226,XENTR,2.0,,,,,1,,,,,,1,,,
F6U0H8,F6U0H8_MONDO,ENSMODP00000014560,MONDO,2.0,,,,,,,,,,,,1,1,
F6T6S4,F6T6S4_MONDO,ENSMODP00000014001,MONDO,2.0,,,,,1,,,,,,1,,,
F6RKE3,F6RKE3_MONDO,ENSMODP00000014286,MONDO,2.0,,,,,,,,,,,,1,1,
F6QCD4,F6QCD4_MONDO,ENSMODP00000014468,MONDO,2.0,,,,,,,,,,,,1,1,
F6QBI5,F6QBI5_MONDO,ENSMODP00000014474,MONDO,2.0,,,,,,,,,,,,1,1,
F6Q1P0,F6Q1P0_MONDO,ENSMODP00000027625,MONDO,2.0,,,,,,,,,,,,1,1,
H2Q311,H2Q311_PANTR,ENSPTRP00000005744,PANTR,2.0,,,,,,,,,,,,1,1,
F6Q1N0,F6Q1N0_MONDO,ENSMODP00000027626,MONDO,2.0,,,,,,,,,,,,1,1,
F6Q031,F6Q031_MONDO,ENSMODP00000027647,MONDO,2.0,,,,,,,,,,,1,,1,
F6PZL9,F6PZL9_MONDO,ENSMODP00000027657,MONDO,2.0,,,,,,,,,,,,1,1,
F1N0N0,F1N0N0_BOVIN,ENSBTAP00000016501,BOVIN,2.0,,,,,,,,,,,,1,1,
F1MXG3,F1MXG3_BOVIN,ENSBTAP00000011955,BOVIN,2.0,,,,,,,,,,,,1,1,
F1MQS8,F1MQS8_BOVIN,ENSBTAP00000050940,BOVIN,2.0,,,,,,,,,,,,1,1,
F1MFV6,F1MFV6_BOVIN,ENSBTAP00000024399,BOVIN,2.0,,,,,,,,,,,,1,1,
F1MCY6,F1MCY6_BOVIN,ENSBTAP00000046698,BOVIN,2.0,,,,,,,,,,,,1,1,
E1C0X5,nan,nan,nan,2.0,,,,,1,,,,,,1,,,
E1BEI9,E1BEI9_BOVIN,ENSBTAP00000047484,BOVIN,2.0,,,,,,,,,,,,1,1,
D4AEP2,D4AEP2_RAT,nan,RAT,2.0,,,,,,,,,,,,1,1,
D4AE13,D4AE13_RAT,nan,RAT,2.0,,,,,,,,,,,,1,1,
H2Q310,H2Q310_PANTR,ENSPTRP00000005740,PANTR,2.0,,,,,,,,,,,,1,1,
A0PK55,A0PK55_MOUSE,nan,MOUSE,2.0,,,,,,,,,,,,1,1,
H2QFM9,H2QFM9_PANTR,ENSPTRP00000018146,PANTR,2.0,,,,,,,,,,,,1,1,
D4A7Y8,D4A7Y8_RAT,nan,RAT,2.0,,,,,,,,,,,,1,1,
nan,nan,ENSRNOP00000049559,RAT,2.0,,,,,,,,,,,,1,1,
nan,nan,ENSBTAP00000052343,BOVIN,2.0,,,,,,,,,,,,1,1,
nan,nan,ENSBTAP00000052143,BOVIN,2.0,,,,,,,,,,,,1,1,
nan,nan,ENSBTAP00000051996,BOVIN,2.0,,,,,,,,,,,,1,1,
nan,nan,ENSBTAP00000051895,BOVIN,2.0,,,,,,,,,,,,1,1,
nan,nan,ENSBTAP00000050896,BOVIN,2.0,,,,,,,,,,,,1,1,
nan,nan,ENSBTAP00000050822,BOVIN,2.0,,,,,,,,,,,,1,1,
nan,nan,ENSBTAP00000049836,BOVIN,2.0,,,,,,,,,,,,1,1,
nan,nan,ENSBTAP00000048480,BOVIN,2.0,,,,,,,,,,,,1,1,
nan,nan,ENSBTAP00000048254,BOVIN,2.0,,,,,,,,,,,,1,1,
nan,nan,ENSBTAP00000047831,BOVIN,2.0,,,,,,,,,,,,1,1,
Q9H343,O51I1_HUMAN,nan,HUMAN,2.0,,,,,,,,,,,,1,1,
Q8VGZ8,Q8VGZ8_MOUSE,nan,MOUSE,2.0,,,,,,,,,,,,1,1,
Q8VGX3,Q8VGX3_MOUSE,nan,MOUSE,2.0,,,,,,,,,,,,1,1,
Q8VGV8,Q8VGV8_MOUSE,nan,MOUSE,2.0,,,,,,,,,,,,1,1,
Q8VGV5,Q8VGV5_MOUSE,nan,MOUSE,2.0,,,,,,,,,,,,1,1,
Q8VGG4,Q8VGG4_MOUSE,nan,MOUSE,2.0,,,,,,,,,,,,1,1,
Q8VG79,Q8VG79_MOUSE,nan,MOUSE,2.0,,,,,,,,,,,,1,1,
Q8VF06,Q8VF06_MOUSE,nan,MOUSE,2.0,,,,,,,,,,,,1,1,
Q8NGK4,O52K1_HUMAN,nan,HUMAN,2.0,,,,,,,,,,,,1,1,
Q8NGI2,O52N4_HUMAN,nan,HUMAN,2.0,,,,,,,,,,,,1,1,
Q7TRR4,Q7TRR4_MOUSE,nan,MOUSE,2.0,,,,,,,,,,,,1,1,
Q7TRP4,Q7TRP4_MOUSE,nan,MOUSE,2.0,,,,,,,,,,,,1,1,
Q7TRP3,Q7TRP3_MOUSE,nan,MOUSE,2.0,,,,,,,,,,,,1,1,
Q2PRE1,Q2PRE1_DANRE,nan,DANRE,2.0,,,,,1,,,,,,1,,,
D4ACJ4,D4ACJ4_RAT,nan,RAT,2.0,,,,,,,,,,,,1,1,
G5E5Z4,G5E5Z4_BOVIN,ENSBTAP00000044754,BOVIN,2.0,,,,,,,,,,,,1,1,
D3ZJ99,D3ZJ99_RAT,nan,RAT,2.0,,,,,,,,,,,,1,1,
D3ZQM4,D3ZQM4_RAT,nan,RAT,2.0,,,,,,,,,,,,1,1,
D3ZEM2,D3ZEM2_RAT,nan,RAT,2.0,,,,,,,,,,,,1,1,
D3Z9U9,D3Z9U9_RAT,nan,RAT,2.0,,,,,,,,,,,,1,1,
D3ZWV4,D3ZWV4_RAT,nan,RAT,2.0,,,,,,,,,,,,1,1,
D4A3G5,D4A3G5_RAT,nan,RAT,2.0,,,,,,,,,,,,1,1,
D4A4H6,nan,nan,nan,2.0,,,,,,,,,,,,1,1,
D4A2S0,D4A2S0_RAT,nan,RAT,2.0,,,,,,,,,,,,1,1,
Q8VGP9,Q8VGP9_MOUSE,nan,MOUSE,1.0,,,,,,,,,,,1,,,
Q8VGJ8,Q8VGJ8_MOUSE,nan,MOUSE,1.0,,,,,,,,,,,,1,,
Q8VGR6,Q8VGR6_MOUSE,nan,MOUSE,1.0,,,,,,,,,,,,1,,
Q8VG87,Q8VG87_MOUSE,nan,MOUSE,1.0,,,,,,,,,,,,1,,
Q8VGU9,Q8VGU9_MOUSE,nan,MOUSE,1.0,,,,,,,,,,,,1,,
D3ZB08,D3ZB08_RAT,nan,RAT,1.0,,,,,,,,,,,,1,,
Q8VGV6,Q8VGV6_MOUSE,nan,MOUSE,1.0,,,,,,,,,,,,,1,
D3ZAC9,D3ZAC9_RAT,nan,RAT,1.0,,,,,,,,,,,,,1,
D3ZB83,D3ZB83_RAT,nan,RAT,1.0,,,,,,,,,,,,,1,
Q8VGW5,Q8VGW5_MOUSE,nan,MOUSE,1.0,,,,,,,,,,,,1,,
Q8VGE7,Q8VGE7_MOUSE,nan,MOUSE,1.0,,,,,,,,,,,,1,,
D3Z9G7,D3Z9G7_RAT,nan,RAT,1.0,,,,,,,,,,,,1,,
Q8VH00,Q8VH00_MOUSE,nan,MOUSE,1.0,,,,,,,,,,,,1,,
Q8VH21,Q8VH21_MOUSE,nan,MOUSE,1.0,,,,,,,,,,,,1,,
Q9Y4A9,O10H1_HUMAN,nan,HUMAN,1.0,,,,,,,,,,,,1,,
C3YYC7,C3YYC7_BRAFL,nan,BRAFL,1.0,,,,,,,,,,,1,,,
nan,nan,ENSBTAP00000043126,BOVIN,1.0,,,,,,,,,,,,1,,
nan,nan,ENSBTAP00000040991,BOVIN,1.0,,,,,,,,,,,1,,,
nan,nan,ENSBTAP00000033373,BOVIN,1.0,,,,,,,,,,,,1,,
nan,nan,ENSBTAP00000021452,BOVIN,1.0,,,,,,,,,,,,,1,
Q9Z1U4,Q9Z1U4_MOUSE,nan,MOUSE,1.0,,,,,,,,,,,1,,,
Q9YH55,Q9YH55_CHICK,nan,CHICK,1.0,,,,,,,,,,,,,1,
Q9VFW6,Q9VFW6_DROME,nan,DROME,1.0,,,,,,,,,,,1,,,
Q96R09,OR5B2_HUMAN,nan,HUMAN,1.0,,,,,,,,,,,,1,,
Q9VFW5,Q9VFW5_DROME,nan,DROME,1.0,,,,,,,,,,,1,,,
C3ZE86,C3ZE86_BRAFL,nan,BRAFL,1.0,,,,,,,,,,,1,,,
C4Q720,nan,nan,nan,1.0,,,,,,,,,,,1,,,
Q9H2C5,O52A5_HUMAN,nan,HUMAN,1.0,,,,,,,,,,,,1,,
Q9ERX3,Q9ERX3_RAT,nan,RAT,1.0,,,,,,,,,,,1,,,
Q9EQQ7,Q9EQQ7_MOUSE,nan,MOUSE,1.0,,,,,,,,,,,,,1,
Q9EQA6,Q9EQA6_MOUSE,nan,MOUSE,1.0,,,,,,,,,,,1,,,
Q8VGA1,Q8VGA1_MOUSE,nan,MOUSE,1.0,,,,,,,,,,,,1,,
Q8VG25,Q8VG25_MOUSE,nan,MOUSE,1.0,,,,,,,,,,,1,,,
D3ZCZ7,D3ZCZ7_RAT,nan,RAT,1.0,,,,,,,,,,,,,1,
Q8NGH8,O56A4_HUMAN,nan,HUMAN,1.0,,,,,,,,,,,1,,,
