ACC,ENTRY,ENS,SPEC,COUNT,InParanoid,InParanoidCore,OMA_Groups,OMA_Pairs,PANTHER8_LDO,RBH,RSD,Orthoinspector,Hieranoid_2,EnsemblCompara_v2,PANTHER8_all,Metaphors,PhylomeDB,EggNOG
H2SNC2,H2SNC2_TAKRU,ENSTRUP00000013908,TAKRU,4.0,,,,,,,,,,1,1,1,,1
Q5KM62,Q5KM62_CRYNJ,nan,CRYNJ,2.0,,,,,,,,,,,1,1,,
A8BPC0,A8BPC0_GIAIC,nan,GIAIC,2.0,,,,,,,,,,1,1,,,
P09734,TBA3_YEAST,nan,YEAST,2.0,,,,,,,,,,,1,1,,
P38668,TBA1_NEUCR,nan,NEUCR,2.0,,,,,,,,,,,1,1,,
P38669,TBA2_NEUCR,nan,NEUCR,2.0,,,,,,,,,,,1,1,,
B0XU80,B0XU80_ASPFC,nan,ASPFC,2.0,,,,,,,,,,,1,1,,
B0XMJ3,B0XMJ3_ASPFC,nan,ASPFC,2.0,,,,,,,,,,,1,1,,
Q8IFP3,Q8IFP3_PLAF7,nan,PLAF7,2.0,,,,,,,,,,1,1,,,
Q6ZLZ9,Q6ZLZ9_PLAF7,nan,PLAF7,2.0,,,,,,,,,,1,1,,,
P09733,TBA1_YEAST,nan,YEAST,2.0,,,,,,,,,,,1,1,,
P04689,TBA2_SCHPO,nan,SCHPO,1.0,,,,,,,,,,,1,,,
P06604,TBA2_DROME,nan,DROME,1.0,,,,,,,,,,,1,,,
A2E0M4,A2E0M4_TRIVA,nan,TRIVA,1.0,,,,,,,,,,,1,,,
P04688,TBA1_SCHPO,nan,SCHPO,1.0,,,,,,,,,,,1,,,
L7N0B2,L7N0B2_CANFA,ENSCAFP00000012688,CANFA,1.0,,,,,,,,,,,1,,,
P20363,nan,nan,nan,1.0,,,,,,,,,,,1,,,
H2QIR0,H2QIR0_PANTR,ENSPTRP00000021340,PANTR,1.0,,,,,,,,,,,,,,1
F7EMY0,F7EMY0_MACMU,ENSMMUP00000028735,MACMU,1.0,,,,,,,,,,1,,,,
C4QSL9,nan,nan,nan,1.0,,,,,,,,,,1,,,,
C4QLD6,nan,nan,nan,1.0,,,,,,,,,,,1,,,
P11139,TBA1_ARATH,nan,ARATH,1.0,,,,,,,,,,,1,,,
P32255,TBA_DICDI,nan,DICDI,1.0,,,,,,,,,,,1,,,
P29510,nan,nan,nan,1.0,,,,,,,,,,,1,,,
P29511,TBA6_ARATH,nan,ARATH,1.0,,,,,,,,,,,1,,,
C3YW48,C3YW48_BRAFL,nan,BRAFL,1.0,,,,,,,,,,,,,,1
Q0UVE5,Q0UVE5_PHANO,nan,PHANO,1.0,,,,,,,,,,,1,,,
Q0V2K2,Q0V2K2_PHANO,nan,PHANO,1.0,,,,,,,,,,,1,,,
Q26595,Q26595_SCHMA,nan,SCHMA,1.0,,,,,,,,,,,1,,,
Q4QGC5,Q4QGC5_LEIMA,nan,LEIMA,1.0,,,,,,,,,,,1,,,
Q54TA6,Q54TA6_DICDI,nan,DICDI,1.0,,,,,,,,,,,1,,,
Q6C5C0,Q6C5C0_YARLI,nan,YARLI,1.0,,,,,,,,,,,1,,,
Q95UU2,Q95UU2_MONBE,nan,MONBE,1.0,,,,,,,,,,,1,,,
Q9HDT1,Q9HDT1_USTMD,nan,USTMA,1.0,,,,,,,,,,,1,,,
Q9XXH2,Q9XXH2_CAEEL,nan,CAEEL,1.0,,,,,,,,,,,,1,,
nan,nan,ENSBTAP00000041397,BOVIN,1.0,,,,,,,,,,1,,,,
nan,nan,ENSBTAP00000044229,BOVIN,1.0,,,,,,,,,,,,1,,
nan,nan,ENSGALP00000034855,CHICK,1.0,,,,,,,,,,1,,,,
C4Q1R7,nan,nan,nan,1.0,,,,,,,,,,,1,,,
C3Y2K1,C3Y2K1_BRAFL,nan,BRAFL,1.0,,,,,,,,,,1,,,,
