ACC,ENTRY,ENS,SPEC,COUNT,InParanoid,InParanoidCore,OMA_Groups,OMA_Pairs,PANTHER8_LDO,RBH,RSD,Orthoinspector,Hieranoid_2,EnsemblCompara_v2,PANTHER8_all,Metaphors,PhylomeDB,EggNOG
D3ZB77,D3ZB77_RAT,nan,RAT,2.0,,,,,,1,,,,,,1,,
E1BM00,E1BM00_BOVIN,ENSBTAP00000018957,BOVIN,2.0,,,,,,1,,,,,,1,,
E1C5U1,E1C5U1_CHICK,nan,CHICK,2.0,,,,,,1,,,,,,1,,
E2QSI9,E2QSI9_CANFA,ENSCAFP00000029487,CANFA,2.0,,,,,,1,,,,,,1,,
F6VBD3,F6VBD3_ORNAN,ENSOANP00000005320,ORNAN,2.0,,,,,,1,,,,,,1,,
F6VR31,F6VR31_MONDO,ENSMODP00000005536,MONDO,2.0,,,,,,1,,,,,,1,,
F6WA97,F6WA97_MACMU,ENSMMUP00000023183,MACMU,2.0,,,,,,1,,,,,,1,,
H2QBP3,H2QBP3_PANTR,ENSPTRP00000014401,PANTR,2.0,,,,,,1,,,,,,1,,
H2SRM7,H2SRM7_TAKRU,ENSTRUP00000015064,TAKRU,2.0,,,,,,1,,,,,,1,,
Q8VIG0,ZCH14_MOUSE,nan,MOUSE,2.0,,,,,,1,,,,,,1,,
Q8WYQ9,ZCH14_HUMAN,nan,HUMAN,2.0,,,,,,1,,,,,,1,,
H9L2N2,H9L2N2_CHICK,ENSGALP00000035181,CHICK,1.0,,,,,,,,,,,,1,,
Q1MT95,nan,nan,nan,1.0,,,,,,,,,,,,1,,
