ACC,ENTRY,ENS,SPEC,COUNT,InParanoid,InParanoidCore,OMA_Groups,OMA_Pairs,PANTHER8_LDO,RBH,RSD,Orthoinspector,Hieranoid_2,EnsemblCompara_v2,PANTHER8_all,Metaphors,PhylomeDB,EggNOG
H2T3X4,H2T3X4_TAKRU,ENSTRUP00000019362,TAKRU,14.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
B8A4H2,B8A4H2_DANRE,nan,DANRE,13.0,1,1,1,1,1,1,1,1,1,1,1,1,,1
F1PGZ8,F1PGZ8_CANFA,ENSCAFP00000026635,CANFA,3.0,,,,,,,,,,,1,1,,1
H2QAP0,H2QAP0_PANTR,ENSPTRP00000013383,PANTR,3.0,,,,,,,,,,,1,1,,1
Q1JPD9,Q1JPD9_BOVIN,ENSBTAP00000026109,BOVIN,3.0,,,,,,,,,,,1,1,,1
F7G4J2,F7G4J2_MONDO,ENSMODP00000008222,MONDO,3.0,,,,,,,,,,,1,1,,1
Q923Z0,GPC5B_MOUSE,nan,MOUSE,3.0,,,,,,,,,,,1,1,,1
F7HMZ4,F7HMZ4_MACMU,ENSMMUP00000003642,MACMU,3.0,,,,,,,,,,,1,1,,1
E1BT99,E1BT99_CHICK,nan,CHICK,3.0,,,,,,,,,,,1,1,,1
D4A3F5,D4A3F5_RAT,nan,RAT,3.0,,,,,,,,,,,1,1,,1
B7Z831,B7Z831_HUMAN,nan,HUMAN,2.0,,,,,,,,,,,1,,,1
P22815,BOSS_DROME,nan,DROME,1.0,,,,,,,,,,,,,1,
Q9NZH0,GPC5B_HUMAN,ENSP00000300571,HUMAN,1.0,,,,,,,,,,,,1,,
Q3KRC4,GPC5C_RAT,nan,RAT,1.0,,,,,,,,,,1,,,,
nan,nan,ENSCAFP00000032186,CANFA,1.0,,,,,,,,,,1,,,,
P91685,GRM_DROME,nan,DROME,1.0,,,,,,,,,,,,,1,
Q9NQ84,GPC5C_HUMAN,nan,HUMAN,1.0,,,,,,,,,,1,,,,
B0BMG9,B0BMG9_XENTR,ENSXETP00000010002,XENTR,1.0,,,,,,,,,,1,,,,
H2QDS7,H2QDS7_PANTR,ENSPTRP00000016323,PANTR,1.0,,,,,,,,,,1,,,,
B7FAT8,B7FAT8_MOUSE,nan,MOUSE,1.0,,,,,,,,,,1,,,,
F6XKR8,F6XKR8_MACMU,ENSMMUP00000017515,MACMU,1.0,,,,,,,,,,1,,,,
F6PGF3,F6PGF3_MONDO,ENSMODP00000008442,MONDO,1.0,,,,,,,,,,1,,,,
F1NHA6,F1NHA6_CHICK,ENSGALP00000033823,CHICK,1.0,,,,,,,,,,1,,,,
F1MRM8,F1MRM8_BOVIN,ENSBTAP00000024834,BOVIN,1.0,,,,,,,,,,1,,,,
C3YCE0,C3YCE0_BRAFL,nan,BRAFL,1.0,,,,,,,,,1,,,,,
nan,nan,ENSOANP00000005212,ORNAN,1.0,,,,,,,,,,1,,,,
