ACC,ENTRY,ENS,SPEC,COUNT,InParanoid,InParanoidCore,OMA_Groups,OMA_Pairs,PANTHER8_LDO,RBH,RSD,Orthoinspector,Hieranoid_2,EnsemblCompara_v2,PANTHER8_all,Metaphors,PhylomeDB,EggNOG
A7RTG9,A7RTG9_NEMVE,nan,NEMVE,14.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
F6X1Z4,F6X1Z4_ORNAN,ENSOANP00000024430,ORNAN,14.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Q5PRC1,LHFP_DANRE,nan,DANRE,14.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
E1BUW2,E1BUW2_CHICK,nan,CHICK,14.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
H2UI19,H2UI19_TAKRU,ENSTRUP00000036590,TAKRU,14.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
B1WBH5,B1WBH5_XENTR,ENSXETP00000034967,XENTR,14.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Q9Y693,LHFP_HUMAN,nan,HUMAN,13.0,1,1,1,1,1,1,1,1,1,,1,1,1,1
Q8BM86,LHFP_MOUSE,nan,MOUSE,13.0,1,1,1,1,1,1,1,1,1,,1,1,1,1
Q5BJS2,LHFP_RAT,nan,RAT,13.0,1,1,1,1,1,1,1,1,1,,1,1,1,1
H2Q7G2,H2Q7G2_PANTR,ENSPTRP00000009884,PANTR,13.0,1,1,1,1,1,1,1,1,1,,1,1,1,1
F7GID1,F7GID1_MACMU,ENSMMUP00000005977,MACMU,13.0,1,1,1,1,1,1,1,1,1,,1,1,1,1
C3ZEC8,C3ZEC8_BRAFL,nan,BRAFL,12.0,1,1,1,1,,1,1,1,1,1,,1,1,1
Q0P5D5,Q0P5D5_BOVIN,ENSBTAP00000045345,BOVIN,9.0,,,1,1,1,,1,,1,,1,1,1,1
F6ZDS8,F6ZDS8_MONDO,ENSMODP00000006288,MONDO,8.0,1,1,,,,1,1,1,1,1,1,,,
E2R8J3,E2R8J3_CANFA,ENSCAFP00000008984,CANFA,8.0,,,1,1,1,,,,1,,1,1,1,1
E2RKN1,E2RKN1_CANFA,ENSCAFP00000026913,CANFA,7.0,1,1,,,,1,,1,1,1,1,,,
E1BI07,E1BI07_BOVIN,ENSBTAP00000043399,BOVIN,6.0,1,,,,,1,,1,1,1,1,,,
nan,nan,ENSCAFP00000035784,CANFA,4.0,,,,,,,1,,,1,,1,,1
F6REB8,F6REB8_MACMU,ENSMMUP00000001209,MACMU,3.0,,,,,,,,,1,1,1,,,
H2QZ08,H2QZ08_PANTR,ENSPTRP00000038205,PANTR,3.0,,,,,,,,,1,1,1,,,
C4QEY3,nan,nan,nan,3.0,,,,,1,,,,,1,1,,,
Q80SV1,LHPL1_MOUSE,nan,MOUSE,3.0,,,,,,,,,1,1,1,,,
Q80WE5,LHPL1_RAT,nan,RAT,3.0,,,,,,,,,1,1,1,,,
Q86WI0,LHPL1_HUMAN,nan,HUMAN,3.0,,,,,,,,,1,1,1,,,
F6RJR9,F6RJR9_XENTR,ENSXETP00000028107,XENTR,2.0,,,,,,,,,,1,1,,,
C3ZED1,C3ZED1_BRAFL,nan,BRAFL,2.0,,,,,,,,,,,1,1,,
C3YDI9,C3YDI9_BRAFL,nan,BRAFL,2.0,,,,,1,,,,,,1,,,
B7P3U6,B7P3U6_IXOSC,nan,IXOSC,1.0,,,,,,,,,,1,,,,
