ACC,ENTRY,ENS,SPEC,COUNT,InParanoid,InParanoidCore,OMA_Groups,OMA_Pairs,PANTHER8_LDO,RBH,RSD,Orthoinspector,Hieranoid_2,EnsemblCompara_v2,PANTHER8_all,Metaphors,PhylomeDB,EggNOG
B8BWS2,B8BWS2_THAPS,nan,THAPS,4.0,,,,,,1,,,,1,,1,1,
A0NCN0,A0NCN0_ANOGA,nan,ANOGA,1.0,,,,,,,,,,,,,1,
H2QX11,H2QX11_PANTR,ENSPTRP00000035565,PANTR,1.0,,,,,,,,,,,,,1,
F6SYL2,F6SYL2_ORNAN,ENSOANP00000022091,ORNAN,1.0,,,,,,,,,,,,,1,
F6T4A4,F6T4A4_MACMU,ENSMMUP00000028874,MACMU,1.0,,,,,,,,,,,,,1,
F6UF21,F6UF21_MACMU,ENSMMUP00000030087,MACMU,1.0,,,,,,,,,,,,,1,
F6WSY8,F6WSY8_ORNAN,ENSOANP00000009913,ORNAN,1.0,,,,,,,,,,,,,1,
F6YGW0,F6YGW0_MONDO,ENSMODP00000015343,MONDO,1.0,,,,,,,,,,,,,1,
F7CKK8,F7CKK8_MACMU,ENSMMUP00000025688,MACMU,1.0,,,,,,,,,,,,,1,
F7CYU7,F7CYU7_MACMU,ENSMMUP00000006853,MACMU,1.0,,,,,,,,,,,,,1,
F7EIW6,F7EIW6_MONDO,ENSMODP00000003444,MONDO,1.0,,,,,,,,,,,,,1,
F7FHJ7,F7FHJ7_MONDO,ENSMODP00000018836,MONDO,1.0,,,,,,,,,,,,,1,
F7HFT2,F7HFT2_MACMU,ENSMMUP00000031049,MACMU,1.0,,,,,,,,,,,,,1,
H2Q9I0,H2Q9I0_PANTR,ENSPTRP00000012159,PANTR,1.0,,,,,,,,,,,,,1,
H2QII3,H2QII3_PANTR,ENSPTRP00000021111,PANTR,1.0,,,,,,,,,,,,,1,
H2QZL6,H2QZL6_PANTR,ENSPTRP00000039169,PANTR,1.0,,,,,,,,,,,,,1,
F1N331,F1N331_BOVIN,ENSBTAP00000019652,BOVIN,1.0,,,,,,,,,,,,,1,
H2R6D0,H2R6D0_PANTR,ENSPTRP00000049006,PANTR,1.0,,,,,,,,,,,,,1,
H2SNY3,H2SNY3_TAKRU,ENSTRUP00000014120,TAKRU,1.0,,,,,,,,,,,,,1,
O75330,HMMR_HUMAN,nan,HUMAN,1.0,,,,,,,,,,,,,1,
P33332,SEC3_YEAST,nan,YEAST,1.0,,,,,,1,,,,,,,,
P46504,YLX8_CAEEL,nan,CAEEL,1.0,,,,,,1,,,,,,,,
Q1LWB7,Q1LWB7_DANRE,nan,DANRE,1.0,,,,,,,,,,,,,1,
Q4P0M5,Q4P0M5_USTMA,nan,USTMA,1.0,,,,,,,,,,,,,1,
Q4QJH9,Q4QJH9_LEIMA,nan,LEIMA,1.0,,,,,,,,,,,,1,,
Q69ZV8,nan,nan,nan,1.0,,,,,,,,,,,,,1,
Q6AW69,CGNL1_MOUSE,nan,MOUSE,1.0,,,,,,,,,,,,,1,
Q8IWJ2,GCC2_HUMAN,nan,HUMAN,1.0,,,,,,,,,,,,,1,
Q92614,MY18A_HUMAN,nan,HUMAN,1.0,,,,,,,,,,,,,1,
Q9JMH9,MY18A_MOUSE,nan,MOUSE,1.0,,,,,,,,,,,,,1,
F6RJH8,F6RJH8_MACMU,ENSMMUP00000013005,MACMU,1.0,,,,,,,,,,,,,1,
F1MRU6,F1MRU6_BOVIN,ENSBTAP00000043704,BOVIN,1.0,,,,,,1,,,,,,,,
A2DU00,A2DU00_TRIVA,nan,TRIVA,1.0,,,,,,,,,,1,,,,
A2FTW3,A2FTW3_TRIVA,nan,TRIVA,1.0,,,,,,,,,,1,,,,
A2E6Q7,A2E6Q7_TRIVA,nan,TRIVA,1.0,,,,,,,,,,1,,,,
A2EBU9,A2EBU9_TRIVA,nan,TRIVA,1.0,,,,,,,,,,1,,,,
A2EI89,A2EI89_TRIVA,nan,TRIVA,1.0,,,,,,,,,,1,,,,
A2EVS8,A2EVS8_TRIVA,nan,TRIVA,1.0,,,,,,,,,,1,,,,
A2EXS4,A2EXS4_TRIVA,nan,TRIVA,1.0,,,,,,,,,,1,,,,
A2F2E9,A2F2E9_TRIVA,nan,TRIVA,1.0,,,,,,,,,,1,,,,
A2F5V2,A2F5V2_TRIVA,nan,TRIVA,1.0,,,,,,,,,,1,,,,
A2FKS2,A2FKS2_TRIVA,nan,TRIVA,1.0,,,,,,,,,,1,,,,
A2FPP3,A2FPP3_TRIVA,nan,TRIVA,1.0,,,,,,,,,,1,,,,
A2FPX0,A2FPX0_TRIVA,nan,TRIVA,1.0,,,,,,,,,,1,,,,
A2FQ07,A2FQ07_TRIVA,nan,TRIVA,1.0,,,,,,,,,,,,,1,
A2FTL1,A2FTL1_TRIVA,nan,TRIVA,1.0,,,,,,,,,,1,,,,
A2G5Y7,A2G5Y7_TRIVA,nan,TRIVA,1.0,,,,,,,,,,1,,,,
E2RDK6,E2RDK6_CANFA,ENSCAFP00000014266,CANFA,1.0,,,,,,,,,,,,,1,
A8BCK3,A8BCK3_GIAIC,nan,GIAIC,1.0,,,,,,,,,,,,,1,
A8BU68,A8BU68_GIAIC,nan,GIAIC,1.0,,,,,,,,,,1,,,,
B0Y2Y8,B0Y2Y8_ASPFC,nan,ASPFC,1.0,,,,,,,,,,,,,1,
B0Y7Q4,B0Y7Q4_ASPFC,nan,ASPFC,1.0,,,,,,,,,,,,,1,
B7QIX9,B7QIX9_IXOSC,nan,IXOSC,1.0,,,,,,,,,,,,,1,
D4A3V5,D4A3V5_RAT,nan,RAT,1.0,,,,,,,,,,,,,1,
D4AD05,D4AD05_RAT,nan,RAT,1.0,,,,,,,,,,,,,1,
E1BMK9,E1BMK9_BOVIN,ENSBTAP00000053638,BOVIN,1.0,,,,,,,,,,,,,1,
E1BQV2,nan,nan,nan,1.0,,,,,,,,,,,,,1,
