ACC,ENTRY,ENS,SPEC,COUNT,InParanoid,InParanoidCore,OMA_Groups,OMA_Pairs,PANTHER8_LDO,RBH,RSD,Orthoinspector,Hieranoid_2,EnsemblCompara_v2,PANTHER8_all,Metaphors,PhylomeDB,EggNOG
A6H630,CF211_MOUSE,nan,MOUSE,1.0,,,,,,,,,,1,,,,
Q7QE00,Q7QE00_ANOGA,nan,ANOGA,1.0,,,,,,,,,,1,,,,
Q4P2Z2,Q4P2Z2_USTMA,nan,USTMA,1.0,,,,,,,,,,1,,,,
Q4PC16,Q4PC16_USTMA,nan,USTMA,1.0,,,,,,,,,,1,,,,
Q58EM4,CF211_DANRE,nan,DANRE,1.0,,,,,,,,,,1,,,,
Q5AMM2,Q5AMM2_CANAL,nan,CANAL,1.0,,,,,,,,,,1,,,,
Q5KER8,Q5KER8_CRYNJ,nan,CRYNJ,1.0,,,,,,,,,,1,,,,
Q5KGW3,Q5KGW3_CRYNJ,nan,CRYNJ,1.0,,,,,,,,,,1,,,,
Q6AYT5,CF211_RAT,nan,RAT,1.0,,,,,,,,,,1,,,,
Q6CHE2,Q6CHE2_YARLI,nan,YARLI,1.0,,,,,,,,,,1,,,,
Q7S042,Q7S042_NEUCR,nan,NEUCR,1.0,,,,,,,,,,1,,,,
A7F4D8,A7F4D8_SCLS1,nan,SCLS1,1.0,,,,,,,,,,1,,,,
Q86NX6,Q86NX6_DROME,nan,DROME,1.0,,,,,,,,,,1,,,,
Q9H993,CF211_HUMAN,nan,HUMAN,1.0,,,,,,,,,,1,,,,
Q9UT55,YI94_SCHPO,nan,SCHPO,1.0,,,,,,,,,,1,,,,
Q9V3Z7,Q9V3Z7_DROME,nan,DROME,1.0,,,,,,,,,,1,,,,
Q9W298,Q9W298_DROME,nan,DROME,1.0,,,,,,,,,,1,,,,
Q9W2A0,Q9W2A0_DROME,nan,DROME,1.0,,,,,,,,,,1,,,,
Q9X838,Q9X838_STRCO,nan,STRCO,1.0,,,,,,,,,,1,,,,
nan,nan,ENSGALP00000021133,CHICK,1.0,,,,,,,,,,1,,,,
Q0TYR6,Q0TYR6_PHANO,nan,PHANO,1.0,,,,,,,,,,1,,,,
Q04371,YMR7_YEAST,nan,YEAST,1.0,,,,,,,,,,1,,,,
O94725,YCFD_SCHPO,nan,SCHPO,1.0,,,,,,,,,,1,,,,
O45417,O45417_CAEEL,nan,CAEEL,1.0,,,,,,,,,,1,,,,
A7RWT7,A7RWT7_NEMVE,nan,NEMVE,1.0,,,,,,,,,,1,,,,
A7UWF7,nan,nan,nan,1.0,,,,,,,,,,1,,,,
A9UNV0,A9UNV0_MONBE,nan,MONBE,1.0,,,,,,,,,,1,,,,
B0Y3I0,B0Y3I0_ASPFC,nan,ASPFC,1.0,,,,,,,,,,1,,,,
B0YF74,B0YF74_ASPFC,nan,ASPFC,1.0,,,,,,,,,,1,,,,
B7PHC4,B7PHC4_IXOSC,nan,IXOSC,1.0,,,,,,,,,,1,,,,
B8BXQ8,B8BXQ8_THAPS,nan,THAPS,1.0,,,,,,,,,,1,,,,
C4QAH0,nan,nan,nan,1.0,,,,,,,,,,1,,,,
C6S3B4,C6S3B4_PLAF7,nan,PLAF7,1.0,,,,,,,,,,1,,,,
E2QSJ2,E2QSJ2_CANFA,ENSCAFP00000000618,CANFA,1.0,,,,,,,,,,1,,,,
F1MC76,F1MC76_BOVIN,ENSBTAP00000005354,BOVIN,1.0,,,,,,,,,,1,,,,
F6YSM6,F6YSM6_CIOIN,ENSCINP00000019317,CIOIN,1.0,,,,,,,,,,1,,,,
F7BYT8,F7BYT8_MONDO,ENSMODP00000020891,MONDO,1.0,,,,,,,,,,1,,,,
F7H620,F7H620_MACMU,ENSMMUP00000024120,MACMU,1.0,,,,,,,,,,1,,,,
F7HHE1,F7HHE1_MACMU,ENSMMUP00000036201,MACMU,1.0,,,,,,,,,,1,,,,
G1K3D4,G1K3D4_XENTR,ENSXETP00000018556,XENTR,1.0,,,,,,,,,,1,,,,
H2QTX2,H2QTX2_PANTR,ENSPTRP00000031930,PANTR,1.0,,,,,,,,,,1,,,,
nan,nan,ENSOANP00000005284,ORNAN,1.0,,,,,,,,,,1,,,,
