ACC,ENTRY,ENS,SPEC,COUNT,InParanoid,InParanoidCore,OMA_Groups,OMA_Pairs,PANTHER8_LDO,RBH,RSD,Orthoinspector,Hieranoid_2,EnsemblCompara_v2,PANTHER8_all,Metaphors,PhylomeDB,EggNOG
B8CA33,B8CA33_THAPS,nan,THAPS,6.0,1,,,,1,1,1,,1,,1,,,
A2AA28,MET23_MOUSE,nan,MOUSE,2.0,,,,,1,,,,,,1,,,
Q5RJL2,MET23_RAT,nan,RAT,2.0,,,,,1,,,,,,1,,,
A7EKL2,A7EKL2_SCLS1,nan,SCLS1,2.0,,,,,1,,,,,,1,,,
F7BX33,F7BX33_MONDO,ENSMODP00000001913,MONDO,2.0,,,,,1,,,,,,1,,,
H2QDY7,H2QDY7_PANTR,ENSPTRP00000016476,PANTR,2.0,,,,,1,,,,,,1,,,
H2RPB6,H2RPB6_TAKRU,ENSTRUP00000001979,TAKRU,2.0,,,,,1,,,,,,1,,,
P38347,EFM2_YEAST,nan,YEAST,2.0,,,,,1,,,,,,1,,,
P40389,RRG1_SCHPO,nan,SCHPO,2.0,,,,,1,,,,,,1,,,
Q4PES5,Q4PES5_USTMA,nan,USTMA,2.0,,,,,1,,,,,,1,,,
Q54KW9,MET23_DICDI,nan,DICDI,2.0,,,,,1,,,,,,1,,,
Q5A0K3,Q5A0K3_CANAL,nan,CANAL,2.0,,,,,1,,,,,,1,,,
Q5ZIM0,Q5ZIM0_CHICK,nan,CHICK,2.0,,,,,,1,1,,,,,,,
F6RLY3,F6RLY3_XENTR,ENSXETP00000042225,XENTR,2.0,,,,,1,,,,,,1,,,
Q6C9L2,Q6C9L2_YARLI,nan,YARLI,2.0,,,,,,1,1,,,,,,,
Q6CD51,Q6CD51_YARLI,nan,YARLI,2.0,,,,,1,,,,,,1,,,
Q7PX54,Q7PX54_ANOGA,nan,ANOGA,2.0,,,,,1,,,,,,1,,,
Q7SG12,Q7SG12_NEUCR,nan,NEUCR,2.0,,,,,1,,,,,,1,,,
Q86XA0,MET23_HUMAN,nan,HUMAN,2.0,,,,,1,,,,,,1,,,
Q8GWK3,Q8GWK3_ARATH,nan,ARATH,2.0,,,,,1,,,,,,1,,,
Q9VEZ4,Q9VEZ4_DROME,nan,DROME,2.0,,,,,1,,,,,,1,,,
nan,nan,ENSCINP00000025895,CIOIN,2.0,,,,,1,,,,,,1,,,
F6YRD9,F6YRD9_MACMU,ENSMMUP00000029499,MACMU,2.0,,,,,1,,,,,,1,,,
F7A301,F7A301_ORNAN,ENSOANP00000018330,ORNAN,2.0,,,,,1,,,,,,1,,,
nan,nan,ENSCINP00000027236,CIOIN,2.0,,,,,1,,,,,,1,,,
F1PCV0,F1PCV0_CANFA,ENSCAFP00000007677,CANFA,2.0,,,,,1,,,,,,1,,,
F1MQ97,F1MQ97_BOVIN,ENSBTAP00000053324,BOVIN,2.0,,,,,1,,,,,,1,,,
A7RKV6,A7RKV6_NEMVE,nan,NEMVE,2.0,,,,,1,,,,,,1,,,
E1BS93,E1BS93_CHICK,nan,CHICK,2.0,,,,,1,,,,,,1,,,
C4Q2N2,nan,nan,nan,2.0,,,,,1,,,,,,1,,,
A7T7V5,A7T7V5_NEMVE,nan,NEMVE,2.0,,,,,,1,1,,,,,,,
A9RBK1,A9RBK1_PHYPA,nan,PHYPA,2.0,,,,,1,,,,,,1,,,
B7P0N9,B7P0N9_IXOSC,nan,IXOSC,2.0,,,,,1,,,,,,1,,,
C3XVL9,C3XVL9_BRAFL,nan,BRAFL,2.0,,,,,1,,,,,,1,,,
Q5KPM9,Q5KPM9_CRYNJ,nan,CRYNJ,1.0,,,,,,1,,,,,,,,
A9UTY4,A9UTY4_MONBE,nan,MONBE,1.0,,,,,,1,,,,,,,,
B7Q9F2,B7Q9F2_IXOSC,nan,IXOSC,1.0,1,,,,,,,,,,,,,
C3YFE2,C3YFE2_BRAFL,nan,BRAFL,1.0,,,,,,,,,,,1,,,
C3YFE3,C3YFE3_BRAFL,nan,BRAFL,1.0,,,,,,,,,,,1,,,
C3YGE5,C3YGE5_BRAFL,nan,BRAFL,1.0,,,,,,,,,,,1,,,
F6RZN4,F6RZN4_MACMU,ENSMMUP00000032654,MACMU,1.0,,,,,,,1,,,,,,,
C3YR58,C3YR58_BRAFL,nan,BRAFL,1.0,,,,,,,,,,,1,,,
F1Q2U4,F1Q2U4_CANFA,ENSCAFP00000028169,CANFA,1.0,,,,,,1,,,,,,,,
C3YVX5,C3YVX5_BRAFL,nan,BRAFL,1.0,,,,,,,,,,,1,,,
C3YZT1,C3YZT1_BRAFL,nan,BRAFL,1.0,,,,,,,,,,,1,,,
Q23195,Q23195_CAEEL,nan,CAEEL,1.0,1,,,,,,,,,,,,,
C3Z1J4,C3Z1J4_BRAFL,nan,BRAFL,1.0,,,,,,,,,,,1,,,
C3ZV20,C3ZV20_BRAFL,nan,BRAFL,1.0,,,,,,,,,,,1,,,
P0C5J1,F86B2_HUMAN,nan,HUMAN,1.0,,,,,,,1,,,,,,,
H2V4J4,H2V4J4_TAKRU,ENSTRUP00000044128,TAKRU,1.0,1,,,,,,,,,,,,,
G5E5X4,G5E5X4_BOVIN,ENSBTAP00000037316,BOVIN,1.0,,,,,,1,,,,,,,,
Q54UI5,Q54UI5_DICDI,nan,DICDI,1.0,,,,,,,,,1,,,,,
