ACC,ENTRY,ENS,SPEC,COUNT,InParanoid,InParanoidCore,OMA_Groups,OMA_Pairs,PANTHER8_LDO,RBH,RSD,Orthoinspector,Hieranoid_2,EnsemblCompara_v2,PANTHER8_all,Metaphors,PhylomeDB,EggNOG
B8CBX4,B8CBX4_THAPS,nan,THAPS,9.0,1,,,,1,1,1,1,,,1,1,1,1
Q7S212,Q7S212_NEUCR,nan,NEUCR,8.0,,,,,1,1,1,1,,,1,1,1,1
Q9RX22,FPG_DEIRA,nan,DEIRA,7.0,1,,,,1,,1,,,,1,1,1,1
O34403,FPG_BACSU,nan,BACSU,7.0,1,,,,1,,1,,,,1,1,1,1
Q6C2I5,Q6C2I5_YARLI,nan,YARLI,6.0,,,,,1,1,1,,,,1,1,1,
A7EAS6,A7EAS6_SCLS1,nan,SCLS1,6.0,,,,,1,1,1,,,,1,1,1,
P74290,FPG_SYNY3,nan,SYNY3,6.0,,,,,1,,1,,,,1,1,1,1
Q5A4P0,Q5A4P0_CANAL,nan,CANAL,6.0,1,,,,1,1,,,,,1,1,1,
Q5KCC7,Q5KCC7_CRYNJ,nan,CRYNJ,6.0,,,,,1,1,1,,,,1,1,1,
P05523,FPG_ECOLI,nan,ECOLI,6.0,1,,,,1,,,,,,1,1,1,1
Q7NFW7,FPG_GLOVI,nan,GLOVI,6.0,1,,,,1,,,,,,1,1,1,1
B0Y4F7,B0Y4F7_ASPFC,nan,ASPFC,6.0,,,,,1,1,1,,,,1,1,1,
A9TFS2,A9TFS2_PHYPA,nan,PHYPA,6.0,,,,,1,1,,1,,,1,,1,1
Q89WC9,FPG_BRADU,nan,BRADU,6.0,,,,,1,,1,,,,1,1,1,1
O80359,nan,nan,nan,6.0,,,,,1,1,,,,,1,1,1,1
Q74EG5,FPG_GEOSL,nan,GEOSL,5.0,,,,,1,,,,,,1,1,1,1
Q7UNI0,Q7UNI0_RHOBA,nan,RHOBA,5.0,,,,,1,,,,,,1,1,1,1
A6UYG0,FPG_PSEA7,nan,PSEA7,5.0,,,,,1,,,,,,1,1,1,1
A9WDC2,FPG_CHLAA,nan,CHLAA,5.0,,,,,1,,,,,,1,1,1,1
O80358,FPG_ARATH,nan,ARATH,4.0,,,,,,,1,,,,,1,1,1
Q89Z89,Q89Z89_BACTN,nan,BACTN,4.0,,,,,1,,,,,,1,1,1,
A9TVE8,A9TVE8_PHYPA,nan,PHYPA,4.0,,,,,,,1,,,,1,,1,1
H2UBV7,H2UBV7_TAKRU,ENSTRUP00000034425,TAKRU,3.0,,,,,1,1,,,,,1,,,
H2Q9U0,H2Q9U0_PANTR,ENSPTRP00000012486,PANTR,3.0,,,,,1,1,,,,,1,,,
Q9ZBQ6,FPG_STRCO,nan,STRCO,3.0,,,,,1,,,,,,1,,,1
A7SEV1,A7SEV1_NEMVE,nan,NEMVE,3.0,,,,,1,1,,,,,1,,,
Q96FI4,NEIL1_HUMAN,nan,HUMAN,3.0,,,,,1,1,,,,,1,,,
Q8K4Q6,NEIL1_MOUSE,nan,MOUSE,3.0,,,,,1,1,,,,,1,,,
Q8A583,Q8A583_BACTN,nan,BACTN,3.0,,,,,,,,,,,1,1,1,
A9SPH2,A9SPH2_PHYPA,nan,PHYPA,3.0,,,,,,,,,,,1,,1,1
nan,nan,ENSBTAP00000009686,BOVIN,3.0,,,,,1,1,,,,,1,,,
Q5ZKP3,Q5ZKP3_CHICK,nan,CHICK,3.0,,,,,1,1,,,,,1,,,
F7BQ63,F7BQ63_MONDO,ENSMODP00000011226,MONDO,3.0,,,,,1,1,,,,,1,,,
Q4KLM0,Q4KLM0_RAT,nan,RAT,3.0,,,,,1,1,,,,,1,,,
P64150,nan,nan,nan,3.0,,,,,1,,,,,,1,,,1
F7FP81,F7FP81_ORNAN,ENSOANP00000019336,ORNAN,3.0,,,,,1,1,,,,,1,,,
F7H3D4,F7H3D4_MACMU,ENSMMUP00000017177,MACMU,3.0,,,,,1,1,,,,,1,,,
E1C286,E1C286_CHICK,nan,CHICK,2.0,,,,,,,,,,,,1,1,
D3KHA2,D3KHA2_GIAIC,nan,GIAIC,2.0,,,,,1,,,,,,1,,,
E2RAM2,E2RAM2_CANFA,ENSCAFP00000026587,CANFA,2.0,,,,,1,,,,,,1,,,
Q4Q8V4,Q4Q8V4_LEIMA,nan,LEIMA,2.0,,,,,1,,,,,,1,,,
F7D0D2,F7D0D2_XENTR,ENSXETP00000051487,XENTR,2.0,,,,,1,,,,,,1,,,
Q9RCW5,Q9RCW5_STRCO,nan,STRCO,2.0,,,,,,,,,,,1,,1,
Q6TGW9,Q6TGW9_DANRE,nan,DANRE,2.0,,,,,1,,,,,,1,,,
E1C210,nan,nan,nan,1.0,,,,,,,,,,,,,1,
