ACC,ENTRY,ENS,SPEC,COUNT,InParanoid,InParanoidCore,OMA_Groups,OMA_Pairs,PANTHER8_LDO,RBH,RSD,Orthoinspector,Hieranoid_2,EnsemblCompara_v2,PANTHER8_all,Metaphors,PhylomeDB,EggNOG
B8CF92,B8CF92_THAPS,nan,THAPS,11.0,,,1,1,,1,1,1,1,1,1,1,1,1
Q02455,MLP1_YEAST,nan,YEAST,7.0,,,,1,,1,1,1,1,,1,,,1
F6UV28,F6UV28_CANFA,ENSCAFP00000020227,CANFA,5.0,,,,,,1,1,1,1,1,,,,
Q7M739,Q7M739_MOUSE,nan,MOUSE,5.0,,,,,,1,1,1,1,1,,,,
P12270,TPR_HUMAN,nan,HUMAN,5.0,,,,,,1,1,1,1,1,,,,
F6TJ68,F6TJ68_MONDO,ENSMODP00000014586,MONDO,5.0,,,,,,1,1,1,1,1,,,,
F6R964,F6R964_ORNAN,ENSOANP00000001630,ORNAN,5.0,,,,,,1,1,1,1,1,,,,
E1BF47,E1BF47_BOVIN,ENSBTAP00000015848,BOVIN,5.0,,,,,,1,1,1,1,1,,,,
D3ZNM2,nan,nan,nan,5.0,,,,,,1,1,1,1,1,,,,
H2RZM2,H2RZM2_TAKRU,ENSTRUP00000005593,TAKRU,5.0,,,,,,1,1,1,1,1,,,,
H2R8B4,H2R8B4_PANTR,ENSPTRP00000051405,PANTR,5.0,,,,,,1,1,1,1,1,,,,
Q5RI09,Q5RI09_DANRE,nan,DANRE,4.0,,,,1,,,,1,1,1,,,,
B7P2K9,B7P2K9_IXOSC,nan,IXOSC,4.0,,,,,,1,1,,1,1,,,,
Q54JG6,Q54JG6_DICDI,nan,DICDI,4.0,,,,,,,,1,1,,1,,1,
F6RI64,F6RI64_XENTR,ENSXETP00000037857,XENTR,4.0,,,,,,,1,1,1,1,,,,
C4QGG7,nan,nan,nan,4.0,,,1,1,,,,1,1,,,,,
E1BYQ6,E1BYQ6_CHICK,nan,CHICK,3.0,,,,,,,,1,1,1,,,,
Q7RZF8,Q7RZF8_NEUCR,nan,NEUCR,3.0,,,,,,,,1,1,,1,,,
B0XM26,B0XM26_ASPFC,nan,ASPFC,3.0,,,,,,,1,1,1,,,,,
Q6C0Z5,Q6C0Z5_YARLI,nan,YARLI,3.0,,,,,,,,1,1,,1,,,
B8JMI3,nan,nan,nan,3.0,,,,,,,,1,1,1,,,,
Q5AMG3,Q5AMG3_CANAL,nan,CANAL,3.0,,,,,,1,,,1,,1,,,
A4GSN8,NUA_ARATH,nan,ARATH,3.0,,,,,,,,,1,,1,,1,
O74424,NU211_SCHPO,nan,SCHPO,3.0,,,,,,1,1,,1,,,,,
Q0UNS0,Q0UNS0_PHANO,nan,PHANO,3.0,,,,,,,,1,1,,1,,,
Q4PFN8,Q4PFN8_USTMA,nan,USTMA,2.0,,,,,,,,,1,,1,,,
P40457,MLP2_YEAST,nan,YEAST,2.0,,,,,,,,,1,,1,,,
Q5AMW9,Q5AMW9_CANAL,nan,CANAL,2.0,,,,,,,,,1,,1,,,
O01385,nan,nan,nan,2.0,,,,1,,,,,1,,,,,
Q7PUP2,Q7PUP2_ANOGA,nan,ANOGA,2.0,,,,,,,1,,1,,,,,
F6WB99,F6WB99_CIOIN,ENSCINP00000002206,CIOIN,2.0,,,,,,1,,,,,,,1,
A7SGD1,A7SGD1_NEMVE,nan,NEMVE,2.0,,,,,,1,1,,,,,,,
A7F232,A7F232_SCLS1,nan,SCLS1,2.0,,,,,,,,,1,,1,,,
Q5K7F0,Q5K7F0_CRYNJ,nan,CRYNJ,2.0,,,,,,,,,1,,1,,,
Q7NNI4,Q7NNI4_GLOVI,nan,GLOVI,1.0,,,,1,,,,,,,,,,
Q74CE9,Q74CE9_GEOSL,nan,GEOSL,1.0,,,,,,,,,,1,,,,
Q6C2J0,Q6C2J0_YARLI,nan,YARLI,1.0,,,,,,,,,,1,,,,
Q7QAV0,Q7QAV0_ANOGA,nan,ANOGA,1.0,,,,,,,,,,1,,,,
Q5KJI3,Q5KJI3_CRYNJ,nan,CRYNJ,1.0,,,,,,,,,,1,,,,
Q7UQ94,Q7UQ94_RHOBA,nan,RHOBA,1.0,,,,,,,,,,1,,,,
Q89TK4,Q89TK4_BRADU,nan,BRADU,1.0,,,,,,,,,,1,,,,
Q8I5X5,Q8I5X5_PLAF7,nan,PLAF7,1.0,,,,1,,,,,,,,,,
Q8IIS6,Q8IIS6_PLAF7,nan,PLAF7,1.0,,,,,,,,,,,,1,,
Q9UTK5,ALM1_SCHPO,nan,SCHPO,1.0,,,1,,,,,,,,,,,
A2E8T3,A2E8T3_TRIVA,nan,TRIVA,1.0,,,,,,,,,,1,,,,
Q4Q2T9,Q4Q2T9_LEIMA,nan,LEIMA,1.0,,,,1,,,,,,,,,,
Q3T1J7,nan,nan,nan,1.0,,,,,,,,,,1,,,,
