ACC,ENTRY,ENS,SPEC,COUNT,InParanoid,InParanoidCore,OMA_Groups,OMA_Pairs,PANTHER8_LDO,RBH,RSD,Orthoinspector,Hieranoid_2,EnsemblCompara_v2,PANTHER8_all,Metaphors,PhylomeDB,EggNOG
B1L6B6,B1L6B6_KORCO,nan,KORCO,12.0,1,1,1,1,1,,1,1,1,1,1,,1,1
Q5JDJ1,TRPB2_THEKO,nan,THEKO,12.0,1,1,1,1,1,,1,1,1,1,1,,1,1
Q9FFW8,Q9FFW8_ARATH,nan,ARATH,12.0,1,1,1,1,1,,1,1,1,1,1,,1,1
A9S4R5,A9S4R5_PHYPA,nan,PHYPA,11.0,1,1,1,1,1,,1,1,1,1,1,,,1
A9WA80,A9WA80_CHLAA,nan,CHLAA,11.0,1,1,1,1,1,,1,1,1,1,1,,,1
B5YHB4,B5YHB4_THEYD,nan,THEYD,11.0,1,1,1,1,1,,1,1,1,1,1,,,1
B8E092,B8E092_DICTD,nan,DICTD,11.0,1,1,1,1,1,,1,1,1,1,1,,,1
O67409,TRPB2_AQUAE,nan,AQUAE,11.0,1,1,1,1,1,,1,1,1,1,1,,,1
P50383,TRPB1_SULSO,nan,SULSO,11.0,1,1,1,1,1,,1,1,1,1,1,,,1
Q74AH6,Q74AH6_GEOSL,nan,GEOSL,11.0,1,1,1,1,1,,1,1,1,1,1,,,1
Q89YR7,Q89YR7_BACTN,nan,BACTN,11.0,1,1,1,1,1,,1,1,1,1,1,,,1
Q8TL44,TRPB2_METAC,nan,METAC,11.0,1,1,1,1,1,,1,1,1,1,1,,,1
Q9WZ09,TRPB2_THEMA,nan,THEMA,11.0,1,1,1,1,1,,1,1,1,1,1,,,1
Q97TX6,TRPB2_SULSO,nan,SULSO,3.0,,,,,,,,1,,1,1,,,
F1R8A0,F1R8A0_DANRE,ENSDARP00000099971,DANRE,1.0,,,,,,,,,,,,,1,
