ACC,ENTRY,ENS,SPEC,COUNT,InParanoid,InParanoidCore,OMA_Groups,OMA_Pairs,PANTHER8_LDO,RBH,RSD,Orthoinspector,Hieranoid_2,EnsemblCompara_v2,PANTHER8_all,Metaphors,PhylomeDB,EggNOG
B8DYW5,B8DYW5_DICTD,nan,DICTD,10.0,1,1,1,1,,,1,1,1,1,,,1,1
P94388,CAH_BACSU,nan,BACSU,10.0,1,1,1,1,,,1,1,1,1,,,1,1
Q8A4S2,Q8A4S2_BACTN,nan,BACTN,10.0,1,1,1,1,,,1,1,1,1,,,1,1
Q9FC27,Q9FC27_STRCO,nan,STRCO,10.0,1,1,1,1,,,1,1,1,1,,,1,1
Q9WXT2,CAH_THEMA,nan,THEMA,10.0,1,1,1,1,,,1,1,1,1,,,1,1
Q8F524,Q8F524_LEPIN,nan,LEPIN,9.0,1,1,1,1,,,,1,1,1,,,1,1
A9U6M0,A9U6M0_PHYPA,nan,PHYPA,4.0,,,,,,,1,1,,1,,,,1
A7MB66,A7MB66_BOVIN,ENSBTAP00000003149,BOVIN,1.0,1,,,,,,,,,,,,,
F6SA37,F6SA37_MONDO,ENSMODP00000036739,MONDO,1.0,1,,,,,,,,,,,,,
F7H550,F7H550_MACMU,ENSMMUP00000010542,MACMU,1.0,1,,,,,,,,,,,,,
H2SML0,H2SML0_TAKRU,ENSTRUP00000013646,TAKRU,1.0,1,,,,,,,,,,,,,
Q5ZJL8,ABHDD_CHICK,nan,CHICK,1.0,1,,,,,,,,,,,,,
Q80UX8,ABHDD_MOUSE,nan,MOUSE,1.0,1,,,,,,,,,,,,,
Q9RXY9,Q9RXY9_DEIRA,nan,DEIRA,1.0,1,,,,,,,,,,,,,
