ACC,ENTRY,ENS,SPEC,COUNT,InParanoid,InParanoidCore,OMA_Groups,OMA_Pairs,PANTHER8_LDO,RBH,RSD,Orthoinspector,Hieranoid_2,EnsemblCompara_v2,PANTHER8_all,Metaphors,PhylomeDB,EggNOG
Q9X1T0,Q9X1T0_THEMA,nan,THEMA,8.0,1,1,,,,,1,1,1,1,,,1,1
nan,nan,ENSXETP00000036719,XENTR,3.0,,,,,,,1,1,,1,,,,
Q89M46,Q89M46_BRADU,nan,BRADU,3.0,1,,,,,,1,1,,,,,,
B5YJX2,B5YJX2_THEYD,nan,THEYD,2.0,,,,,,,,1,,,,,,1
Q89JZ6,Q89JZ6_BRADU,nan,BRADU,2.0,,,,,,,,1,,,,,,1
Q74EL0,Q74EL0_GEOSL,nan,GEOSL,2.0,,,,,,,,1,,,,,,1
Q746Z1,Q746Z1_GEOSL,nan,GEOSL,2.0,,,,,,,1,1,,,,,,
P76330,YEDQ_ECOLI,nan,ECOLI,2.0,,,,,,,,1,,,,,1,
P73713,P73713_SYNY3,nan,SYNY3,2.0,,1,,,,,,1,,,,,,
O66835,O66835_AQUAE,nan,AQUAE,2.0,,,,,,,,1,,1,,,,
O66451,O66451_AQUAE,nan,AQUAE,2.0,1,,,,,,,1,,,,,,
B8E3F1,B8E3F1_DICTD,nan,DICTD,2.0,,,,,,,,1,,1,,,,
A6UXW0,A6UXW0_PSEA7,nan,PSEA7,2.0,,,,,,,1,1,,,,,,
A7T2R3,A7T2R3_NEMVE,nan,NEMVE,2.0,1,1,,,,,,,,,,,,
A9WGU1,A9WGU1_CHLAA,nan,CHLAA,1.0,,,,,,,,1,,,,,,
Q8F244,Q8F244_LEPIN,nan,LEPIN,1.0,,,,,,,,1,,,,,,
A8DW58,A8DW58_NEMVE,nan,NEMVE,1.0,,,,,,,1,,,,,,,
Q74AN9,Q74AN9_GEOSL,nan,GEOSL,1.0,,,,,,,,,,1,,,,
Q74CN0,Q74CN0_GEOSL,nan,GEOSL,1.0,,,,,,,,,,1,,,,
A7T9P7,A7T9P7_NEMVE,nan,NEMVE,1.0,,,,,,,,,,1,,,,
Q89FJ6,Q89FJ6_BRADU,nan,BRADU,1.0,,,,,,,,1,,,,,,
A7T8Q7,A7T8Q7_NEMVE,nan,NEMVE,1.0,,,,,,,,,,1,,,,
A7T461,A7T461_NEMVE,nan,NEMVE,1.0,,,,,,,,,,1,,,,
Q8F245,Q8F245_LEPIN,nan,LEPIN,1.0,,,,,,,,1,,,,,,
B5YHV7,B5YHV7_THEYD,nan,THEYD,1.0,,,,,,,,,,1,,,,
Q8F246,Q8F246_LEPIN,nan,LEPIN,1.0,,,,,,,,1,,,,,,
Q8F247,Q8F247_LEPIN,nan,LEPIN,1.0,,,,,,,,1,,,,,,
Q8F248,Q8F248_LEPIN,nan,LEPIN,1.0,,,,,,,,1,,,,,,
Q8F249,Q8F249_LEPIN,nan,LEPIN,1.0,,,,,,,,1,,,,,,
Q8F251,Q8F251_LEPIN,nan,LEPIN,1.0,,,,,,,,1,,,,,,
Q9RRJ2,Q9RRJ2_DEIRA,nan,DEIRA,1.0,,,,,,,,1,,,,,,
Q55906,Q55906_SYNY3,nan,SYNY3,1.0,,,,,,,,1,,,,,,
A8DWU2,A8DWU2_NEMVE,nan,NEMVE,1.0,,,,,,,,,,1,,,,
P76147,YNEF_ECOLI,nan,ECOLI,1.0,,,,,,,,,,1,,,,
A8DWU6,A8DWU6_NEMVE,nan,NEMVE,1.0,,,,,,,,,,1,,,,
B5YI93,B5YI93_THEYD,nan,THEYD,1.0,,,,,,,1,,,,,,,
A9WE08,A9WE08_CHLAA,nan,CHLAA,1.0,,,,,,,,1,,,,,,
B8DZI2,B8DZI2_DICTD,nan,DICTD,1.0,,,,,,,,,1,,,,,
B8E3F0,B8E3F0_DICTD,nan,DICTD,1.0,,,,,,,,1,,,,,,
A9WCL4,A9WCL4_CHLAA,nan,CHLAA,1.0,,,,,,,,1,,,,,,
O34325,YTRP_BACSU,nan,BACSU,1.0,,,,,,,,1,,,,,,
A9WA16,A9WA16_CHLAA,nan,CHLAA,1.0,,,,,,,1,,,,,,,
O66495,O66495_AQUAE,nan,AQUAE,1.0,,,,,,,,,,1,,,,
O66623,O66623_AQUAE,nan,AQUAE,1.0,,,,,,,,1,,,,,,
A9U7X2,A9U7X2_PHYPA,nan,PHYPA,1.0,,,,,,,,,,1,,,,
A6VEW2,A6VEW2_PSEA7,nan,PSEA7,1.0,,,,,,,,1,,,,,,
P54595,YHCK_BACSU,nan,BACSU,1.0,,,,,,,,1,,,,,,
P64825,nan,nan,nan,1.0,,,,,,,,1,,,,,,
P72956,P72956_SYNY3,nan,SYNY3,1.0,,,,,,,,,,1,,,,
P73011,P73011_SYNY3,nan,SYNY3,1.0,,,,,,,1,,,,,,,
P0AAP1,ADRA_ECOLI,nan,ECOLI,1.0,,,,,,,,,,1,,,,
