ACC,ENTRY,ENS,SPEC,COUNT,InParanoid,InParanoidCore,OMA_Groups,OMA_Pairs,PANTHER8_LDO,RBH,RSD,Orthoinspector,Hieranoid_2,EnsemblCompara_v2,PANTHER8_all,Metaphors,PhylomeDB,EggNOG
B5YJ57,B5YJ57_THEYD,nan,THEYD,13.0,1,1,1,1,1,,1,1,1,1,1,1,1,1
Q8F072,Q8F072_LEPIN,nan,LEPIN,7.0,1,1,1,,,,1,1,,1,,1,,
Q74AU7,Q74AU7_GEOSL,nan,GEOSL,7.0,1,1,1,1,,,1,1,,,,1,,
A9W9W2,A9W9W2_CHLAA,nan,CHLAA,7.0,1,1,,1,,,1,1,,,,1,1,
Q9WZ90,Q9WZ90_THEMA,nan,THEMA,6.0,1,1,,,,,,1,1,1,,,,1
Q8TSJ8,Q8TSJ8_METAC,nan,METAC,5.0,1,,,,,,1,1,1,,,,,1
Q7UP57,Q7UP57_RHOBA,nan,RHOBA,5.0,1,,,,,,,1,1,1,,1,,
Q8IJ83,Q8IJ83_PLAF7,nan,PLAF7,4.0,,,,1,,,1,1,,,,,,1
Q4Q420,Q4Q420_LEIMA,nan,LEIMA,4.0,,,,1,,,1,1,,,,,,1
B8BQJ0,B8BQJ0_THAPS,nan,THAPS,4.0,1,,,1,,,1,,,,,,,1
F6U1Q6,F6U1Q6_MONDO,ENSMODP00000021500,MONDO,3.0,,,,,,,1,1,,,,,,1
Q5F4C8,Q5F4C8_CHICK,nan,CHICK,3.0,,,,,,,1,1,,,,,,1
F6XP34,F6XP34_CIOIN,ENSCINP00000017457,CIOIN,3.0,,,,,,,1,1,,,,,,1
Q18993,Q18993_CAEEL,nan,CAEEL,3.0,,,,,,,1,1,,,,,,1
Q5JGT2,Q5JGT2_THEKO,nan,THEKO,3.0,,,,,,,1,1,1,,,,,
C4Q9W4,nan,nan,nan,3.0,,,,,,,1,1,,,,,,1
P87172,GPI3_SCHPO,nan,SCHPO,3.0,,,,,,,1,1,,,,,,1
Q7NND6,Q7NND6_GLOVI,nan,GLOVI,3.0,,,,,,,1,1,,,,,,1
Q7NPH3,Q7NPH3_GLOVI,nan,GLOVI,3.0,,,,1,1,,,,,,1,,,
Q7QHN7,Q7QHN7_ANOGA,nan,ANOGA,3.0,,,,1,,,1,,,,,,,1
P71243,WCAL_ECOLI,nan,ECOLI,3.0,,,,,,,1,1,,1,,,,
