ACC,ENTRY,ENS,SPEC,COUNT,InParanoid,InParanoidCore,OMA_Groups,OMA_Pairs,PANTHER8_LDO,RBH,RSD,Orthoinspector,Hieranoid_2,EnsemblCompara_v2,PANTHER8_all,Metaphors,PhylomeDB,EggNOG
B5YKR4,B5YKR4_THEYD,nan,THEYD,9.0,1,,,1,,,1,1,1,1,,1,1,1
Q55362,Q55362_SYNY3,nan,SYNY3,4.0,1,,,,,,1,1,,,,,,1
Q7NDZ4,Q7NDZ4_GLOVI,nan,GLOVI,3.0,,,,1,,,1,,,,,,,1
Q12118,SGT2_YEAST,nan,YEAST,2.0,1,,,,,,,,,,,1,,
C3ZIB6,C3ZIB6_BRAFL,nan,BRAFL,2.0,,,,,,,,,,,,1,1,
Q89EN1,Q89EN1_BRADU,nan,BRADU,2.0,,,,,,,1,1,,,,,,
Q89WG3,Q89WG3_BRADU,nan,BRADU,2.0,,,,,,,,1,,,,1,,
F6Z6L5,F6Z6L5_XENTR,ENSXETP00000047183,XENTR,2.0,,,,,,,,,,,,1,1,
O67941,O67941_AQUAE,nan,AQUAE,2.0,1,,,,,,,,1,,,,,
F6VUZ2,F6VUZ2_MACMU,ENSMMUP00000019976,MACMU,2.0,,,,,,,1,1,,,,,,
Q8RI47,Q8RI47_FUSNN,nan,FUSNN,2.0,,,,,,,1,1,,,,,,
Q8RXN1,Q8RXN1_ARATH,nan,ARATH,2.0,1,,,,,,,,,,,1,,
F1MVN8,F1MVN8_BOVIN,ENSBTAP00000020088,BOVIN,2.0,,,,,,,1,1,,,,,,
Q2KIK0,SUGT1_BOVIN,ENSBTAP00000002770,BOVIN,2.0,,,,,,,,,,,,1,1,
Q89I21,Q89I21_BRADU,nan,BRADU,2.0,,,,,,,,1,,,,1,,
Q58208,Y798_METJA,nan,METJA,2.0,1,,,,,,,,,1,,,,
nan,nan,ENSPTRP00000037856,PANTR,2.0,,,,,,,1,1,,,,,,
Q4Q6Z1,Q4Q6Z1_LEIMA,nan,LEIMA,2.0,,,,,,,1,1,,,,,,
B7Q9R5,B7Q9R5_IXOSC,nan,IXOSC,2.0,,,,,,,1,,,,,1,,
Q5ZJ95,Q5ZJ95_CHICK,nan,CHICK,2.0,,,,,,,,,,,,1,1,
A9WD39,A9WD39_CHLAA,nan,CHLAA,2.0,,,,,,,1,1,,,,,,
Q9DAC7,TTC32_MOUSE,nan,MOUSE,2.0,1,,,,,,,,,,,1,,
nan,nan,ENSOANP00000026116,ORNAN,2.0,,,,,,,,,,,,1,1,
Q66H09,Q66H09_RAT,nan,RAT,1.0,,,,,,,,,,,,1,,
Q7NKC5,Q7NKC5_GLOVI,nan,GLOVI,1.0,,,,,,,,,,,,1,,
Q84XU2,PPP5_ARATH,nan,ARATH,1.0,,,,,,,1,,,,,,,
Q80W98,SGTB_RAT,nan,RAT,1.0,,,,,,,,,,,,1,,
Q7URA4,Q7URA4_RHOBA,nan,RHOBA,1.0,,,,,,,1,,,,,,,
Q7Q5R0,Q7Q5R0_ANOGA,nan,ANOGA,1.0,,,,,,,1,,,,,,,
Q7NGK2,Q7NGK2_GLOVI,nan,GLOVI,1.0,,,,,,,,,,,,1,,
Q5U3P1,Q5U3P1_DANRE,nan,DANRE,1.0,,,,,,,,,,,,1,,
Q5ZHW6,Q5ZHW6_CHICK,nan,CHICK,1.0,,,,,,,1,,,,,,,
Q7NFF8,Q7NFF8_GLOVI,nan,GLOVI,1.0,,,,,,,,1,,,,,,
Q7KJA9,Q7KJA9_DROME,nan,DROME,1.0,,,,,,,1,,,,,,,
Q6NX98,Q6NX98_DANRE,nan,DANRE,1.0,1,,,,,,,,,,,,,
Q89HP3,Q89HP3_BRADU,nan,BRADU,1.0,,,,,,,,1,,,,,,
Q6C1F4,Q6C1F4_YARLI,nan,YARLI,1.0,1,,,,,,,,,,,,,
Q5ZKF0,Q5ZKF0_CHICK,nan,CHICK,1.0,1,,,,,,,,,,,,,
A2DI58,A2DI58_TRIVA,nan,TRIVA,1.0,,,,,,,1,,,,,,,
Q8CGY8,OGT1_MOUSE,nan,MOUSE,1.0,,,,,,,1,,,,,,,
Q89LG4,Q89LG4_BRADU,nan,BRADU,1.0,,,,,,,,1,,,,,,
Q89UV1,Q89UV1_BRADU,nan,BRADU,1.0,,,,,,,,1,,,,,,
nan,nan,ENSRNOP00000055808,RAT,1.0,,,,,,,,,,,,1,,
nan,nan,ENSCINP00000002923,CIOIN,1.0,,,,,,,,,,,,1,,
nan,nan,ENSCAFP00000025454,CANFA,1.0,,,,,,,,,,,,1,,
nan,nan,ENSBTAP00000001198,BOVIN,1.0,,,,,,,,1,,,,,,
Q9VEV3,Q9VEV3_DROME,nan,DROME,1.0,,,,,,,,,,,,1,,
Q9V3E9,Q9V3E9_DROME,nan,DROME,1.0,1,,,,,,,,,,,,,
