ACC,ENTRY,ENS,SPEC,COUNT,InParanoid,InParanoidCore,OMA_Groups,OMA_Pairs,PANTHER8_LDO,RBH,RSD,Orthoinspector,Hieranoid_2,EnsemblCompara_v2,PANTHER8_all,Metaphors,PhylomeDB,EggNOG
A2D7A3,A2D7A3_TRIVA,nan,TRIVA,5.0,,,1,1,,,,,,1,,1,,1
C3YBZ1,C3YBZ1_BRAFL,nan,BRAFL,2.0,,,1,1,,,,,,,,,,
F7G7P9,F7G7P9_ORNAN,ENSOANP00000026434,ORNAN,1.0,,,,,,,,,,,,,,1
nan,nan,ENSXETP00000003320,XENTR,1.0,,,,,,,,,,,,1,,
nan,nan,ENSCAFP00000033847,CANFA,1.0,,,,,,,,,,,,1,,
Q9RWL9,Q9RWL9_DEIRA,nan,DEIRA,1.0,,,,,,,,,,,,,,1
Q97W25,Q97W25_SULSO,nan,SULSO,1.0,,,,,,,,,,,,,,1
Q97V06,Q97V06_SULSO,nan,SULSO,1.0,,,,,,,,,,,,,,1
Q8F4X3,Q8F4X3_LEPIN,nan,LEPIN,1.0,,,,,,,,,,1,,,,
Q7SH96,Q7SH96_NEUCR,nan,NEUCR,1.0,,,,1,,,,,,,,,,
Q76E23,IF4G_ARATH,nan,ARATH,1.0,,,,1,,,,,,,,,,
Q4QIK1,Q4QIK1_LEIMA,nan,LEIMA,1.0,,,,1,,,,,,,,,,
P73179,FTSH1_SYNY3,nan,SYNY3,1.0,,,,,,,,,,,,,,1
H2VDE3,H2VDE3_TAKRU,ENSTRUP00000047237,TAKRU,1.0,,,,1,,,,,,,,,,
H2PXY0,H2PXY0_PANTR,ENSPTRP00000000203,PANTR,1.0,,,,1,,,,,,,,,,
F7GDT6,F7GDT6_MACMU,ENSMMUP00000040633,MACMU,1.0,,,,1,,,,,,,,,,
F7EGH7,F7EGH7_ORNAN,ENSOANP00000023273,ORNAN,1.0,,,,1,,,,,,,,,,
A7SUX7,A7SUX7_NEMVE,nan,NEMVE,1.0,,,,,,,,,,,,1,,
F6VHK2,F6VHK2_MONDO,ENSMODP00000019384,MONDO,1.0,,,,1,,,,,,,,,,
F1PFL8,F1PFL8_CANFA,ENSCAFP00000029512,CANFA,1.0,,,,1,,,,,,,,,,
F1P563,F1P563_CHICK,ENSGALP00000003945,CHICK,1.0,,,,1,,,,,,,,,,
C3ZAZ7,C3ZAZ7_BRAFL,nan,BRAFL,1.0,,,,,,,,,,,,1,,
B8LBZ1,B8LBZ1_THAPS,nan,THAPS,1.0,,,,,,,,,,,,,,1
B7ZVQ1,B7ZVQ1_DANRE,nan,DANRE,1.0,,,,1,,,,,,,,,,
B7PTD8,B7PTD8_IXOSC,nan,IXOSC,1.0,,,,1,,,,,,,,,,
B0XRZ3,B0XRZ3_ASPFC,nan,ASPFC,1.0,,,,1,,,,,,,,,,
B0RA56,B0RA56_HALS3,nan,HALS3,1.0,,,,,,,,,,,,,,1
B0R626,B0R626_HALS3,nan,HALS3,1.0,,,,,,,,,,,,,,1
A9V5A9,A9V5A9_MONBE,nan,MONBE,1.0,,,,1,,,,,,,,,,
A9TAL7,A9TAL7_PHYPA,nan,PHYPA,1.0,,,,1,,,,,,,,,,
A7USD2,A7USD2_ANOGA,nan,ANOGA,1.0,,,,,,,,,,,,1,,
nan,nan,ENSXETP00000019316,XENTR,1.0,,,,,,,,,,,,1,,
