ACC,ENTRY,ENS,SPEC,COUNT,InParanoid,InParanoidCore,OMA_Groups,OMA_Pairs,PANTHER8_LDO,RBH,RSD,Orthoinspector,Hieranoid_2,EnsemblCompara_v2,PANTHER8_all,Metaphors,PhylomeDB,EggNOG
A2DFX3,A2DFX3_TRIVA,nan,TRIVA,7.0,,1,,,1,1,,,1,1,1,,,1
Q747P6,Q747P6_GEOSL,nan,GEOSL,3.0,,,,,,,,,,1,1,,,1
C4QAY3,nan,nan,nan,2.0,,,,,1,,,,,,1,,,
C3ZK09,C3ZK09_BRAFL,nan,BRAFL,2.0,,,,,1,,,,,,1,,,
Q55EK0,Q55EK0_DICDI,nan,DICDI,1.0,,,,,,,,,1,,,,,
Q5JIZ5,TKSP_THEKO,nan,THEKO,1.0,,,,,,,,,,,1,,,
Q7NC92,Q7NC92_GLOVI,nan,GLOVI,1.0,,,,,,,,,,,1,,,
Q7NGK8,Q7NGK8_GLOVI,nan,GLOVI,1.0,,,,,,,,,,,1,,,
Q7NGK9,Q7NGK9_GLOVI,nan,GLOVI,1.0,,,,,,,,,,,1,,,
Q7NL49,Q7NL49_GLOVI,nan,GLOVI,1.0,,,,,,,,,,,1,,,
Q7UF12,Q7UF12_RHOBA,nan,RHOBA,1.0,,,,,,,,,,,1,,,
Q8A0Y2,Q8A0Y2_BACTN,nan,BACTN,1.0,,,,,,,,,,,1,,,
Q8T9W1,TAGD_DICDI,nan,DICDI,1.0,,,,,,,,,,,,,,1
Q948Q4,nan,nan,nan,1.0,,,,,,1,,,,,,,,
Q9FBZ4,Q9FBZ4_STRCO,nan,STRCO,1.0,,,,,,,,,,,1,,,
Q9FC06,Q9FC06_STRCO,nan,STRCO,1.0,,,,,,,,,,,1,,,
Q9L0A0,Q9L0A0_STRCO,nan,STRCO,1.0,,,,,,,,,,,1,,,
Q9L1Z8,Q9L1Z8_STRCO,nan,STRCO,1.0,,,,,,,,,,,1,,,
Q9RL54,Q9RL54_STRCO,nan,STRCO,1.0,,,,,,,,,,,1,,,
Q55EK1,Q55EK1_DICDI,nan,DICDI,1.0,,,,,,,,,1,,,,,
Q55C28,Q55C28_DICDI,nan,DICDI,1.0,,,,,,,,,1,,,,,
Q55E86,Q55E86_DICDI,nan,DICDI,1.0,,,,,,,,,1,,,,,
A7EUQ2,A7EUQ2_SCLS1,nan,SCLS1,1.0,,1,,,,,,,,,,,,
A9SIN6,A9SIN6_PHYPA,nan,PHYPA,1.0,,,,,,,,,,,,,,1
A9WDW5,A9WDW5_CHLAA,nan,CHLAA,1.0,,,,,,,,,,,1,,,
A9WFA0,A9WFA0_CHLAA,nan,CHLAA,1.0,,,,,,,,,,,1,,,
A9WFL7,A9WFL7_CHLAA,nan,CHLAA,1.0,,,,,,,,,,,1,,,
B0G129,B0G129_DICDI,nan,DICDI,1.0,,,,,,,,,1,,,,,
B8BY38,B8BY38_THAPS,nan,THAPS,1.0,,,,,,,,,,,,,,1
B8C0P5,B8C0P5_THAPS,nan,THAPS,1.0,,,,,,,,,,,,,,1
B8C2S3,B8C2S3_THAPS,nan,THAPS,1.0,,,,,,,,,,,,,,1
B8CAR1,B8CAR1_THAPS,nan,THAPS,1.0,,,,,,,,,,,,,,1
O31788,APRX_BACSU,nan,BACSU,1.0,,,,,,,,,,,1,,,
P54683,TAGB_DICDI,nan,DICDI,1.0,,,,,,,,,,,,,,1
Q0TXD0,Q0TXD0_PHANO,nan,PHANO,1.0,,,,,,1,,,,,,,,
Q23868,TAGC_DICDI,nan,DICDI,1.0,,,,,,,,,,,,,,1
Q4PA39,Q4PA39_USTMA,nan,USTMA,1.0,,1,,,,,,,,,,,,
Q54J39,Q54J39_DICDI,nan,DICDI,1.0,,,,,,,,,1,,,,,
Q9RUD0,Q9RUD0_DEIRA,nan,DEIRA,1.0,,,,,,,,,,,1,,,
