ACC,ENTRY,ENS,SPEC,COUNT,InParanoid,InParanoidCore,OMA_Groups,OMA_Pairs,PANTHER8_LDO,RBH,RSD,Orthoinspector,Hieranoid_2,EnsemblCompara_v2,PANTHER8_all,Metaphors,PhylomeDB,EggNOG
A2DVW0,A2DVW0_TRIVA,nan,TRIVA,7.0,,1,,,1,1,1,1,,,1,,,1
Q5F3J7,Q5F3J7_CHICK,nan,CHICK,6.0,,1,,,1,1,1,,,,1,,,1
C3ZKQ9,C3ZKQ9_BRAFL,nan,BRAFL,6.0,,,,,1,1,1,1,,,1,,,1
E7F7C2,E7F7C2_DANRE,ENSDARP00000110828,DANRE,5.0,,,,,1,1,1,,,,1,,,1
Q86X10,RLGPB_HUMAN,nan,HUMAN,5.0,,,,,1,1,1,,,,1,,,1
H2TC80,H2TC80_TAKRU,ENSTRUP00000022272,TAKRU,5.0,,,,,1,1,1,,,,1,,,1
F6X9Q0,F6X9Q0_ORNAN,ENSOANP00000022609,ORNAN,5.0,,,,,1,1,1,,,,1,,,1
A7RP36,A7RP36_NEMVE,nan,NEMVE,5.0,,,,,1,1,1,,,,1,,,1
F1MCG4,F1MCG4_BOVIN,ENSBTAP00000003956,BOVIN,5.0,,,,,1,1,1,,,,1,,,1
F6SYQ4,F6SYQ4_XENTR,ENSXETP00000046353,XENTR,5.0,,,,,1,1,1,,,,1,,,1
E2QUC4,E2QUC4_CANFA,ENSCAFP00000013175,CANFA,5.0,,,,,1,1,1,,,,1,,,1
D3ZVY3,nan,nan,nan,5.0,,,,,1,1,1,,,,1,,,1
Q8IRL5,Q8IRL5_DROME,nan,DROME,5.0,,,,,1,1,1,,,,1,,,1
F6QMJ8,F6QMJ8_MONDO,ENSMODP00000000485,MONDO,4.0,,,,,1,1,,,,,1,,,1
F7B4G0,F7B4G0_MACMU,ENSMMUP00000037922,MACMU,4.0,,,,,1,1,,,,,1,,,1
B7WN86,B7WN86_CAEEL,nan,CAEEL,4.0,,,,,,1,1,,,,1,,,1
Q7PN19,Q7PN19_ANOGA,nan,ANOGA,4.0,,1,,,1,,,,,,1,,,1
Q8BQZ4,RLGPB_MOUSE,nan,MOUSE,4.0,,,,,1,1,,,,,1,,,1
F6WDD7,F6WDD7_CIOIN,ENSCINP00000000650,CIOIN,3.0,,,,,1,,,,,,1,,,1
C4Q3F2,nan,nan,nan,3.0,,,,,1,,,,,,1,,,1
H2QKC3,H2QKC3_PANTR,ENSPTRP00000023158,PANTR,3.0,,,,,1,,,,,,1,,,1
Q18431,nan,nan,nan,3.0,,,,,1,,,,,,1,,,1
C4Q3F1,nan,nan,nan,1.0,,,,,,,,,,,,,,1
A7T355,A7T355_NEMVE,nan,NEMVE,1.0,,,,,,,,,,,,,,1
