ACC,ENTRY,ENS,SPEC,COUNT,InParanoid,InParanoidCore,OMA_Groups,OMA_Pairs,PANTHER8_LDO,RBH,RSD,Orthoinspector,Hieranoid_2,EnsemblCompara_v2,PANTHER8_all,Metaphors,PhylomeDB,EggNOG
A2E0T3,A2E0T3_TRIVA,nan,TRIVA,4.0,,,,,,1,1,1,,,1,,,
Q6ICX4,PTBP3_ARATH,nan,ARATH,3.0,,,,,,1,1,1,,,,,,
nan,nan,ENSOANP00000014634,ORNAN,2.0,,,,,,,1,,,,1,,,
H2TVG4,H2TVG4_TAKRU,ENSTRUP00000028673,TAKRU,2.0,,,,,,,1,,,,1,,,
F1MPG6,F1MPG6_BOVIN,ENSBTAP00000022272,BOVIN,2.0,,,,,,,1,,,,1,,,
F7EP64,F7EP64_XENTR,ENSXETP00000004736,XENTR,2.0,,,,,,,1,,,,1,,,
Q6C1Y4,Q6C1Y4_YARLI,nan,YARLI,1.0,,,,,,,,,,,1,,,
Q4P4X8,Q4P4X8_USTMA,nan,USTMA,1.0,,,,,,,,,,,1,,,
Q503D3,Q503D3_DANRE,nan,DANRE,1.0,,,,,,,,,,,1,,,
Q54PW8,Q54PW8_DICDI,nan,DICDI,1.0,,,,,,,1,,,,,,,
Q58EL3,Q58EL3_DANRE,nan,DANRE,1.0,,,,,,,,,,,1,,,
Q5F456,Q5F456_CHICK,nan,CHICK,1.0,,,,,,,,,,,1,,,
Q5KD19,Q5KD19_CRYNJ,nan,CRYNJ,1.0,,,,,,,,,,,1,,,
Q6P736,Q6P736_RAT,nan,RAT,1.0,,,,,,,,,,,1,,,
Q0UEV7,Q0UEV7_PHANO,nan,PHANO,1.0,,,,,,,,,,,1,,,
Q7SF93,Q7SF93_NEUCR,nan,NEUCR,1.0,,,,,,,,,,,1,,,
Q80XZ1,Q80XZ1_RAT,nan,RAT,1.0,,,,,,,,,,,1,,,
Q8BHD7,PTBP3_MOUSE,nan,MOUSE,1.0,,,,,,,,,,,1,,,
Q922I7,Q922I7_MOUSE,nan,MOUSE,1.0,,,,,,,,,,,1,,,
Q9FGL9,PTBP2_ARATH,nan,ARATH,1.0,,,,,,,,,,,1,,,
Q9MAC5,PTBP1_ARATH,nan,ARATH,1.0,,,,,,,,,,,1,,,
Q9Z118,PTBP3_RAT,nan,RAT,1.0,,,,,,,,,,,1,,,
Q18999,Q18999_CAEEL,nan,CAEEL,1.0,,,,,,,1,,,,,,,
O95758,PTBP3_HUMAN,nan,HUMAN,1.0,,,,,,,,,,,1,,,
P26599,PTBP1_HUMAN,nan,HUMAN,1.0,,,,,,,,,,,1,,,
A5PM68,A5PM68_DANRE,nan,DANRE,1.0,,,,,,,1,,,,,,,
A9SIE8,A9SIE8_PHYPA,nan,PHYPA,1.0,,,,,,,,,,,1,,,
B0Y3Y7,B0Y3Y7_ASPFC,nan,ASPFC,1.0,,,,,,,,,,,1,,,
C4Q5A2,nan,nan,nan,1.0,,,,,,,,,,,1,,,
C4Q789,nan,nan,nan,1.0,,,,,,,,,,,1,,,
E7FB37,E7FB37_DANRE,ENSDARP00000040307,DANRE,1.0,,,,,,,,,,,1,,,
F1LY02,F1LY02_RAT,ENSRNOP00000053780,RAT,1.0,,,,,,,,,,,1,,,
F1PCJ7,F1PCJ7_CANFA,ENSCAFP00000029146,CANFA,1.0,,,,,,,,,,,1,,,
F1PXP9,F1PXP9_CANFA,ENSCAFP00000004485,CANFA,1.0,,,,,,,,,,,1,,,
F6YQS8,F6YQS8_MACMU,ENSMMUP00000000633,MACMU,1.0,,,,,,,,,,,1,,,
F6YXS8,F6YXS8_XENTR,ENSXETP00000046827,XENTR,1.0,,,,,,,,,,,1,,,
F7BRN9,F7BRN9_MONDO,ENSMODP00000007822,MONDO,1.0,,,,,,,,,,,1,,,
F7GF18,F7GF18_MACMU,ENSMMUP00000021615,MACMU,1.0,,,,,,,,,,,1,,,
F7GFP3,F7GFP3_MONDO,ENSMODP00000006815,MONDO,1.0,,,,,,,,,,,1,,,
H2R1D9,H2R1D9_PANTR,ENSPTRP00000042216,PANTR,1.0,,,,,,,,,,,1,,,
H2SY12,H2SY12_TAKRU,ENSTRUP00000017300,TAKRU,1.0,,,,,,,,,,,1,,,
H2TLP6,H2TLP6_TAKRU,ENSTRUP00000025601,TAKRU,1.0,,,,,,,,,,,1,,,
O74452,SCW1_SCHPO,nan,SCHPO,1.0,,,,,,,,,,,1,,,
nan,nan,ENSPTRP00000036320,PANTR,1.0,,,,,,,,,,,1,,,
