ACC,ENTRY,ENS,SPEC,COUNT,InParanoid,InParanoidCore,OMA_Groups,OMA_Pairs,PANTHER8_LDO,RBH,RSD,Orthoinspector,Hieranoid_2,EnsemblCompara_v2,PANTHER8_all,Metaphors,PhylomeDB,EggNOG
A2FJC9,A2FJC9_TRIVA,nan,TRIVA,4.0,,,1,1,,,,,,,,1,1,
Q59K16,Q59K16_CANAL,nan,CANAL,2.0,,,,,,,,,,,,1,1,
B8BXA8,B8BXA8_THAPS,nan,THAPS,1.0,,,,1,,,,,,,,,,
F7G6X2,F7G6X2_ORNAN,ENSOANP00000014663,ORNAN,1.0,,,,1,,,,,,,,,,
H2VA47,H2VA47_TAKRU,ENSTRUP00000046087,TAKRU,1.0,,,,,,,,,,,,,1,
P34562,YNP9_CAEEL,nan,CAEEL,1.0,,,1,,,,,,,,,,,
P46150,MOEH_DROME,nan,DROME,1.0,,,,,,,,,,,,,1,
Q17466,Q17466_CAEEL,nan,CAEEL,1.0,,,,,,,,,,,,,1,
Q1L8B5,nan,nan,nan,1.0,,,,,,,,,,,,,1,
Q8F432,Q8F432_LEPIN,nan,LEPIN,1.0,,,,,,,,,,,,,1,
Q8F4F8,Q8F4F8_LEPIN,nan,LEPIN,1.0,,,,,,,,,,,,,1,
Q9Z2B7,Q9Z2B7_RAT,nan,RAT,1.0,,,,,,,,,,,,,1,
