ACC,ENTRY,ENS,SPEC,COUNT,InParanoid,InParanoidCore,OMA_Groups,OMA_Pairs,PANTHER8_LDO,RBH,RSD,Orthoinspector,Hieranoid_2,EnsemblCompara_v2,PANTHER8_all,Metaphors,PhylomeDB,EggNOG
F6W7G5,F6W7G5_XENTR,ENSXETP00000030562,XENTR,9.0,1,1,1,1,,,1,,,1,1,1,,1
Q5TTA4,nan,nan,nan,5.0,,1,,,,,1,,,1,1,1,,
A7S1W8,A7S1W8_NEMVE,nan,NEMVE,3.0,,,,,,,,,,1,1,,,1
A7T433,A7T433_NEMVE,nan,NEMVE,3.0,,,,,,,,,,1,1,,,1
nan,nan,ENSOANP00000003520,ORNAN,3.0,1,,1,1,,,,,,,,,,
C3ZWE3,C3ZWE3_BRAFL,nan,BRAFL,2.0,,,,,,,,,,,1,,,1
Q7QAZ1,Q7QAZ1_ANOGA,nan,ANOGA,2.0,,,,,,,,,,,1,,,1
C4QBA6,nan,nan,nan,2.0,,,,,,,,,,,1,,,1
P16371,GROU_DROME,nan,DROME,2.0,,,,,,,,,,,1,,,1
O02482,UNC37_CAEEL,nan,CAEEL,2.0,,,,,,,,,,,1,,,1
B7Q9T1,B7Q9T1_IXOSC,nan,IXOSC,2.0,,,,,,,,,,,1,,,1
F6WD89,F6WD89_CIOIN,ENSCINP00000017756,CIOIN,2.0,,,,,,,,,,,1,,,1
Q4H3F0,Q4H3F0_CIOIN,ENSCINP00000017742,CIOIN,2.0,,,,,,,,,,,1,,,1
B7PS08,B7PS08_IXOSC,nan,IXOSC,2.0,,,,,,,,,,,1,,,1
Q7PMQ2,Q7PMQ2_ANOGA,nan,ANOGA,2.0,,,,,,,,,,,1,,,1
Q1LXH1,Q1LXH1_DANRE,nan,DANRE,1.0,,,,,,,,,,1,,,,
Q496Z7,Q496Z7_RAT,nan,RAT,1.0,,,,,,,,,,,,1,,
Q98TH2,Q98TH2_DANRE,nan,DANRE,1.0,,,,,,,,,,1,,,,
Q04726,TLE3_HUMAN,nan,HUMAN,1.0,,,,,,,,,,1,,,,
Q9JIT3,TLE3_RAT,nan,RAT,1.0,,,,,,,,,,1,,,,
Q9PTS6,Q9PTS6_DANRE,nan,DANRE,1.0,,,,,,,,,,,1,,,
Q9WVB2,TLE2_MOUSE,nan,MOUSE,1.0,,,,,,,,,,,,1,,
nan,nan,ENSBTAP00000049366,BOVIN,1.0,,,,,,,,,,,1,,,
nan,nan,ENSCAFP00000028475,CANFA,1.0,,,,,,,,,,,1,,,
nan,nan,ENSGALP00000005117,CHICK,1.0,,1,,,,,,,,,,,,
nan,nan,ENSGALP00000028279,CHICK,1.0,,,,,,,,,,1,,,,
nan,nan,ENSMODP00000011484,MONDO,1.0,,,,,,,,,,1,,,,
Q08117,AES_HUMAN,nan,HUMAN,1.0,,,,,,,,,,,1,,,
P63002,AES_MOUSE,nan,MOUSE,1.0,,,,,,,,,,,1,,,
Q04725,TLE2_HUMAN,nan,HUMAN,1.0,,,,,,,,,,,,1,,
P63003,AES_RAT,nan,RAT,1.0,,,,,,,,,,,1,,,
E0CXU1,E0CXU1_MOUSE,nan,MOUSE,1.0,,,,,,,,,,1,,,,
F1ML22,F1ML22_BOVIN,ENSBTAP00000037784,BOVIN,1.0,,,,,,,,,,1,,,,
F1PKX6,F1PKX6_CANFA,ENSCAFP00000025949,CANFA,1.0,,,,,,,,,,1,,,,
C1LZY6,nan,nan,nan,1.0,,,,,,,,,,,1,,,
F6WJX7,F6WJX7_ORNAN,ENSOANP00000013990,ORNAN,1.0,,,,,,,,,,,1,,,
F7AVT5,F7AVT5_MACMU,ENSMMUP00000018430,MACMU,1.0,,,,,,,,,,1,,,,
F7ECH5,F7ECH5_MONDO,ENSMODP00000023888,MONDO,1.0,,,,,,,,,,,1,,,
F7H1S8,F7H1S8_MACMU,ENSMMUP00000003906,MACMU,1.0,,,,,,,,,,,1,,,
F7H1T4,F7H1T4_MACMU,ENSMMUP00000003902,MACMU,1.0,,,,,,,,,,,,1,,
G5E510,G5E510_BOVIN,ENSBTAP00000001534,BOVIN,1.0,,,,,,,,,,,,1,,
H2Q9Q1,H2Q9Q1_PANTR,ENSPTRP00000012367,PANTR,1.0,,,,,,,,,,1,,,,
H2QEX9,H2QEX9_PANTR,ENSPTRP00000017421,PANTR,1.0,,,,,,,,,,,1,,,
H2R3W5,H2R3W5_PANTR,ENSPTRP00000046179,PANTR,1.0,,,,,,,,,,,,1,,
H2UNW4,H2UNW4_TAKRU,ENSTRUP00000038635,TAKRU,1.0,,,,,,,,,,1,,,,
H2UV55,H2UV55_TAKRU,ENSTRUP00000040830,TAKRU,1.0,,,,,,,,,,,1,,,
H2V1D3,H2V1D3_TAKRU,ENSTRUP00000043013,TAKRU,1.0,,,,,,,,,,1,,,,
