ACC,ENTRY,ENS,SPEC,COUNT,InParanoid,InParanoidCore,OMA_Groups,OMA_Pairs,PANTHER8_LDO,RBH,RSD,Orthoinspector,Hieranoid_2,EnsemblCompara_v2,PANTHER8_all,Metaphors,PhylomeDB,EggNOG
F6WAI4,F6WAI4_XENTR,ENSXETP00000011081,XENTR,12.0,1,1,,1,1,1,1,1,,1,1,1,1,1
B7Q7A5,B7Q7A5_IXOSC,nan,IXOSC,10.0,1,1,,,1,1,1,1,,,1,1,1,1
F6RG00,F6RG00_MONDO,ENSMODP00000008613,MONDO,7.0,,,,1,1,,1,,,,1,1,1,1
P0ACE7,HINT_ECOLI,nan,ECOLI,6.0,,,,,,,,1,,1,1,1,1,1
P73481,YHIT_SYNY3,nan,SYNY3,5.0,,,,,,,,,,1,1,1,1,1
Q9D0S9,HINT2_MOUSE,nan,MOUSE,5.0,,,,,1,,,,,,1,1,1,1
Q9BX68,HINT2_HUMAN,nan,HUMAN,5.0,,,,,1,,,,,,1,1,1,1
Q8SQ21,HINT2_BOVIN,ENSBTAP00000015208,BOVIN,5.0,,,,,1,,,,,,1,1,1,1
Q8RHW7,Q8RHW7_FUSNN,nan,FUSNN,5.0,,,,,,,,,,1,1,1,1,1
Q7UL22,Q7UL22_RHOBA,nan,RHOBA,5.0,,,,,,,,,,1,1,1,1,1
Q7NM40,Q7NM40_GLOVI,nan,GLOVI,5.0,,,,,,,,,,1,1,1,1,1
Q3KLW8,Q3KLW8_CHLTA,nan,CHLTA,5.0,,,,,,,,,,1,1,1,1,1
A3KP93,A3KP93_DANRE,nan,DANRE,5.0,,,,,1,,,,,,1,1,1,1
H2QX91,H2QX91_PANTR,ENSPTRP00000035787,PANTR,5.0,,,,,1,,,,,,1,1,1,1
F7GRL0,F7GRL0_MACMU,ENSMMUP00000021458,MACMU,5.0,,,,,1,,,,,,1,1,1,1
F7AX27,F7AX27_CIOIN,ENSCINP00000021825,CIOIN,5.0,,,,,1,,,,,,1,1,1,1
Q9RTX9,Q9RTX9_DEIRA,nan,DEIRA,5.0,,,,,,,,1,,,1,1,1,1
E2RF32,E2RF32_CANFA,ENSCAFP00000003255,CANFA,5.0,,,,,1,,,,,,1,1,1,1
D4AB01,D4AB01_RAT,nan,RAT,5.0,,,,,1,,,,,,1,1,1,1
A6UZF7,A6UZF7_PSEA7,nan,PSEA7,4.0,,,,,,,,,,,1,1,1,1
B5YK63,B5YK63_THEYD,nan,THEYD,4.0,,,,,,,,,,,1,1,1,1
Q23921,PKIA_DICDI,nan,DICDI,4.0,,,,,,,,,,,1,1,1,1
Q8F673,Q8F673_LEPIN,nan,LEPIN,3.0,,,,,,,,,,,1,,1,1
Q9RDE3,Q9RDE3_STRCO,nan,STRCO,3.0,,,,,,,,,,,1,,1,1
Q74D94,Q74D94_GEOSL,nan,GEOSL,3.0,,,,,,,,,,,1,1,,1
O66536,YHIT_AQUAE,nan,AQUAE,3.0,,,,,,,,,,,1,1,,1
Q54HJ0,Q54HJ0_DICDI,nan,DICDI,3.0,,,,,,,,,,,1,1,,1
Q4P3W7,Q4P3W7_USTMA,nan,USTMA,2.0,1,,,,,,,,,1,,,,
Q89JY4,Q89JY4_BRADU,nan,BRADU,1.0,,,,,,,,,,1,,,,
Q8A4N3,Q8A4N3_BACTN,nan,BACTN,1.0,,,,,,,,,,1,,,,
Q8GYJ9,Q8GYJ9_ARATH,nan,ARATH,1.0,,,,,,,,,,,1,,,
Q8GUN2,Q8GUN2_ARATH,nan,ARATH,1.0,,,,,,,,,,,,1,,
Q7S3H7,Q7S3H7_NEUCR,nan,NEUCR,1.0,,,,,,,,,,,,1,,
A7TAR3,A7TAR3_NEMVE,nan,NEMVE,1.0,,,,,,,,,,1,,,,
A7SX81,A7SX81_NEMVE,nan,NEMVE,1.0,,,,,,,,,,,1,,,
Q8TSI5,Q8TSI5_METAC,nan,METAC,1.0,,,,,,,,,,,,,1,
A6V2C7,A6V2C7_PSEA7,nan,PSEA7,1.0,,,,,,,,,,1,,,,
A8BMK0,A8BMK0_GIAIC,nan,GIAIC,1.0,,,,,,,,,,1,,,,
Q59WG0,Q59WG0_CANAL,nan,CANAL,1.0,,,,,,,,,,,,1,,
A9T422,A9T422_PHYPA,nan,PHYPA,1.0,,,,,,,,,,,1,,,
Q5KLA4,Q5KLA4_CRYNJ,nan,CRYNJ,1.0,,,,,,,,,,1,,,,
Q58276,Y866_METJA,nan,METJA,1.0,,,,,,,,,,1,,,,
A9UTV8,A9UTV8_MONBE,nan,MONBE,1.0,,,,,,,,,,,1,,,
Q0U7Q9,Q0U7Q9_PHANO,nan,PHANO,1.0,,,,,,,,,,1,,,,
Q04344,HNT1_YEAST,nan,YEAST,1.0,,,,,,,,,,,,1,,
B0R7A2,B0R7A2_HALS3,nan,HALS3,1.0,,,,,,,,,,1,,,,
B0Y8V4,B0Y8V4_ASPFC,nan,ASPFC,1.0,,,,,,1,,,,,,,,
O94586,HNT1_SCHPO,nan,SCHPO,1.0,,,,,,,,,,,,1,,
O07513,HIT_BACSU,nan,BACSU,1.0,,,,,,,,,,,,,1,
C3ZJE3,C3ZJE3_BRAFL,nan,BRAFL,1.0,,,,,,,,,,1,,,,
C4QAD0,nan,nan,nan,1.0,,,,,,,,,,,,,,1
A2E0S0,A2E0S0_TRIVA,nan,TRIVA,1.0,,,,,,,,,,,,1,,
