ACC,ENTRY,ENS,SPEC,COUNT,InParanoid,InParanoidCore,OMA_Groups,OMA_Pairs,PANTHER8_LDO,RBH,RSD,Orthoinspector,Hieranoid_2,EnsemblCompara_v2,PANTHER8_all,Metaphors,PhylomeDB,EggNOG
H2QMM9,H2QMM9_PANTR,ENSPTRP00000025790,PANTR,14.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
B1WC06,B1WC06_RAT,nan,RAT,14.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Q86VX9,MON1A_HUMAN,nan,HUMAN,14.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Q6PDG8,MON1A_MOUSE,nan,MOUSE,14.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Q5ZIH2,MON1A_CHICK,nan,CHICK,14.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Q17QV2,MON1A_BOVIN,ENSBTAP00000026711,BOVIN,14.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
F7EIN6,F7EIN6_MONDO,ENSMODP00000015430,MONDO,14.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
F7DQX4,F7DQX4_ORNAN,ENSOANP00000005604,ORNAN,14.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
F6XF57,F6XF57_XENTR,ENSXETP00000015913,XENTR,14.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
F1Q3A6,F1Q3A6_CANFA,ENSCAFP00000016132,CANFA,14.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Q9YGN1,SAND_TAKRU,ENSTRUP00000035651,TAKRU,14.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
A5D8S7,A5D8S7_DANRE,nan,DANRE,14.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
C3YLH1,C3YLH1_BRAFL,nan,BRAFL,13.0,1,1,1,1,1,1,,1,1,1,1,1,1,1
Q7Q176,Q7Q176_ANOGA,nan,ANOGA,13.0,1,1,1,1,1,1,,1,1,1,1,1,1,1
A7SAR3,A7SAR3_NEMVE,nan,NEMVE,13.0,1,1,1,1,1,1,,1,1,1,1,1,1,1
Q9BI89,Q9BI89_CAEEL,nan,CAEEL,13.0,,1,1,1,1,1,1,1,1,1,1,1,1,1
F7HC88,F7HC88_MACMU,ENSMMUP00000039318,MACMU,13.0,1,1,,1,1,1,1,1,1,1,1,1,1,1
A9V5Q8,A9V5Q8_MONBE,nan,MONBE,12.0,1,1,1,,1,1,,1,1,1,1,1,1,1
F6ZS04,F6ZS04_CIOIN,ENSCINP00000004262,CIOIN,12.0,1,1,1,,1,1,,1,1,1,1,1,1,1
Q5KJ15,nan,nan,nan,12.0,,1,1,1,1,1,,1,1,1,1,1,1,1
Q8MRZ0,Q8MRZ0_DROME,nan,DROME,12.0,1,1,1,,1,1,,1,1,1,1,1,1,1
Q10150,MON1_SCHPO,nan,SCHPO,11.0,,1,1,,1,1,,1,1,1,1,1,1,1
P53129,MON1_YEAST,nan,YEAST,11.0,,1,,1,1,1,1,1,1,,1,1,1,1
Q9SKN1,Q9SKN1_ARATH,nan,ARATH,11.0,,1,,1,1,1,,1,1,1,1,1,1,1
C4Q6G4,nan,nan,nan,11.0,,1,1,,1,1,,1,1,1,1,1,1,1
Q8IDH2,Q8IDH2_PLAF7,nan,PLAF7,10.0,,1,,,1,1,1,1,,1,1,1,1,1
Q4PA36,MON1_USTMA,nan,USTMA,10.0,,1,,,1,1,,1,1,1,1,1,1,1
Q54TG0,Q54TG0_DICDI,nan,DICDI,10.0,,1,1,,1,1,,1,,1,1,1,1,1
Q0U822,MON1_PHANO,nan,PHANO,9.0,,1,,,1,1,,1,1,,1,1,1,1
Q870Q4,MON1_NEUCR,nan,NEUCR,9.0,,1,,,1,1,,1,1,,1,1,1,1
Q5A723,MON1_CANAL,nan,CANAL,9.0,,1,,,1,1,,1,1,,1,1,1,1
A9U2Y9,A9U2Y9_PHYPA,nan,PHYPA,9.0,,,1,,1,1,,1,1,1,1,,1,1
Q6CCU8,MON1_YARLI,nan,YARLI,9.0,,1,,,1,1,,1,1,,1,1,1,1
A7ECD1,A7ECD1_SCLS1,nan,SCLS1,9.0,,1,,,1,1,,1,1,,1,1,1,1
B7QLV2,B7QLV2_IXOSC,nan,IXOSC,6.0,,,,,,1,1,1,,1,,1,,1
A2EGY1,A2EGY1_TRIVA,nan,TRIVA,6.0,,1,,,,1,,1,,1,1,,,1
A9S843,A9S843_PHYPA,nan,PHYPA,6.0,,,,,,,1,1,1,1,1,,,1
A2FJP3,A2FJP3_TRIVA,nan,TRIVA,5.0,,,,,1,,,1,,,1,,1,1
Q4Q3H9,Q4Q3H9_LEIMA,nan,LEIMA,5.0,,1,,,1,1,1,,,,1,,,
B0XVF1,B0XVF1_ASPFC,nan,ASPFC,4.0,,,,,,1,1,1,,,,,,1
A7SZ37,A7SZ37_NEMVE,nan,NEMVE,1.0,,,,,,,,,,,1,,,
