ACC,ENTRY,ENS,SPEC,COUNT,InParanoid,InParanoidCore,OMA_Groups,OMA_Pairs,PANTHER8_LDO,RBH,RSD,Orthoinspector,Hieranoid_2,EnsemblCompara_v2,PANTHER8_all,Metaphors,PhylomeDB,EggNOG
H2PZS3,H2PZS3_PANTR,ENSPTRP00000001993,PANTR,14.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
E2RCF0,E2RCF0_CANFA,ENSCAFP00000014553,CANFA,14.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
D3ZWA9,nan,nan,nan,14.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Q7JUR6,GDAP2_DROME,nan,DROME,14.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Q66HX8,GDAP2_DANRE,nan,DANRE,14.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
C3YH95,C3YH95_BRAFL,nan,BRAFL,14.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Q5TST8,Q5TST8_ANOGA,nan,ANOGA,14.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
B7PR73,B7PR73_IXOSC,nan,IXOSC,14.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
F6YLY4,F6YLY4_XENTR,ENSXETP00000021862,XENTR,14.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
F7A1V0,F7A1V0_MONDO,ENSMODP00000006423,MONDO,14.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Q94JV1,Q94JV1_ARATH,nan,ARATH,14.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
A7T167,GDAP2_NEMVE,nan,NEMVE,14.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Q9DBL2,GDAP2_MOUSE,nan,MOUSE,14.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
H2RWP8,H2RWP8_TAKRU,ENSTRUP00000004568,TAKRU,14.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Q9NXN4,GDAP2_HUMAN,nan,HUMAN,14.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Q2KIX2,GDAP2_BOVIN,ENSBTAP00000021791,BOVIN,14.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
E1C8K9,E1C8K9_CHICK,nan,CHICK,14.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
F7A761,F7A761_ORNAN,ENSOANP00000004859,ORNAN,13.0,1,1,,1,1,1,1,1,1,1,1,1,1,1
Q54PT1,GDAP2_DICDI,nan,DICDI,13.0,1,1,,1,1,1,1,1,1,1,1,1,1,1
A9TCN7,A9TCN7_PHYPA,nan,PHYPA,10.0,,,1,,1,1,1,1,1,1,1,,1,1
Q8TQD0,Y1614_METAC,nan,METAC,8.0,1,1,,,,,1,1,,1,1,1,1,
A8B9L0,A8B9L0_GIAIC,nan,GIAIC,8.0,1,,,,1,1,1,1,,1,1,1,,
F6WS61,F6WS61_MACMU,ENSMMUP00000011154,MACMU,6.0,,,,,,1,1,1,,1,,1,,1
Q0UQZ6,Q0UQZ6_PHANO,nan,PHANO,6.0,1,,,,,1,1,1,,1,,1,,
B0Y0A7,B0Y0A7_ASPFC,nan,ASPFC,6.0,1,1,,,,1,,1,,1,,1,,
A9RZ61,A9RZ61_PHYPA,nan,PHYPA,6.0,,,,,,,,1,1,1,1,,1,1
Q89IC9,Q89IC9_BRADU,nan,BRADU,5.0,,,,,,,1,1,,1,1,1,,
C0H4N1,C0H4N1_PLAF7,nan,PLAF7,5.0,1,1,,,,1,1,,,,,,,1
Q8RHQ2,Y1951_FUSNN,nan,FUSNN,5.0,,,,,,,1,1,,1,1,1,,
A9VAV1,A9VAV1_MONBE,nan,MONBE,5.0,,,,,,1,1,1,,,,1,1,
A6V194,A6V194_PSEA7,nan,PSEA7,5.0,,,,,,,1,1,,1,1,1,,
H9H4F9,H9H4F9_MACMU,ENSMMUP00000032246,MACMU,5.0,,,,,1,,,,,1,1,1,,1
Q74FT0,Q74FT0_GEOSL,nan,GEOSL,4.0,,,,,,,,1,,1,1,1,,
Q5KCD7,Q5KCD7_CRYNJ,nan,CRYNJ,4.0,,,,,,1,1,1,,1,,,,
Q8EYT0,Y4133_LEPIN,nan,LEPIN,4.0,,,,,,,,,,1,1,1,1,
O07733,nan,nan,nan,4.0,,,,,,,,,,1,1,1,1,
P0A8D6,YMDB_ECOLI,nan,ECOLI,4.0,,,,,,,,,,1,1,1,1,
Q17432,Q17432_CAEEL,nan,CAEEL,3.0,,,,,,1,,1,,1,,,,
Q9RS39,Y2288_DEIRA,nan,DEIRA,3.0,1,,,,,,,,,1,1,,,
Q7S9Z3,nan,nan,nan,3.0,1,1,,,,,,,,1,,,,
Q9ZBG3,Y6450_STRCO,nan,STRCO,3.0,,,,,,,,,,1,1,,1,
O67112,Y987_AQUAE,nan,AQUAE,3.0,,,,,,,,,,1,,1,1,
A9WK70,A9WK70_CHLAA,nan,CHLAA,3.0,,,,,,,,,,1,1,1,,
B1L625,B1L625_KORCO,nan,KORCO,3.0,,,,,,,,,,1,,1,1,
B5YKC1,B5YKC1_THEYD,nan,THEYD,3.0,,,,,,,,,,1,,1,1,
F6WIP7,F6WIP7_CIOIN,ENSCINP00000027628,CIOIN,3.0,,,,,1,,,,,1,1,,,
F6RJ04,F6RJ04_CIOIN,ENSCINP00000025444,CIOIN,3.0,,1,,,,1,,1,,,,,,
F6RIZ5,F6RIZ5_CIOIN,ENSCINP00000025445,CIOIN,3.0,,,,,,,1,1,,,,,,1
C4Q6S2,nan,nan,nan,2.0,,,,,,1,,1,,,,,,
Q97UU4,Y2899_SULSO,nan,SULSO,2.0,,,,,,,,,,1,,,1,
B8E3B6,B8E3B6_DICTD,nan,DICTD,2.0,1,,,,,,,,,1,,,,
C4Q6S1,nan,nan,nan,2.0,,,,,,,1,1,,,,,,
A2DE53,A2DE53_TRIVA,nan,TRIVA,2.0,,,,,,,,1,,1,,,,
Q6ZED8,Q6ZED8_SYNY3,nan,SYNY3,2.0,,,,,,,,1,,,1,,,
Q5JER1,Y1890_THEKO,nan,THEKO,2.0,,,,,,,,,,1,,,1,
Q59Z77,Q59Z77_CANAL,nan,CANAL,2.0,,,,,,,,1,,,,,1,
Q59Z15,Q59Z15_CANAL,nan,CANAL,2.0,,,,,,1,,1,,,,,,
A2DKL5,A2DKL5_TRIVA,nan,TRIVA,2.0,,,,,,1,,1,,,,,,
F1M8R3,F1M8R3_RAT,ENSRNOP00000040582,RAT,1.0,,,,,,,,,,,,1,,
Q4P1I0,Q4P1I0_USTMA,nan,USTMA,1.0,,,,,,,,,,1,,,,
F6SV32,F6SV32_MACMU,ENSMMUP00000037472,MACMU,1.0,,,,,,,,,,,,1,,
Q8IKY5,Q8IKY5_PLAF7,nan,PLAF7,1.0,,,,,,,,,,,,1,,
A7F886,A7F886_SCLS1,nan,SCLS1,1.0,,,,,,,,,,1,,,,
A2FMC7,A2FMC7_TRIVA,nan,TRIVA,1.0,,,,,,,,1,,,,,,
A2DTG7,A2DTG7_TRIVA,nan,TRIVA,1.0,,,,,,,,1,,,,,,
Q9WYX8,Y508_THEMA,nan,THEMA,1.0,,,,,,,,,,,,,1,
Q7USQ4,Q7USQ4_RHOBA,nan,RHOBA,1.0,,,,,,,,,,,,1,,
