ACC,ENTRY,ENS,SPEC,COUNT,InParanoid,InParanoidCore,OMA_Groups,OMA_Pairs,PANTHER8_LDO,RBH,RSD,Orthoinspector,Hieranoid_2,EnsemblCompara_v2,PANTHER8_all,Metaphors,PhylomeDB,EggNOG
F6T5N0,F6T5N0_ORNAN,ENSOANP00000018223,ORNAN,14.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
O62836,ZFX_BOVIN,ENSBTAP00000010165,BOVIN,14.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
F6XSI9,F6XSI9_MACMU,ENSMMUP00000012830,MACMU,14.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
F7GJX3,F7GJX3_MONDO,ENSMODP00000009326,MONDO,14.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
F1PB02,F1PB02_CANFA,ENSCAFP00000019757,CANFA,14.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
F6ZHV3,F6ZHV3_XENTR,ENSXETP00000017004,XENTR,14.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
P17012,ZFX_MOUSE,nan,MOUSE,13.0,,1,1,1,1,1,1,1,1,1,1,1,1,1
H2QYE9,H2QYE9_PANTR,ENSPTRP00000037292,PANTR,12.0,,,1,1,1,1,1,1,1,1,1,1,1,1
P17010,ZFX_HUMAN,nan,HUMAN,12.0,,,1,1,1,1,1,1,1,1,1,1,1,1
Q7LZ62,Q7LZ62_CHICK,nan,CHICK,10.0,,,,,1,1,1,1,1,1,1,1,1,1
H2V292,H2V292_TAKRU,ENSTRUP00000043323,TAKRU,9.0,1,,,1,1,1,1,1,,1,1,,,1
P08048,ZFY_HUMAN,nan,HUMAN,7.0,,,,,,,,1,1,1,1,1,1,1
Q6B4Z5,ZFY_PANTR,ENSPTRP00000038749,PANTR,7.0,,,,,,,,1,1,1,1,1,1,1
P23607,ZFA_MOUSE,nan,MOUSE,7.0,,,,,,,,1,1,1,1,1,1,1
P10925,ZFY1_MOUSE,nan,MOUSE,5.0,,,,,,,,,1,,1,1,1,1
H9GXV4,H9GXV4_DANRE,ENSDARP00000098459,DANRE,5.0,,,,1,,,1,,,1,1,,,1
D3ZVD6,nan,nan,nan,5.0,1,1,,,,1,,1,1,,,,,
P20662,ZFY2_MOUSE,nan,MOUSE,5.0,,,,,,,,,1,,1,1,1,1
E7F557,E7F557_DANRE,ENSDARP00000099445,DANRE,4.0,,,,,1,,,,,1,1,,,1
A7Y7X5,ZN711_DANRE,nan,DANRE,4.0,1,,,,,1,,1,1,,,,,
A7RSV6,A7RSV6_NEMVE,nan,NEMVE,2.0,,,,,,,,,,,,1,1,
A7S2E0,A7S2E0_NEMVE,nan,NEMVE,2.0,,,,,,,,,,,,1,1,
H2SJY6,H2SJY6_TAKRU,ENSTRUP00000012719,TAKRU,1.0,,,,,,,,,,,,,1,
F7GST5,F7GST5_MACMU,ENSMMUP00000017889,MACMU,1.0,,,,,,,,,1,,,,,
nan,nan,ENSCINP00000001954,CIOIN,1.0,,,,,,,,,,,,1,,
G3X7I7,G3X7I7_BOVIN,ENSBTAP00000031537,BOVIN,1.0,,,,,,,,,1,,,,,
nan,nan,ENSCINP00000010384,CIOIN,1.0,,,,,,,,,,,,,1,
H2RC05,H2RC05_PANTR,ENSPTRP00000056594,PANTR,1.0,,,,,,,,,1,,,,,
Q9XYD3,HBL1_CAEEL,nan,CAEEL,1.0,,,,,,,,,,,,,1,
H2TKI9,H2TKI9_TAKRU,ENSTRUP00000025193,TAKRU,1.0,,,,,,,,,1,,,,,
O17582,SPR4_CAEEL,nan,CAEEL,1.0,,,,,,,,,,,1,,,
Q9Y462,ZN711_HUMAN,nan,HUMAN,1.0,,,,,,,,,1,,,,,
F7D7N6,F7D7N6_ORNAN,ENSOANP00000005452,ORNAN,1.0,,,,,,,,,,,,1,,
Q7KAH0,Q7KAH0_DROME,nan,DROME,1.0,,,,,,,,,,,1,,,
Q7QEX5,Q7QEX5_ANOGA,nan,ANOGA,1.0,,,,,,,,,,,1,,,
Q7QGH7,Q7QGH7_ANOGA,nan,ANOGA,1.0,,,,,,,,,,,1,,,
Q8QGH4,Q8QGH4_DANRE,nan,DANRE,1.0,,,,,,,,,,,,,1,
Q99NJ3,Q99NJ3_RAT,nan,RAT,1.0,,,,,,,,,,,,,,1
Q9VNZ4,Q9VNZ4_DROME,nan,DROME,1.0,,,,,,,,,,,,1,,
O61360,O61360_DROME,nan,DROME,1.0,,,,,,,,,,,,1,,
A7RP10,A7RP10_NEMVE,nan,NEMVE,1.0,,,,,,,,,,,1,,,
F6U5S4,F6U5S4_MONDO,ENSMODP00000017934,MONDO,1.0,,,,,,,,,1,,,,,
C3YHR4,C3YHR4_BRAFL,nan,BRAFL,1.0,,,,,,,,,,,,1,,
A7S4B6,A7S4B6_NEMVE,nan,NEMVE,1.0,,,,,,,,,,,,1,,
A7S5G4,A7S5G4_NEMVE,nan,NEMVE,1.0,,,,,,,,,,,,1,,
A7SCX8,A7SCX8_NEMVE,nan,NEMVE,1.0,,,,,,,,,,,,1,,
A7SEP7,A7SEP7_NEMVE,nan,NEMVE,1.0,,,,,,,,,,,1,,,
B7P6S8,B7P6S8_IXOSC,nan,IXOSC,1.0,,,,,,,,,,,,,1,
B7PVK3,B7PVK3_IXOSC,nan,IXOSC,1.0,,,,,,,,,,,,,1,
B7Q923,B7Q923_IXOSC,nan,IXOSC,1.0,,,,,,,,,,,1,,,
C3YBB2,C3YBB2_BRAFL,nan,BRAFL,1.0,,,,,,,,,,,,1,,
C3YEK7,C3YEK7_BRAFL,nan,BRAFL,1.0,,,,,,,,,,,,1,,
C3YEK8,C3YEK8_BRAFL,nan,BRAFL,1.0,,,,,,,,,,,,1,,
C3YHJ9,C3YHJ9_BRAFL,nan,BRAFL,1.0,,,,,,,,,,,,,1,
C3YHL3,C3YHL3_BRAFL,nan,BRAFL,1.0,,,,,,,,,,,,,1,
C3YHN5,C3YHN5_BRAFL,nan,BRAFL,1.0,,,,,,,,,,,,,1,
C3YM87,C3YM87_BRAFL,nan,BRAFL,1.0,,,,,,,,,,,,1,,
E2RKK4,E2RKK4_CANFA,ENSCAFP00000025633,CANFA,1.0,,,,,,,,,1,,,,,
C3YQQ3,C3YQQ3_BRAFL,nan,BRAFL,1.0,,,,,,,,,,,,,1,
C3YQQ5,C3YQQ5_BRAFL,nan,BRAFL,1.0,,,,,,,,,,,,1,,
C3YTR3,C3YTR3_BRAFL,nan,BRAFL,1.0,,,,,,,,,,,,1,,
C3YTU5,C3YTU5_BRAFL,nan,BRAFL,1.0,,,,,,,,,,,,1,,
C3YU31,C3YU31_BRAFL,nan,BRAFL,1.0,,,,,,,,,,,,,1,
C3YU42,C3YU42_BRAFL,nan,BRAFL,1.0,,,,,,,,,,,,1,,
C3YWR8,C3YWR8_BRAFL,nan,BRAFL,1.0,,,,,,,,,,,,1,,
C3YXW2,C3YXW2_BRAFL,nan,BRAFL,1.0,,,,,,,,,,,,,1,
C3ZKI3,C3ZKI3_BRAFL,nan,BRAFL,1.0,,,,,,,,,,,,1,,
C3ZRB3,C3ZRB3_BRAFL,nan,BRAFL,1.0,,,,,,,,,,,,,1,
C4A0I7,C4A0I7_BRAFL,nan,BRAFL,1.0,,,,,,,,,,,,,1,
C4PZG8,nan,nan,nan,1.0,,,,,,,,,,,1,,,
C4QG93,nan,nan,nan,1.0,,,,,,,,,,,,1,,
