ACC,ENTRY,ENS,SPEC,COUNT,InParanoid,InParanoidCore,OMA_Groups,OMA_Pairs,PANTHER8_LDO,RBH,RSD,Orthoinspector,Hieranoid_2,EnsemblCompara_v2,PANTHER8_all,Metaphors,PhylomeDB,EggNOG
F7BJM3,F7BJM3_XENTR,ENSXETP00000039415,XENTR,5.0,,,,,,,1,1,,1,,1,,1
Q960A5,nan,nan,nan,3.0,,,,,,,1,,,1,,,,1
H2UX83,H2UX83_TAKRU,ENSTRUP00000041562,TAKRU,3.0,,,,,,,1,,,1,,,,1
Q6NS59,F135A_MOUSE,nan,MOUSE,3.0,,,,,,,1,,,1,,,,1
E1BPW3,E1BPW3_BOVIN,ENSBTAP00000053334,BOVIN,3.0,,,,,,,1,,,1,,,,1
D3ZXW8,nan,nan,nan,3.0,,,,,,,1,,,1,,,,1
F7F6Z1,F7F6Z1_MACMU,ENSMMUP00000011889,MACMU,3.0,,,,,,,1,,,1,,,,1
Q8RXV4,Q8RXV4_ARATH,nan,ARATH,3.0,,,,,,,,1,,1,,,,1
B8A4Z2,B8A4Z2_DANRE,nan,DANRE,3.0,,,,,,,1,,,1,,,,1
Q9SLU9,Q9SLU9_ARATH,nan,ARATH,3.0,,,,,,,,1,,1,,,,1
A9V6C2,A9V6C2_MONBE,nan,MONBE,3.0,,,,,,,,1,,1,,,,1
A8MRZ8,A8MRZ8_ARATH,nan,ARATH,3.0,,,,,,,,1,,1,,,,1
Q9P2D6,F135A_HUMAN,nan,HUMAN,2.0,,,,,,,,,,1,,,,1
Q7Q725,Q7Q725_ANOGA,nan,ANOGA,2.0,,,,,,,,,,,,1,,1
Q54XL3,Q54XL3_DICDI,nan,DICDI,2.0,,,,,,,,,,1,,,,1
Q9W0I1,Q9W0I1_DROME,nan,DROME,2.0,,,,,,,,,,,,1,,1
F7FRQ1,F7FRQ1_MONDO,ENSMODP00000023165,MONDO,2.0,,,,,,,,,,1,,,,1
A7RLZ6,A7RLZ6_NEMVE,nan,NEMVE,2.0,,,,,,,,1,,,,,,1
F6PJ79,F6PJ79_CIOIN,ENSCINP00000004791,CIOIN,2.0,,,,,,,,,,,,1,,1
F6PTI0,F6PTI0_ORNAN,ENSOANP00000023515,ORNAN,2.0,,,,,,,,,,1,,,,1
F1PPQ0,F1PPQ0_CANFA,ENSCAFP00000003784,CANFA,2.0,,,,,,,,,,1,,,,1
F1P508,F1P508_CHICK,ENSGALP00000025684,CHICK,2.0,,,,,,,,,,1,,,,1
C4Q4X8,nan,nan,nan,2.0,,,,,,,,,,1,,1,,
C4Q4X3,nan,nan,nan,2.0,,,,,,,,1,,,,1,,
C3Y176,C3Y176_BRAFL,nan,BRAFL,2.0,,,,,,,,,,,,1,,1
B7QME4,B7QME4_IXOSC,nan,IXOSC,2.0,,,,,,,,1,,,,,,1
nan,nan,ENSPTRP00000038984,PANTR,2.0,,,,,,,,,,1,,,,1
A7RLZ7,A7RLZ7_NEMVE,nan,NEMVE,1.0,,,,,,,,,,1,,,,
B7QA16,B7QA16_IXOSC,nan,IXOSC,1.0,,,,,,,,1,,,,,,
A8B727,A8B727_GIAIC,nan,GIAIC,1.0,,,,,,,,,,,,,,1
