ACC,ENTRY,ENS,SPEC,COUNT,InParanoid,InParanoidCore,OMA_Groups,OMA_Pairs,PANTHER8_LDO,RBH,RSD,Orthoinspector,Hieranoid_2,EnsemblCompara_v2,PANTHER8_all,Metaphors,PhylomeDB,EggNOG
F7ABP5,F7ABP5_CIOIN,ENSCINP00000007842,CIOIN,2.0,,,,,,,,,,1,,1,,
F7BPD0,F7BPD0_XENTR,ENSXETP00000018762,XENTR,2.0,,,,,,,,,,1,,1,,
Q9VWZ7,Q9VWZ7_DROME,nan,DROME,1.0,,,,,,,,,,1,,,,
Q8IG71,nan,nan,nan,1.0,,,,,,,,,,1,,,,
Q8BHP7,OLM2A_MOUSE,nan,MOUSE,1.0,,,,,,,,,,,,1,,
Q7Q6H1,Q7Q6H1_ANOGA,nan,ANOGA,1.0,,,,,,,,,,1,,,,
Q68BL8,OLM2B_HUMAN,nan,HUMAN,1.0,,,,,,,,,,1,,,,
Q68BL7,OLM2A_HUMAN,nan,HUMAN,1.0,,,,,,,,,,,,1,,
Q3V1G4,OLM2B_MOUSE,nan,MOUSE,1.0,,,,,,,,,,1,,,,
O18685,nan,nan,nan,1.0,,,,,,,,,,1,,,,
H2QXV8,H2QXV8_PANTR,ENSPTRP00000036501,PANTR,1.0,,,,,,,,,,,,1,,
H2Q0H4,H2Q0H4_PANTR,ENSPTRP00000002670,PANTR,1.0,,,,,,,,,,1,,,,
F7EA60,F7EA60_MONDO,ENSMODP00000001186,MONDO,1.0,,,,,,,,,,1,,,,
A6QLD2,OLM2B_BOVIN,ENSBTAP00000015933,BOVIN,1.0,,,,,,,,,,1,,,,
A7MBT4,A7MBT4_DANRE,nan,DANRE,1.0,,,,,,,,,,1,,,,
F6WN96,F6WN96_MONDO,ENSMODP00000024653,MONDO,1.0,,,,,,,,,,,,1,,
F6V8Y4,F6V8Y4_MACMU,ENSMMUP00000014645,MACMU,1.0,,,,,,,,,,,,1,,
F6V8S1,F6V8S1_MACMU,ENSMMUP00000030337,MACMU,1.0,,,,,,,,,,1,,,,
F1PAD2,F1PAD2_CANFA,ENSCAFP00000019266,CANFA,1.0,,,,,,,,,,1,,,,
E1C032,E1C032_CHICK,nan,CHICK,1.0,,,,,,,,,,1,,,,
E1B818,E1B818_BOVIN,ENSBTAP00000006372,BOVIN,1.0,,,,,,,,,,,,1,,
D4A0J7,D4A0J7_RAT,nan,RAT,1.0,,,,,,,,,,1,,,,
D3ZMR0,D3ZMR0_RAT,nan,RAT,1.0,,,,,,,,,,,,1,,
C3ZUA6,C3ZUA6_BRAFL,nan,BRAFL,1.0,,,,,,,,,,1,,,,
B7Q6Z3,B7Q6Z3_IXOSC,nan,IXOSC,1.0,,,,,,,,,,1,,,,
B7Q3V3,B7Q3V3_IXOSC,nan,IXOSC,1.0,,,,,,,,,,1,,,,
nan,nan,ENSCAFP00000029982,CANFA,1.0,,,,,,,,,,,,1,,
