ACC,ENTRY,ENS,SPEC,COUNT,InParanoid,InParanoidCore,OMA_Groups,OMA_Pairs,PANTHER8_LDO,RBH,RSD,Orthoinspector,Hieranoid_2,EnsemblCompara_v2,PANTHER8_all,Metaphors,PhylomeDB,EggNOG
F7D2L0,F7D2L0_XENTR,ENSXETP00000035808,XENTR,12.0,1,1,1,1,,1,1,1,1,1,,1,1,1
F1NR97,F1NR97_CHICK,ENSGALP00000012574,CHICK,9.0,1,1,,1,,1,1,1,1,,,1,,1
A7RUM4,A7RUM4_NEMVE,nan,NEMVE,9.0,,1,,1,,1,1,1,1,,,1,1,1
Q17QH9,IQCD_BOVIN,ENSBTAP00000029526,BOVIN,8.0,1,1,,,,1,1,1,1,,,1,,1
F7GCA8,F7GCA8_MONDO,ENSMODP00000004196,MONDO,8.0,1,1,,,,1,1,1,1,,,1,,1
Q5XIR6,IQCD_RAT,nan,RAT,8.0,1,1,,,,1,1,1,1,,,1,,1
C3Z9B6,C3Z9B6_BRAFL,nan,BRAFL,8.0,1,1,,,,1,1,1,1,,,1,,1
F1PQC9,F1PQC9_CANFA,ENSCAFP00000013278,CANFA,8.0,1,1,,,,1,1,1,1,,,1,,1
Q96DY2,IQCD_HUMAN,nan,HUMAN,8.0,1,1,,,,1,1,1,1,,,1,,1
Q9D3V1,IQCD_MOUSE,nan,MOUSE,8.0,1,1,,,,1,1,1,1,,,1,,1
A2BHL8,nan,nan,nan,8.0,1,1,,,,1,1,1,1,,,1,,1
C4QGQ3,nan,nan,nan,7.0,1,1,,,,1,1,1,,,,1,,1
A9V500,A9V500_MONBE,nan,MONBE,7.0,1,1,,,,1,1,1,1,,,,,1
F6Y6K2,F6Y6K2_CIOIN,ENSCINP00000007604,CIOIN,7.0,1,1,,,,1,,1,1,,,1,,1
nan,nan,ENSCINP00000027027,CIOIN,7.0,,,1,1,,,1,1,,,,1,1,1
H2TDW2,H2TDW2_TAKRU,ENSTRUP00000022854,TAKRU,7.0,1,1,,,,1,1,,1,1,,1,,
H2QP21,H2QP21_PANTR,ENSPTRP00000027184,PANTR,6.0,1,1,,,,1,1,,,1,,1,,
F6WKR3,F6WKR3_MACMU,ENSMMUP00000038586,MACMU,6.0,,,,,,1,1,1,1,,,1,,1
A7RGV7,A7RGV7_NEMVE,nan,NEMVE,4.0,,,,,,,,1,1,,,1,,1
H9H3S3,H9H3S3_MACMU,ENSMMUP00000019961,MACMU,3.0,1,1,,,,,,,,1,,,,
F6R122,F6R122_ORNAN,ENSOANP00000022516,ORNAN,3.0,,,,,,1,1,,,1,,,,
Q5PQQ6,IQCG_RAT,nan,RAT,2.0,,,,,,,,,,1,,1,,
Q7QK40,Q7QK40_ANOGA,nan,ANOGA,2.0,,,,,,,,,,1,,1,,
Q80W32,IQCG_MOUSE,nan,MOUSE,2.0,,,,,,,,,,1,,1,,
Q9H095,IQCG_HUMAN,nan,HUMAN,2.0,,,,,,,,,,1,,1,,
F6QUC0,F6QUC0_MONDO,ENSMODP00000022933,MONDO,2.0,,,,,,,,,,1,,1,,
nan,nan,ENSPTRP00000055748,PANTR,2.0,,,,,,,,,1,,,1,,
F6XIL6,F6XIL6_CIOIN,ENSCINP00000007615,CIOIN,2.0,,,,,,,,,,1,,1,,
F1MWI0,F1MWI0_BOVIN,ENSBTAP00000023995,BOVIN,2.0,,,,,,,,,,1,,1,,
E1C9C3,E1C9C3_CHICK,ENSGALP00000012288,CHICK,2.0,,,,,,,,,,1,,1,,
A7S8J6,A7S8J6_NEMVE,nan,NEMVE,2.0,,,,,,,,,,1,,1,,
Q86AC9,Q86AC9_DICDI,nan,DICDI,1.0,,,,,,,,,,,,,1,
A2DDY5,A2DDY5_TRIVA,nan,TRIVA,1.0,,,,,,,,,1,,,,,
Q9VI32,Q9VI32_DROME,nan,DROME,1.0,,,,,,1,,,,,,,,
Q9VB28,Q9VB28_DROME,nan,DROME,1.0,,,,,,,,,,1,,,,
A2E073,A2E073_TRIVA,nan,TRIVA,1.0,,,,,,,,,1,,,,,
A2F156,A2F156_TRIVA,nan,TRIVA,1.0,,,,,,,,,1,,,,,
A2FWF1,A2FWF1_TRIVA,nan,TRIVA,1.0,,,,,,,,,1,,,,,
A6V139,A6V139_PSEA7,nan,PSEA7,1.0,,,,,,,,,,,,,1,
A3KQH2,A3KQH2_DANRE,nan,DANRE,1.0,,,,,,,,,,1,,,,
F1PLU7,F1PLU7_CANFA,ENSCAFP00000018716,CANFA,1.0,,,,,,,,,,1,,,,
A9V528,A9V528_MONBE,nan,MONBE,1.0,,,,,,,,,,1,,,,
C3ZFA1,C3ZFA1_BRAFL,nan,BRAFL,1.0,,,,,,,,,,1,,,,
C3ZQ40,C3ZQ40_BRAFL,nan,BRAFL,1.0,,,,,,,,,,,,,1,
C4QD57,nan,nan,nan,1.0,,,,,,,,,,1,,,,
A1Z8V5,A1Z8V5_DROME,nan,DROME,1.0,,,,1,,,,,,,,,,
