ACC,ENTRY,ENS,SPEC,COUNT,InParanoid,InParanoidCore,OMA_Groups,OMA_Pairs,PANTHER8_LDO,RBH,RSD,Orthoinspector,Hieranoid_2,EnsemblCompara_v2,PANTHER8_all,Metaphors,PhylomeDB,EggNOG
F7EC44,F7EC44_XENTR,ENSXETP00000006387,XENTR,8.0,,1,,,,1,1,1,1,1,,1,,1
A7SSP3,A7SSP3_NEMVE,nan,NEMVE,7.0,,1,,,,1,1,1,1,1,,,,1
nan,nan,ENSCINP00000016467,CIOIN,6.0,,,,,,1,1,1,,1,,1,,1
H2SKK7,H2SKK7_TAKRU,ENSTRUP00000012940,TAKRU,6.0,,,,,,1,1,1,,1,,1,,1
E1BP38,E1BP38_BOVIN,ENSBTAP00000053451,BOVIN,5.0,,,,,,1,1,1,,1,,1,,
nan,nan,ENSCAFP00000020050,CANFA,5.0,,,,,,1,1,1,,1,,1,,
Q9VB98,Y5521_DROME,nan,DROME,5.0,,,,,,1,1,1,,1,,1,,
Q7QB78,Q7QB78_ANOGA,nan,ANOGA,5.0,,,,,,1,1,1,,1,,1,,
C3Y0A9,C3Y0A9_BRAFL,nan,BRAFL,5.0,,,,,,1,,1,,1,,1,,1
E1C5Y3,E1C5Y3_CHICK,nan,CHICK,5.0,,,,,,1,1,1,,1,,1,,
F6S0Z9,F6S0Z9_MONDO,ENSMODP00000015990,MONDO,4.0,,,,,,1,1,1,,1,,,,
Q9BL92,Q9BL92_CAEEL,nan,CAEEL,4.0,,,,,,1,,1,,,,1,,1
Q6GYQ0,RGPA1_HUMAN,nan,HUMAN,4.0,,,,,,1,1,1,,1,,,,
Q6GYP7,RGPA1_MOUSE,nan,MOUSE,4.0,,,,,,1,1,1,,1,,,,
F7G7T6,F7G7T6_MACMU,ENSMMUP00000021658,MACMU,4.0,,,,,,1,1,1,,1,,,,
F7C8W3,F7C8W3_ORNAN,ENSOANP00000022176,ORNAN,4.0,,,,,,1,1,1,,,,1,,
nan,nan,ENSPTRP00000010640,PANTR,4.0,,,,,,1,1,1,,1,,,,
D3ZQK7,nan,nan,nan,4.0,,,,,,1,1,1,,1,,,,
C4Q959,nan,nan,nan,4.0,,,,,,,,1,,1,,1,,1
C0SU62,C0SU62_DANRE,nan,DANRE,4.0,,,,,,,1,,,1,,1,,1
B7QNQ2,B7QNQ2_IXOSC,nan,IXOSC,4.0,,,,,,1,1,1,,1,,,,
A9UVB4,A9UVB4_MONBE,nan,MONBE,4.0,,,,,,1,,1,,1,,,,1
A2FC18,A2FC18_TRIVA,nan,TRIVA,3.0,,,,,,,1,1,,,,,,1
A2DF46,A2DF46_TRIVA,nan,TRIVA,3.0,,,,,,1,,1,,,,,,1
Q54P30,Q54P30_DICDI,nan,DICDI,3.0,,,,,,,,1,,1,,,,1
A2EXB4,A2EXB4_TRIVA,nan,TRIVA,2.0,,,,,,,,1,,,,,,1
A2EY96,A2EY96_TRIVA,nan,TRIVA,2.0,,,,,,,,1,,,,,,1
Q54TK4,Y1809_DICDI,nan,DICDI,2.0,,,,,,,,,,1,,,,1
A2FTL6,A2FTL6_TRIVA,nan,TRIVA,2.0,,,,,,,,1,,1,,,,
A2DAE7,A2DAE7_TRIVA,nan,TRIVA,2.0,,,,,,,,1,,,,,,1
A2FCZ0,A2FCZ0_TRIVA,nan,TRIVA,1.0,,,,,,,,,,,,,,1
H2SYV9,H2SYV9_TAKRU,ENSTRUP00000017597,TAKRU,1.0,,,,,,,,1,,,,,,
A2E8M2,A2E8M2_TRIVA,nan,TRIVA,1.0,,,,,,,,1,,,,,,
F7A1H7,F7A1H7_ORNAN,ENSOANP00000020849,ORNAN,1.0,,,,,,,,,,1,,,,
nan,nan,ENSOANP00000003955,ORNAN,1.0,,,,,,,,1,,,,,,
A2D844,A2D844_TRIVA,nan,TRIVA,1.0,,,,,,,,1,,,,,,
