ACC,ENTRY,ENS,SPEC,COUNT,InParanoid,InParanoidCore,OMA_Groups,OMA_Pairs,PANTHER8_LDO,RBH,RSD,Orthoinspector,Hieranoid_2,EnsemblCompara_v2,PANTHER8_all,Metaphors,PhylomeDB,EggNOG
P28737,MSP1_YEAST,nan,YEAST,13.0,1,1,1,1,1,1,1,1,1,,1,1,1,1
B7QFN3,B7QFN3_IXOSC,nan,IXOSC,12.0,1,1,1,1,1,1,1,1,1,,1,1,1,
E2RHY1,E2RHY1_CANFA,ENSCAFP00000023025,CANFA,12.0,1,1,1,1,1,1,1,1,1,,1,1,1,
F1NT80,F1NT80_CHICK,ENSGALP00000005777,CHICK,12.0,1,1,1,1,1,1,1,1,1,,1,1,1,
F6Q1G7,F6Q1G7_CIOIN,ENSCINP00000001368,CIOIN,12.0,1,1,1,1,1,1,1,1,1,,1,1,1,
F6QI46,F6QI46_ORNAN,ENSOANP00000013038,ORNAN,12.0,1,1,1,1,1,1,1,1,1,,1,1,1,
F7EQI5,F7EQI5_MONDO,ENSMODP00000020603,MONDO,12.0,1,1,1,1,1,1,1,1,1,,1,1,1,
H2Q278,H2Q278_PANTR,ENSPTRP00000004742,PANTR,12.0,1,1,1,1,1,1,1,1,1,,1,1,1,
Q1ZXK7,Q1ZXK7_DICDI,nan,DICDI,12.0,1,1,1,1,1,1,1,1,,,1,1,1,1
Q4PHA3,Q4PHA3_USTMA,nan,USTMA,12.0,1,1,1,1,1,1,1,1,1,,1,1,1,
Q5A026,Q5A026_CANAL,nan,CANAL,12.0,1,1,,1,1,1,1,1,1,,1,1,1,1
Q5KI67,Q5KI67_CRYNJ,nan,CRYNJ,12.0,1,1,1,1,1,1,1,1,1,,1,1,1,
Q7Q1U6,Q7Q1U6_ANOGA,nan,ANOGA,12.0,1,1,1,1,1,1,1,1,1,,1,1,1,
Q8NBU5,ATAD1_HUMAN,nan,HUMAN,12.0,1,1,1,1,1,1,1,1,1,,1,1,1,
Q9D5T0,ATAD1_MOUSE,nan,MOUSE,12.0,1,1,1,1,1,1,1,1,1,,1,1,1,
Q9P7J5,YJNA_SCHPO,nan,SCHPO,12.0,1,1,1,1,1,1,1,1,1,,1,1,1,
Z4YH78,Z4YH78_BOVIN,ENSBTAP00000001066,BOVIN,12.0,1,1,1,1,1,1,1,1,1,,1,1,1,
C3Z5X2,C3Z5X2_BRAFL,nan,BRAFL,12.0,1,1,1,1,1,1,1,1,1,,1,1,1,
nan,nan,ENSXETP00000020353,XENTR,12.0,1,1,1,1,1,1,1,1,1,,1,1,1,
A7S2J4,A7S2J4_NEMVE,nan,NEMVE,12.0,1,1,1,1,1,1,1,1,1,,1,1,1,
A7EX63,A7EX63_SCLS1,nan,SCLS1,11.0,1,1,,1,1,1,1,1,1,,1,1,1,
Q6CAW8,Q6CAW8_YARLI,nan,YARLI,11.0,1,1,,1,1,1,1,1,1,,1,1,1,
Q0U6I6,Q0U6I6_PHANO,nan,PHANO,11.0,1,1,,1,1,1,1,1,1,,1,1,1,
P54815,MSP1_CAEEL,nan,CAEEL,11.0,1,,1,1,1,1,1,1,1,,1,1,1,
Q7SAQ2,Q7SAQ2_NEUCR,nan,NEUCR,10.0,1,1,,,1,1,1,1,1,,1,1,1,
B0YEF7,B0YEF7_ASPFC,nan,ASPFC,10.0,1,1,,,1,1,1,1,1,,1,1,1,
A9URB4,A9URB4_MONBE,nan,MONBE,10.0,1,,,1,1,1,1,1,1,,1,1,1,
E9AEU9,E9AEU9_LEIMA,nan,LEIMA,9.0,1,,1,1,,1,1,1,1,,,1,1,
H2U657,H2U657_TAKRU,ENSTRUP00000032423,TAKRU,9.0,1,1,,,,1,1,1,1,,1,1,1,
F7HUI2,F7HUI2_MACMU,ENSMMUP00000008455,MACMU,9.0,,,1,1,1,1,,1,1,,1,1,1,
Q9VL02,Q9VL02_DROME,nan,DROME,9.0,,1,1,,1,1,,1,1,,1,1,1,
B8BS90,B8BS90_THAPS,nan,THAPS,9.0,1,,,1,1,1,,1,1,,1,1,1,
Q7ZZ25,ATD1A_DANRE,nan,DANRE,8.0,,1,,,,1,1,1,1,,1,1,1,
Q9FJC9,Q9FJC9_ARATH,nan,ARATH,7.0,,,,1,1,,,1,1,,1,1,1,
Q503W7,ATD1B_DANRE,nan,DANRE,7.0,,,1,,1,,,1,1,,1,1,1,
Q9T090,Q9T090_ARATH,nan,ARATH,7.0,,,,,,1,1,1,1,,1,1,1,
Q9V3Q1,Q9V3Q1_DROME,nan,DROME,6.0,,,,,,,1,1,1,,1,1,1,
Q7TP35,Q7TP35_RAT,nan,RAT,6.0,,,,,1,,1,,1,,1,1,1,
A9SIV4,A9SIV4_PHYPA,nan,PHYPA,5.0,,,,,1,,,1,1,,1,,1,
F6VG29,F6VG29_MACMU,ENSMMUP00000028005,MACMU,5.0,,,,,,,,1,1,,1,1,1,
F7HRK2,F7HRK2_MACMU,ENSMMUP00000039949,MACMU,5.0,,,,,,,1,1,1,,,1,1,
A9RUR5,A9RUR5_PHYPA,nan,PHYPA,5.0,,,,,,1,,1,1,,1,,1,
Q97ZJ7,Q97ZJ7_SULSO,nan,SULSO,3.0,,,,,,,,,,,1,1,1,
B8BQC0,B8BQC0_THAPS,nan,THAPS,2.0,,,,,,,1,,,,,,,1
A9RDI9,A9RDI9_PHYPA,nan,PHYPA,2.0,,,,,,,1,1,,,,,,
Q9NVI7,ATD3A_HUMAN,nan,HUMAN,1.0,,,,,,,,,,,,,1,
Q940D1,Q940D1_ARATH,nan,ARATH,1.0,,,,,,,,1,,,,,,
Q5JE76,Q5JE76_THEKO,nan,THEKO,1.0,,,,,,,,,,,1,,,
Q7SFI0,Q7SFI0_NEUCR,nan,NEUCR,1.0,,,,,,,,,,,,,1,
A7S1M1,A7S1M1_NEMVE,nan,NEMVE,1.0,,,,,,,,,,,,,1,
Q7S545,Q7S545_NEUCR,nan,NEUCR,1.0,,,,,,,,,,,,,1,
Q7S328,Q7S328_NEUCR,nan,NEUCR,1.0,,,,,,,,,,,,,1,
A7TCP6,A7TCP6_NEMVE,nan,NEMVE,1.0,,,,,,,,,,,,1,,
A7F629,A7F629_SCLS1,nan,SCLS1,1.0,,,,,,,,,,,,1,,
A9RDI4,A9RDI4_PHYPA,nan,PHYPA,1.0,,,,,,,,1,,,,,,
Q5JH85,Q5JH85_THEKO,nan,THEKO,1.0,,,,,,,,,,,1,,,
A7F7L4,A7F7L4_SCLS1,nan,SCLS1,1.0,,,,,,,,,,,,,1,
Q9GRP5,Q9GRP5_LEIMA,nan,LEIMA,1.0,,,,,,,,1,,,,,,
B1L3C5,B1L3C5_KORCO,nan,KORCO,1.0,,,,,,,,,,,,1,,
A9RTB4,A9RTB4_PHYPA,nan,PHYPA,1.0,,,,,,,,1,,,,,,
A7EY47,A7EY47_SCLS1,nan,SCLS1,1.0,,,,,,,,,,,,,1,
B3H4X5,nan,nan,nan,1.0,,,,,,,,1,,,,,,
B3H7I9,B3H7I9_ARATH,nan,ARATH,1.0,,,,,,,,1,,,,,,
B7PUB7,B7PUB7_IXOSC,nan,IXOSC,1.0,,,,,,,,,,,1,,,
B9DFY8,B9DFY8_ARATH,nan,ARATH,1.0,,,,,,,,1,,,,,,
B0YBB9,B0YBB9_ASPFC,nan,ASPFC,1.0,,,,,,,,,,,,,1,
C4QJV9,nan,nan,nan,1.0,,,,,,,,,,,,1,,
B0XXI8,B0XXI8_ASPFC,nan,ASPFC,1.0,,,,,,,,,,,,,1,
A9WHA9,A9WHA9_CHLAA,nan,CHLAA,1.0,,,,,,,,,,,1,,,
A9SBZ9,A9SBZ9_PHYPA,nan,PHYPA,1.0,,,,,,,,1,,,,,,
Q0U5Z9,Q0U5Z9_PHANO,nan,PHANO,1.0,,,,,,,,,,,,,1,
Q20748,ATAD3_CAEEL,nan,CAEEL,1.0,,,,,,,,,,,,,1,
Q0U7T6,Q0U7T6_PHANO,nan,PHANO,1.0,,,,,,,,,,,,,1,
Q0U883,Q0U883_PHANO,nan,PHANO,1.0,,,,,,,,,,,,,1,
Q0UBE5,Q0UBE5_PHANO,nan,PHANO,1.0,,,,,,,,,,,,,1,
