ACC,ENTRY,ENS,SPEC,COUNT,InParanoid,InParanoidCore,OMA_Groups,OMA_Pairs,PANTHER8_LDO,RBH,RSD,Orthoinspector,Hieranoid_2,EnsemblCompara_v2,PANTHER8_all,Metaphors,PhylomeDB,EggNOG
E9AFH5,E9AFH5_LEIMA,nan,LEIMA,13.0,1,1,1,1,1,1,1,1,1,,1,1,1,1
Q0V5I4,Q0V5I4_PHANO,nan,PHANO,13.0,1,1,1,1,1,1,1,1,1,,1,1,1,1
B0XYG6,B0XYG6_ASPFC,nan,ASPFC,13.0,1,1,1,1,1,1,1,1,1,,1,1,1,1
Q6C5S3,Q6C5S3_YARLI,nan,YARLI,13.0,1,1,1,1,1,1,1,1,1,,1,1,1,1
C4Q4L1,nan,nan,nan,13.0,1,1,1,1,1,1,1,1,1,,1,1,1,1
Q5KM80,Q5KM80_CRYNJ,nan,CRYNJ,13.0,1,1,1,1,1,1,1,1,1,,1,1,1,1
Q4P9H0,Q4P9H0_USTMA,nan,USTMA,13.0,1,1,1,1,1,1,1,1,1,,1,1,1,1
nan,nan,ENSCINP00000008906,CIOIN,13.0,1,1,1,1,1,1,1,1,1,,1,1,1,1
Q1K7U8,Q1K7U8_NEUCR,nan,NEUCR,13.0,1,1,1,1,1,1,1,1,1,,1,1,1,1
Q9M1T3,nan,nan,nan,13.0,1,1,1,1,1,1,1,1,1,,1,1,1,1
A7EP81,A7EP81_SCLS1,nan,SCLS1,13.0,1,1,1,1,1,1,1,1,1,,1,1,1,1
P32908,SMC1_YEAST,nan,YEAST,13.0,1,1,1,1,1,1,1,1,1,,1,1,1,1
O94383,SMC1_SCHPO,nan,SCHPO,13.0,1,1,1,1,1,1,1,1,1,,1,1,1,1
O01789,O01789_CAEEL,nan,CAEEL,13.0,1,1,1,1,1,1,1,1,1,,1,1,1,1
Q9N6I4,Q9N6I4_DROME,nan,DROME,13.0,1,1,1,1,1,1,1,1,1,,1,1,1,1
Q9Z1M9,SMC1A_RAT,nan,RAT,12.0,,1,1,1,1,1,1,1,1,,1,1,1,1
Q14683,SMC1A_HUMAN,nan,HUMAN,12.0,,1,1,1,1,1,1,1,1,,1,1,1,1
F6UJH6,F6UJH6_XENTR,ENSXETP00000053274,XENTR,12.0,,1,1,1,1,1,1,1,1,,1,1,1,1
Q5A021,Q5A021_CANAL,nan,CANAL,12.0,1,1,1,1,1,1,1,1,1,,1,1,1,
E2QV07,E2QV07_CANFA,ENSCAFP00000023956,CANFA,12.0,,1,1,1,1,1,1,1,1,,1,1,1,1
