ACC,ENTRY,ENS,SPEC,COUNT,InParanoid,InParanoidCore,OMA_Groups,OMA_Pairs,PANTHER8_LDO,RBH,RSD,Orthoinspector,Hieranoid_2,EnsemblCompara_v2,PANTHER8_all,Metaphors,PhylomeDB,EggNOG
A2BGF8,nan,nan,nan,12.0,1,1,,,1,1,1,1,1,1,1,1,1,1
F6SFI3,F6SFI3_XENTR,ENSXETP00000033990,XENTR,6.0,,,,,,1,1,1,,,,1,1,1
F1MT13,F1MT13_BOVIN,ENSBTAP00000043909,BOVIN,5.0,,,,,,1,1,1,,,,1,1,
nan,nan,ENSGALP00000038467,CHICK,5.0,,,,,,1,1,1,,1,,,,1
C3ZD24,C3ZD24_BRAFL,nan,BRAFL,4.0,,,,,,1,1,1,,,,,,1
H2UEA2,H2UEA2_TAKRU,ENSTRUP00000035271,TAKRU,4.0,1,1,,,,,1,,,,,,,1
C3Y273,C3Y273_BRAFL,nan,BRAFL,3.0,,,,,,,,1,,1,,,,1
O15018,PDZD2_HUMAN,nan,HUMAN,3.0,,,,,,1,1,1,,,,,,
F6WAF3,F6WAF3_ORNAN,ENSOANP00000015902,ORNAN,3.0,,,,,,,1,,,,,1,,1
H2QQQ0,H2QQQ0_PANTR,ENSPTRP00000028755,PANTR,3.0,,,,,,1,1,1,,,,,,
E2R215,E2R215_CANFA,ENSCAFP00000027921,CANFA,3.0,,,,,,,1,,1,,,1,,
C1M044,C1M044_SCHMA,nan,SCHMA,3.0,,,,,1,,,,1,,1,,,
F6S7R6,F6S7R6_MACMU,ENSMMUP00000018340,MACMU,3.0,,,,,,1,1,1,,,,,,
B7PUF4,B7PUF4_IXOSC,nan,IXOSC,3.0,,,,,1,,,,,1,1,,,
Q9QZR8,PDZD2_RAT,nan,RAT,3.0,,,,,,1,1,1,,,,,,
O34666,CTPA_BACSU,nan,BACSU,2.0,,,,,1,,,,,,1,,,
A7SRG3,A7SRG3_NEMVE,nan,NEMVE,2.0,,,,,1,,,,,,1,,,
H2RX16,H2RX16_TAKRU,ENSTRUP00000004686,TAKRU,2.0,,,,,1,,,,,,1,,,
H2R430,H2R430_PANTR,ENSPTRP00000046489,PANTR,2.0,,,,,1,,,,,,1,,,
O55164,MPDZ_RAT,nan,RAT,2.0,,,,,1,,,,,,1,,,
O75970,MPDZ_HUMAN,nan,HUMAN,2.0,,,,,1,,,,,,1,,,
Q7PTM6,Q7PTM6_ANOGA,nan,ANOGA,2.0,,,,,,,,,1,,,1,,
A4LBC4,nan,nan,nan,2.0,,,,,1,,,,,,1,,,
F6ZQT9,F6ZQT9_MACMU,ENSMMUP00000005426,MACMU,2.0,,,,,,,,,,,1,1,,
Q5TMU5,Q5TMU5_ANOGA,nan,ANOGA,2.0,,,,,,1,,1,,,,,,
F6T1W3,F6T1W3_MACMU,ENSMMUP00000025474,MACMU,2.0,,,,,1,,,,,,1,,,
F7DX83,F7DX83_ORNAN,ENSOANP00000021340,ORNAN,2.0,,,,,1,,,,,,1,,,
F6S5G0,F6S5G0_ORNAN,ENSOANP00000020979,ORNAN,2.0,,,,,,1,,1,,,,,,
Q24008,INAD_DROME,nan,DROME,2.0,,,,,,,,,1,,,1,,
F6RHB2,F6RHB2_MONDO,ENSMODP00000027786,MONDO,2.0,,,,,1,,,,,,1,,,
Q9VE88,Q9VE88_DROME,nan,DROME,2.0,,,,,,,,,,,1,1,,
B2RQR2,B2RQR2_MOUSE,nan,MOUSE,2.0,,,,,1,,,,,,1,,,
Q9NB04,PATJ_DROME,nan,DROME,2.0,,,,,1,,,,,,1,,,
Q8CVF0,Q8CVF0_LEPIN,nan,LEPIN,2.0,,,,,1,,,,,,1,,,
Q7QIW9,Q7QIW9_ANOGA,nan,ANOGA,2.0,,,,,1,,,,,,1,,,
C3YTC1,C3YTC1_BRAFL,nan,BRAFL,2.0,,,,,1,,,,,,1,,,
F1N9G0,F1N9G0_CHICK,ENSGALP00000009381,CHICK,2.0,,,,,1,,,,,,1,,,
F1PGC1,F1PGC1_CANFA,ENSCAFP00000002165,CANFA,2.0,,,,,1,,,,,,1,,,
Q3KLQ9,Q3KLQ9_CHLTA,nan,CHLTA,2.0,,,,,1,,,,,,1,,,
Q68DX3,FRPD2_HUMAN,nan,HUMAN,1.0,,,,,,,,,,,1,,,
Q7QES2,Q7QES2_ANOGA,nan,ANOGA,1.0,,,,,,,,,,,1,,,
Q7Q4G2,Q7Q4G2_ANOGA,nan,ANOGA,1.0,,,,,,,,1,,,,,,
Q64512,PTN13_MOUSE,nan,MOUSE,1.0,,,,,,,,,,,,1,,
Q6IN97,FRP2L_HUMAN,nan,HUMAN,1.0,,,,,,,,,,,1,,,
Q7Q2X2,Q7Q2X2_ANOGA,nan,ANOGA,1.0,,,,,,,,,,,,,,1
Q9VUE8,Q9VUE8_DROME,nan,DROME,1.0,,,,,,,,,,,,,,1
A9UPI8,A9UPI8_MONBE,nan,MONBE,1.0,,,,,,,,,,1,,,,
Q17353,PAR3_CAEEL,nan,CAEEL,1.0,,,,,,,,,,1,,,,
Q12923,PTN13_HUMAN,nan,HUMAN,1.0,,,,,,,,,,,,1,,
H2V3U4,H2V3U4_TAKRU,ENSTRUP00000043878,TAKRU,1.0,,,,,,,,,,,1,,,
