ACC,ENTRY,ENS,SPEC,COUNT,InParanoid,InParanoidCore,OMA_Groups,OMA_Pairs,PANTHER8_LDO,RBH,RSD,Orthoinspector,Hieranoid_2,EnsemblCompara_v2,PANTHER8_all,Metaphors,PhylomeDB,EggNOG
C1LZJ6,nan,nan,nan,11.0,1,1,,,1,1,1,1,,1,1,1,1,1
O74427,URK1_SCHPO,nan,SCHPO,10.0,1,1,,,1,1,,1,,1,1,1,1,1
Q7S8I3,Q7S8I3_NEUCR,nan,NEUCR,10.0,1,1,,,1,1,,1,,1,1,1,1,1
Q4PCZ8,Q4PCZ8_USTMA,nan,USTMA,10.0,1,1,,,1,1,,1,,1,1,1,1,1
Q5KE08,Q5KE08_CRYNJ,nan,CRYNJ,10.0,1,1,,,1,1,,1,,1,1,1,1,1
B0XVJ4,B0XVJ4_ASPFC,nan,ASPFC,10.0,1,1,,,1,1,,1,,1,1,1,1,1
P27515,URK1_YEAST,nan,YEAST,10.0,1,1,,,1,1,,1,,1,1,1,1,1
Q6C3Z7,Q6C3Z7_YARLI,nan,YARLI,9.0,1,1,,,1,1,,1,,,1,1,1,1
F1NB19,F1NB19_CHICK,ENSGALP00000009715,CHICK,9.0,1,1,,,1,1,,1,,,1,1,1,1
Q5TSQ7,Q5TSQ7_ANOGA,nan,ANOGA,9.0,1,1,,,1,1,,1,,,1,1,1,1
Q9NWZ5,UCKL1_HUMAN,nan,HUMAN,9.0,1,1,,,1,1,,1,,,1,1,1,1
Q5ANN6,Q5ANN6_CANAL,nan,CANAL,9.0,1,1,,,1,1,,1,,,1,1,1,1
F6U8B5,F6U8B5_CIOIN,ENSCINP00000007462,CIOIN,9.0,1,1,,,1,1,,1,,,1,1,1,1
E1BP85,E1BP85_BOVIN,ENSBTAP00000039131,BOVIN,9.0,1,1,,,1,1,,1,,,1,1,1,1
F6Y033,F6Y033_MONDO,ENSMODP00000021258,MONDO,9.0,1,1,,,1,1,,1,,,1,1,1,1
F7EA21,F7EA21_ORNAN,ENSOANP00000007801,ORNAN,9.0,1,1,,,1,1,,1,,,1,1,1,1
F6RFS7,F6RFS7_MACMU,ENSMMUP00000020399,MACMU,9.0,1,1,,,1,1,,1,,,1,1,1,1
Q8MQK4,Q8MQK4_DROME,nan,DROME,8.0,1,,,,1,1,,1,,,1,1,1,1
Q0UHT7,Q0UHT7_PHANO,nan,PHANO,8.0,1,1,,,1,,,,,1,1,1,1,1
F1P819,F1P819_CANFA,ENSCAFP00000019316,CANFA,7.0,1,1,,,1,,,,,,1,1,1,1
B7PVR9,B7PVR9_IXOSC,nan,IXOSC,7.0,1,1,,,1,,,,,,1,1,1,1
A9URE0,A9URE0_MONBE,nan,MONBE,7.0,1,1,,,1,,,,,,1,1,1,1
Q4Q5J3,Q4Q5J3_LEIMA,nan,LEIMA,7.0,1,1,,,,1,1,1,,,,1,1,
Q55EL3,UCKA_DICDI,nan,DICDI,7.0,1,1,,,1,,,,,,1,1,1,1
Q91YL3,UCKL1_MOUSE,nan,MOUSE,7.0,1,1,,,1,,,,,,1,1,1,1
Q9U3I7,Q9U3I7_CAEEL,nan,CAEEL,7.0,1,1,,,1,,,,,,1,1,1,1
D3ZYQ8,D3ZYQ8_RAT,nan,RAT,7.0,1,1,,,1,,,,,,1,1,1,1
H2SBQ6,H2SBQ6_TAKRU,ENSTRUP00000009835,TAKRU,6.0,,,,,1,,,1,,,1,1,1,1
H2S8D8,H2S8D8_TAKRU,ENSTRUP00000008663,TAKRU,6.0,,,,,,1,,1,,,1,1,1,1
A6H8T1,A6H8T1_DANRE,nan,DANRE,6.0,,,,,1,,,1,,,1,1,1,1
Q5TZ52,Q5TZ52_DANRE,nan,DANRE,6.0,,,,,,1,,1,,,1,1,1,1
Q8IDM2,Q8IDM2_PLAF7,nan,PLAF7,6.0,1,1,,,,1,1,1,,,,,1,
H2TYY3,H2TYY3_TAKRU,ENSTRUP00000029892,TAKRU,5.0,,,,,,,,1,,,1,1,1,1
C3ZI77,C3ZI77_BRAFL,nan,BRAFL,5.0,,,,,1,,,,,,1,1,1,1
Q0UT58,Q0UT58_PHANO,nan,PHANO,5.0,,,,,,1,1,1,,,,1,1,
F1PIT5,F1PIT5_CANFA,ENSCAFP00000008809,CANFA,5.0,,,,,,1,1,1,,,,1,1,
Q9ZVI9,PECT1_ARATH,nan,ARATH,5.0,,,,,,1,1,1,,,,1,1,
A2FRN2,A2FRN2_TRIVA,nan,TRIVA,5.0,,,,,,1,1,1,,,,1,1,
B7QH75,B7QH75_IXOSC,nan,IXOSC,5.0,,,,,,1,1,1,,,,1,1,
A9D2X7,A9D2X7_CAEEL,nan,CAEEL,5.0,,,,,,1,1,1,,,,1,1,
B0S7A4,B0S7A4_DANRE,nan,DANRE,5.0,,,,,,,,1,,,1,1,1,1
A9UVC2,A9UVC2_MONBE,nan,MONBE,5.0,,,,,,1,1,1,,,,1,1,
A7EYY2,A7EYY2_SCLS1,nan,SCLS1,5.0,,,,,,1,1,1,,,,1,1,
