ACC,ENTRY,ENS,SPEC,COUNT,InParanoid,InParanoidCore,OMA_Groups,OMA_Pairs,PANTHER8_LDO,RBH,RSD,Orthoinspector,Hieranoid_2,EnsemblCompara_v2,PANTHER8_all,Metaphors,PhylomeDB,EggNOG
C4Q7H5,nan,nan,nan,10.0,1,1,,1,1,1,1,,1,1,1,1,,
F7BYZ6,F7BYZ6_ORNAN,ENSOANP00000009074,ORNAN,6.0,1,1,,1,,1,1,,1,,,,,
F7A7V6,F7A7V6_XENTR,ENSXETP00000022838,XENTR,3.0,1,,,,,1,,,1,,,,,
P34562,YNP9_CAEEL,nan,CAEEL,3.0,,,,1,,,,,,1,,1,,
Q9VGR1,Q9VGR1_DROME,nan,DROME,2.0,,,,,1,,,,,,1,,,
F6PKZ4,F6PKZ4_ORNAN,ENSOANP00000001275,ORNAN,2.0,,,,,1,,,,,,1,,,
H2S0Z8,H2S0Z8_TAKRU,ENSTRUP00000006069,TAKRU,2.0,,,,,,1,1,,,,,,,
H2RNB8,H2RNB8_TAKRU,ENSTRUP00000001631,TAKRU,2.0,,,,,1,,,,,,1,,,
H2R4Z2,H2R4Z2_PANTR,ENSPTRP00000047650,PANTR,2.0,,,,,1,,,,,,1,,,
F7EIW6,F7EIW6_MONDO,ENSMODP00000003444,MONDO,2.0,,,,,,1,1,,,,,,,
F6V2U1,F6V2U1_MONDO,ENSMODP00000019028,MONDO,2.0,,,,,1,,,,,,1,,,
A7RZL4,A7RZL4_NEMVE,nan,NEMVE,2.0,,,,,1,,,,,,1,,,
Q5F4A5,Q5F4A5_CHICK,nan,CHICK,2.0,,,,,1,,,,,,1,,,
F6RH65,F6RH65_XENTR,ENSXETP00000049862,XENTR,2.0,,,,,1,,,,,,1,,,
F6Q4J7,F6Q4J7_MACMU,ENSMMUP00000020228,MACMU,2.0,,,,,1,,,,,,1,,,
Q6DBX5,Q6DBX5_DANRE,nan,DANRE,2.0,,,,,1,,,,,,1,,,
Q96CN9,GCC1_HUMAN,nan,HUMAN,2.0,,,,,1,,,,,,1,,,
E2RDJ0,E2RDJ0_CANFA,ENSCAFP00000002517,CANFA,2.0,,,,,1,,,,,,1,,,
E1BJZ4,E1BJZ4_BOVIN,ENSBTAP00000004036,BOVIN,2.0,,,,,1,,,,,,1,,,
D3ZZL9,GCC2_RAT,nan,RAT,2.0,,,,,,1,1,,,,,,,
D3ZPA1,D3ZPA1_RAT,nan,RAT,2.0,,,,,1,,,,,,1,,,
C3Y683,C3Y683_BRAFL,nan,BRAFL,2.0,,,,,1,,,,,,1,,,
Q9D4H2,GCC1_MOUSE,nan,MOUSE,2.0,,,,,1,,,,,,1,,,
B7PSI1,B7PSI1_IXOSC,nan,IXOSC,2.0,,,,,1,,,,,,1,,,
Q9C7V6,Q9C7V6_ARATH,nan,ARATH,1.0,,,,,,,,,,,,1,,
Q9LS42,CASP_ARATH,nan,ARATH,1.0,,,,,,,,,,,,1,,
Q9VGE4,Q9VGE4_DROME,nan,DROME,1.0,,,,,,1,,,,,,,,
Q54HW3,Q54HW3_DICDI,nan,DICDI,1.0,,,,,,1,,,,,,,,
A2DSF8,A2DSF8_TRIVA,nan,TRIVA,1.0,,,,,,,,,,1,,,,
L7N0S1,L7N0S1_CIOIN,ENSCINP00000010100,CIOIN,1.0,,,,,,,,,,,,1,,
F6RTT6,F6RTT6_CIOIN,ENSCINP00000028771,CIOIN,1.0,,,,,,,,,,,,1,,
F6PH58,F6PH58_CIOIN,ENSCINP00000001421,CIOIN,1.0,,,,,,,1,,,,,,,
F1P9F8,F1P9F8_CANFA,ENSCAFP00000002981,CANFA,1.0,,,,,,1,,,,,,,,
F1P4P9,F1P4P9_CHICK,ENSGALP00000027078,CHICK,1.0,,,,,,1,,,,,,,,
B7QCR5,B7QCR5_IXOSC,nan,IXOSC,1.0,,,,,,,,,1,,,,,
B2RSU7,B2RSU7_MOUSE,nan,MOUSE,1.0,,,,,,1,,,,,,,,
A9V5K1,A9V5K1_MONBE,nan,MONBE,1.0,,,,,,1,,,,,,,,
F6UF21,F6UF21_MACMU,ENSMMUP00000030087,MACMU,1.0,,,,,,1,,,,,,,,
