ACC,ENTRY,ENS,SPEC,COUNT,InParanoid,InParanoidCore,OMA_Groups,OMA_Pairs,PANTHER8_LDO,RBH,RSD,Orthoinspector,Hieranoid_2,EnsemblCompara_v2,PANTHER8_all,Metaphors,PhylomeDB,EggNOG
C4QEG3,nan,nan,nan,2.0,,,,,,1,,,,,,1,,
A7SZN0,A7SZN0_NEMVE,nan,NEMVE,1.0,,,,,,1,,,,,,,,
C3YQL1,C3YQL1_BRAFL,nan,BRAFL,1.0,,,,,,,,,,,,1,,
C3ZV01,C3ZV01_BRAFL,nan,BRAFL,1.0,,,,,,,,,,,,1,,
F6WNP2,F6WNP2_CIOIN,ENSCINP00000018706,CIOIN,1.0,,,,,,1,,,,,,,,
F6Z354,F6Z354_MACMU,ENSMMUP00000005644,MACMU,1.0,,,,,,1,,,,,,,,
P24557,THAS_HUMAN,nan,HUMAN,1.0,,,,,,1,,,,,,,,
P49430,THAS_RAT,nan,RAT,1.0,,,,,,1,,,,,,,,
Q27465,Q27465_CAEEL,nan,CAEEL,1.0,,,,,,1,,,,,,,,
Q9LQ26,Q9LQ26_ARATH,nan,ARATH,1.0,,,,,,1,,,,,,,,
