ACC,ENTRY,ENS,SPEC,COUNT,InParanoid,InParanoidCore,OMA_Groups,OMA_Pairs,PANTHER8_LDO,RBH,RSD,Orthoinspector,Hieranoid_2,EnsemblCompara_v2,PANTHER8_all,Metaphors,PhylomeDB,EggNOG
C4QPG3,nan,nan,nan,12.0,1,1,1,1,,1,1,1,1,1,,1,1,1
F7B710,F7B710_CIOIN,ENSCINP00000010681,CIOIN,10.0,1,1,1,1,,1,,1,1,1,,1,,1
C3ZCC0,C3ZCC0_BRAFL,nan,BRAFL,10.0,1,1,,1,,1,1,1,1,,,1,1,1
Q5F391,Q5F391_CHICK,nan,CHICK,8.0,,,1,1,,1,1,1,1,,,1,1,
Q17R07,ARFG3_BOVIN,ENSBTAP00000050747,BOVIN,7.0,,,,1,,1,1,1,1,,,1,1,
F6S7N4,F6S7N4_ORNAN,ENSOANP00000006481,ORNAN,6.0,,,,,,,1,1,1,,,1,1,1
nan,nan,ENSPTRP00000024915,PANTR,6.0,,,,,,1,1,1,1,,,1,1,
F7CBA3,F7CBA3_XENTR,ENSXETP00000011114,XENTR,5.0,,,,,,,1,,1,,,1,1,1
E1C2V9,E1C2V9_CHICK,nan,CHICK,5.0,,,,,,,,1,1,,,1,1,1
E1C322,nan,nan,nan,5.0,,,,,,,1,1,1,,,1,1,
H2T645,H2T645_TAKRU,ENSTRUP00000020134,TAKRU,5.0,,,,,,,1,,1,,,1,1,1
nan,nan,ENSMODP00000024829,MONDO,5.0,,,,,,,1,,1,,,1,1,1
F6XWB4,F6XWB4_ORNAN,ENSOANP00000009310,ORNAN,5.0,,,,1,,,,1,1,,,1,1,
Q32PR4,Q32PR4_DANRE,nan,DANRE,5.0,,,,,,,1,,1,,,1,1,1
Q4KLN7,ARFG3_RAT,nan,RAT,4.0,,,,,,,1,,1,,,1,1,
Q8N6H7,ARFG2_HUMAN,nan,HUMAN,4.0,,,,,,,,,1,,,1,1,1
Q99K28,ARFG2_MOUSE,nan,MOUSE,4.0,,,,,,,,,1,,,1,1,1
Q9NP61,ARFG3_HUMAN,nan,HUMAN,4.0,,,,,,,1,,1,,,1,1,
H2Q3I4,H2Q3I4_PANTR,ENSPTRP00000006176,PANTR,4.0,,,,,,,,,1,,,1,1,1
F7HBV2,F7HBV2_MACMU,ENSMMUP00000008389,MACMU,4.0,,,,,,,,,1,,,1,1,1
A6QR32,A6QR32_BOVIN,ENSBTAP00000012592,BOVIN,4.0,,,,,,,,1,1,,,1,1,
F6XXI0,F6XXI0_MACMU,ENSMMUP00000002978,MACMU,4.0,,,,,,,1,,1,,,1,1,
A7UTS6,A7UTS6_ANOGA,nan,ANOGA,4.0,1,,,,,,1,,1,,,1,,
E2QYR7,E2QYR7_CANFA,ENSCAFP00000013095,CANFA,4.0,,,,,,,,,1,,,1,1,1
F6PWY1,F6PWY1_MONDO,ENSMODP00000008518,MONDO,3.0,,,,,,,,,1,,,1,1,
nan,nan,ENSCINP00000029226,CIOIN,3.0,,,,,,,1,,,1,,1,,
Q9VNS2,Q9VNS2_DROME,nan,DROME,3.0,,,,,,,1,,1,,,1,,
Q9D8S3,ARFG3_MOUSE,nan,MOUSE,3.0,,,,,,,,,1,,,1,1,
A9V167,A9V167_MONBE,nan,MONBE,3.0,,,,,,,,,1,,,1,1,
Q6TNW0,Q6TNW0_DANRE,nan,DANRE,3.0,,,,,,,,,1,,,1,1,
B7PHG6,B7PHG6_IXOSC,nan,IXOSC,3.0,,,,,,,1,,1,,,1,,
H2U665,H2U665_TAKRU,ENSTRUP00000032431,TAKRU,3.0,,,,,,,,,1,,,1,1,
D4A8E3,nan,nan,nan,3.0,,,,,,,,,1,,,1,1,
Q09531,YQP4_CAEEL,nan,CAEEL,3.0,,,,,,,1,,1,,,1,,
E2RT72,E2RT72_CANFA,ENSCAFP00000001350,CANFA,3.0,,,,,,,,,1,,,1,1,
Q6CAR0,Q6CAR0_YARLI,nan,YARLI,2.0,,,,,,,,,1,,,,1,
Q0U6C3,Q0U6C3_PHANO,nan,PHANO,2.0,,,,,,1,,,1,,,,,
P38682,GLO3_YEAST,nan,YEAST,2.0,,,,,,,,,1,,,1,,
Q4PH89,Q4PH89_USTMA,nan,USTMA,1.0,,,,,,,,,1,,,,,
Q4QG83,Q4QG83_LEIMA,nan,LEIMA,1.0,,,,,,,,,1,,,,,
B8BQB2,B8BQB2_THAPS,nan,THAPS,1.0,,,,,,,,,1,,,,,
Q5KD38,Q5KD38_CRYNJ,nan,CRYNJ,1.0,,,,,,,,,1,,,,,
Q10367,GLO3_SCHPO,nan,SCHPO,1.0,,,,,,,,,1,,,,,
Q7S8S4,Q7S8S4_NEUCR,nan,NEUCR,1.0,,,,,,,,,1,,,,,
B0XS24,B0XS24_ASPFC,nan,ASPFC,1.0,,,,,,,,,1,,,,,
A9UQ84,A9UQ84_MONBE,nan,MONBE,1.0,,,,,,,,,,,,,,1
A7FA45,A7FA45_SCLS1,nan,SCLS1,1.0,,,,,,,,,1,,,,,
Q5A7M1,Q5A7M1_CANAL,nan,CANAL,1.0,,,,,,,,,1,,,,,
