ACC,ENTRY,ENS,SPEC,COUNT,InParanoid,InParanoidCore,OMA_Groups,OMA_Pairs,PANTHER8_LDO,RBH,RSD,Orthoinspector,Hieranoid_2,EnsemblCompara_v2,PANTHER8_all,Metaphors,PhylomeDB,EggNOG
C4QUE2,nan,nan,nan,10.0,1,1,,,1,1,1,1,,1,1,1,,1
Q5TWX7,Q5TWX7_ANOGA,nan,ANOGA,4.0,,,,,1,1,,1,,,1,,,
B7Q8B1,B7Q8B1_IXOSC,nan,IXOSC,4.0,,1,,,1,1,,,,,1,,,
H2UJV7,H2UJV7_TAKRU,ENSTRUP00000037228,TAKRU,4.0,,,,,1,1,,,,,1,,,1
C3YQC8,C3YQC8_BRAFL,nan,BRAFL,4.0,,,,,1,1,,,,,1,,,1
D3ZNI5,D3ZNI5_RAT,nan,RAT,3.0,,,,,1,,,,,,1,,,1
Q8AXV6,HEY1_DANRE,nan,DANRE,3.0,,,,,1,,,,,,1,,,1
Q7KM13,HEY_DROME,nan,DROME,3.0,,,,,1,1,,,,,1,,,
F7FUU4,F7FUU4_MONDO,ENSMODP00000022071,MONDO,3.0,,1,,,,1,,,,,1,,,
F7G408,F7G408_MONDO,ENSMODP00000008245,MONDO,3.0,,,,,1,,,1,,,1,,,
G1K293,G1K293_CANFA,ENSCAFP00000012336,CANFA,3.0,,,,,1,1,,,,,1,,,
G1K3D1,G1K3D1_XENTR,ENSXETP00000017194,XENTR,3.0,,,,,1,,,,,,1,,,1
nan,nan,ENSGALP00000025335,CHICK,3.0,,,,,1,1,,,,,1,,,
F6UN71,F6UN71_XENTR,ENSXETP00000047237,XENTR,2.0,,,,,,1,,,,,1,,,
G3V7S6,G3V7S6_RAT,ENSRNOP00000018718,RAT,2.0,,,,,,1,,,,,1,,,
F7HKP0,F7HKP0_MACMU,ENSMMUP00000003681,MACMU,2.0,,,,,1,,,,,,1,,,
A7F4Z2,A7F4Z2_SCLS1,nan,SCLS1,2.0,,,,,1,,,,,,1,,,
F6ZQ55,F6ZQ55_ORNAN,ENSOANP00000015850,ORNAN,2.0,,,,,,1,,,,,1,,,
F6YUA8,F6YUA8_MACMU,ENSMMUP00000012417,MACMU,2.0,,,,,,1,,,,,1,,,
Q8AXV5,HEYL_DANRE,nan,DANRE,2.0,,,,,,1,,,,,1,,,
H2UCJ9,H2UCJ9_TAKRU,ENSTRUP00000034668,TAKRU,2.0,,,,,,,,,,,1,,,1
H2QTP5,H2QTP5_PANTR,ENSPTRP00000031710,PANTR,2.0,,,,,,1,,,,,1,,,
Q6C2U3,Q6C2U3_YARLI,nan,YARLI,2.0,,,,,1,,,,,,1,,,
P20824,NUC1_NEUCR,nan,NEUCR,2.0,,,,,1,,,,,,1,,,
F6QRK3,F6QRK3_CIOIN,ENSCINP00000013234,CIOIN,2.0,,,,,1,,,,,,1,,,
Q5A4A8,Q5A4A8_CANAL,nan,CANAL,2.0,,,,,1,,,,,,1,,,
A7SMU2,A7SMU2_NEMVE,nan,NEMVE,2.0,,,,,1,,,,,,1,,,
B0Y326,B0Y326_ASPFC,nan,ASPFC,2.0,,,,,1,,,,,,1,,,
Q9Y5J3,HEY1_HUMAN,nan,HUMAN,2.0,,,,,1,,,,,,1,,,
Q9XEF0,BH051_ARATH,nan,ARATH,2.0,,,,,1,,,,,,1,,,
C3ZYV2,C3ZYV2_BRAFL,nan,BRAFL,2.0,,,,,,,,,,,1,1,,
Q9WV93,HEY1_MOUSE,nan,MOUSE,2.0,,,,,1,,,,,,1,,,
E1BEV8,E1BEV8_BOVIN,ENSBTAP00000001214,BOVIN,2.0,,,,,,1,,,,,1,,,
Q9UBP5,HEY2_HUMAN,nan,HUMAN,2.0,,,,,,1,,,,,1,,,
Q9QUS4,HEY2_MOUSE,nan,MOUSE,2.0,,,,,,1,,,,,1,,,
Q2KIN4,HEY1_BOVIN,ENSBTAP00000020864,BOVIN,2.0,,,,,1,,,,,,1,,,
Q0V6S7,Q0V6S7_PHANO,nan,PHANO,2.0,,,,,1,,,,,,1,,,
F6QGP0,F6QGP0_ORNAN,ENSOANP00000001257,ORNAN,2.0,,,,,1,,,,,,1,,,
H2QWB8,H2QWB8_PANTR,ENSPTRP00000034843,PANTR,2.0,,,,,1,,,,,,1,,,
Q6W4T8,Q6W4T8_DANRE,nan,DANRE,1.0,,,,,,,,,,,,1,,
Q6QB00,HELT_DANRE,nan,DANRE,1.0,,,,,,,,,,,1,,,
A6NFD8,HELT_HUMAN,nan,HUMAN,1.0,,,,,,,,,,,1,,,
Q7QFU3,Q7QFU3_ANOGA,nan,ANOGA,1.0,,,,,,,,,,,1,,,
Q7TS99,HELT_MOUSE,nan,MOUSE,1.0,,,,,,,,,,,1,,,
Q8VIH5,Q8VIH5_RAT,nan,RAT,1.0,,,,,,,,,,,1,,,
Q9DBX7,HEYL_MOUSE,nan,MOUSE,1.0,,,,,,,,,,,1,,,
Q9DF72,Q9DF72_DANRE,nan,DANRE,1.0,,,,,,,,,,,,1,,
Q9I9L0,HEY2_DANRE,nan,DANRE,1.0,,,,,,,,,,,1,,,
Q9NQ87,HEYL_HUMAN,nan,HUMAN,1.0,,,,,,,,,,,1,,,
Q9VGZ5,Q9VGZ5_DROME,nan,DROME,1.0,,,,,,,,,,,1,,,
Q8IJP1,Q8IJP1_PLAF7,nan,PLAF7,1.0,,,,,,,,,,1,,,,
G3X6Q3,G3X6Q3_BOVIN,ENSBTAP00000011453,BOVIN,1.0,,,,,,,,,,,1,,,
Q5A456,Q5A456_CANAL,nan,CANAL,1.0,,,,,,,,,,,1,,,
E2R9J1,E2R9J1_CANFA,ENSCAFP00000004580,CANFA,1.0,,,,,,,,,,,1,,,
B7PGM4,B7PGM4_IXOSC,nan,IXOSC,1.0,,,,,,,,,,,1,,,
C3Y9T0,C3Y9T0_BRAFL,nan,BRAFL,1.0,1,,,,,,,,,,,,,
C3Z2R6,C3Z2R6_BRAFL,nan,BRAFL,1.0,,,,,,,,,,,1,,,
