ACC,ENTRY,ENS,SPEC,COUNT,InParanoid,InParanoidCore,OMA_Groups,OMA_Pairs,PANTHER8_LDO,RBH,RSD,Orthoinspector,Hieranoid_2,EnsemblCompara_v2,PANTHER8_all,Metaphors,PhylomeDB,EggNOG
A2DCS0,A2DCS0_TRIVA,nan,TRIVA,1.0,,,,,,,,,,1,,,,
A2DL15,A2DL15_TRIVA,nan,TRIVA,1.0,,,,,,,,,,1,,,,
A2E2Z3,A2E2Z3_TRIVA,nan,TRIVA,1.0,,,,,,,,,,1,,,,
A2FCN6,A2FCN6_TRIVA,nan,TRIVA,1.0,,,,,,,,,,1,,,,
A7SNG7,A7SNG7_NEMVE,nan,NEMVE,1.0,,,,,,,,,,1,,,,
C3Z7N7,C3Z7N7_BRAFL,nan,BRAFL,1.0,,,,,,,,,,1,,,,
E1C3J2,nan,nan,nan,1.0,,,,,,,,,,1,,,,
F7FVI0,F7FVI0_ORNAN,ENSOANP00000021627,ORNAN,1.0,,,,,,,,,,1,,,,
H2RLY2,H2RLY2_TAKRU,ENSTRUP00000001145,TAKRU,1.0,,,,,,,,,,1,,,,
P25009,PUC1_SCHPO,nan,SCHPO,1.0,,,,,,,,,,1,,,,
