ACC,ENTRY,ENS,SPEC,COUNT,InParanoid,InParanoidCore,OMA_Groups,OMA_Pairs,PANTHER8_LDO,RBH,RSD,Orthoinspector,Hieranoid_2,EnsemblCompara_v2,PANTHER8_all,Metaphors,PhylomeDB,EggNOG
Q21769,nan,nan,nan,14.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
A7RVM8,A7RVM8_NEMVE,nan,NEMVE,9.0,,1,,,1,1,1,1,,1,1,1,,1
Q969R5,LMBL2_HUMAN,nan,HUMAN,8.0,,1,,,1,1,1,1,,,1,1,1,
E7F7F5,E7F7F5_DANRE,ENSDARP00000080522,DANRE,8.0,,1,,,,1,1,1,,,1,1,1,1
Q3MIF2,LMBL2_RAT,nan,RAT,8.0,,1,,,1,1,1,1,,,1,1,1,
Q5ZLC2,Q5ZLC2_CHICK,nan,CHICK,8.0,,1,,,1,1,1,1,,,1,1,1,
B7YZV6,B7YZV6_DROME,nan,DROME,8.0,,,,,1,1,1,1,,,1,1,1,1
P59178,LMBL2_MOUSE,nan,MOUSE,8.0,,1,,,1,1,1,1,,,1,1,1,
F7ALA8,F7ALA8_CIOIN,ENSCINP00000008692,CIOIN,8.0,,1,,1,1,1,1,1,,,1,,,1
Q7Q0R1,Q7Q0R1_ANOGA,nan,ANOGA,8.0,,1,,,1,1,1,1,,,1,1,,1
E2RC12,E2RC12_CANFA,ENSCAFP00000001579,CANFA,7.0,,1,,,1,1,1,1,,,1,1,,
F7DJR9,F7DJR9_ORNAN,ENSOANP00000021980,ORNAN,7.0,,1,,,1,1,1,1,,,1,1,,
H2QLS1,H2QLS1_PANTR,ENSPTRP00000024842,PANTR,7.0,,1,,,1,1,1,1,,,1,1,,
H2SQS6,H2SQS6_TAKRU,ENSTRUP00000014763,TAKRU,6.0,,1,,,,1,1,1,,,1,,,1
F7AME3,F7AME3_MACMU,ENSMMUP00000018606,MACMU,6.0,,1,,,1,1,1,1,,,1,,,
Q6DIN3,MBTD1_XENTR,ENSXETP00000002764,XENTR,6.0,,1,,,,1,1,1,,,1,,,1
Q1JQD9,LMBL2_BOVIN,ENSBTAP00000037474,BOVIN,6.0,,1,,,1,1,1,1,,,1,,,
F7FB63,F7FB63_MONDO,ENSMODP00000016374,MONDO,5.0,,,,,1,1,1,1,,,1,,,
Q05BQ5,MBTD1_HUMAN,nan,HUMAN,5.0,,,,,,,,1,,,1,1,1,1
Q6PFI2,Q6PFI2_DANRE,nan,DANRE,5.0,,,,,1,,,1,,,1,1,1,
E1BZS3,E1BZS3_CHICK,nan,CHICK,5.0,,,,,,,,1,,,1,1,1,1
B7PB16,B7PB16_IXOSC,nan,IXOSC,5.0,1,,,,,,,1,,,,1,1,1
B7QC19,B7QC19_IXOSC,nan,IXOSC,5.0,,,1,1,,,1,1,1,,,,,
A7SN41,A7SN41_NEMVE,nan,NEMVE,4.0,,,1,1,,,,1,,,1,,,
E2RBZ1,E2RBZ1_CANFA,ENSCAFP00000025516,CANFA,4.0,,,,,,,,1,,,1,1,,1
F6PKW2,F6PKW2_MONDO,ENSMODP00000015732,MONDO,4.0,,,,,,,,1,,,1,1,,1
H2V382,H2V382_TAKRU,ENSTRUP00000043663,TAKRU,3.0,,,,,1,,,1,,,1,,,
C3YZA3,C3YZA3_BRAFL,nan,BRAFL,3.0,,,,,,,,,,,,1,1,1
H2RP82,H2RP82_TAKRU,ENSTRUP00000001945,TAKRU,3.0,,,,,,,,1,,,1,,,1
Q5NC75,Q5NC75_MOUSE,nan,MOUSE,3.0,,,,,,,,,,,,1,1,1
B7PP01,B7PP01_IXOSC,nan,IXOSC,3.0,,,,,,1,,1,,,,1,,
H2QDG3,H2QDG3_PANTR,ENSPTRP00000016001,PANTR,3.0,,,,,,,,1,,,1,,,1
C3ZZ10,C3ZZ10_BRAFL,nan,BRAFL,3.0,,,,,,1,1,1,,,,,,
F1MGV0,F1MGV0_BOVIN,ENSBTAP00000034827,BOVIN,3.0,,,,,,,,1,,,1,,,1
C3XQN1,C3XQN1_BRAFL,nan,BRAFL,2.0,,1,,,,,,1,,,,,,
B7PTD5,B7PTD5_IXOSC,nan,IXOSC,2.0,,,,,,,,1,,,,1,,
C4PYQ3,nan,nan,nan,2.0,,,,,,1,,1,,,,,,
C4QH81,nan,nan,nan,2.0,,,,,1,,,,,,1,,,
Q9Y468,LMBL1_HUMAN,nan,HUMAN,2.0,,,,,,,,1,,,,1,,
Q8NA19,LMBL4_HUMAN,nan,HUMAN,2.0,,,,,,,,1,,,,1,,
F6YWK4,F6YWK4_ORNAN,ENSOANP00000005066,ORNAN,2.0,,,,,,,,,,,,1,,1
H2UUR8,H2UUR8_TAKRU,ENSTRUP00000040693,TAKRU,1.0,,,,,,,,,,1,,,,
H2SDN0,H2SDN0_TAKRU,ENSTRUP00000010511,TAKRU,1.0,,,,,,,,1,,,,,,
H2T7N3,H2T7N3_TAKRU,ENSTRUP00000020673,TAKRU,1.0,,,,,,,,1,,,,,,
H2TYJ2,H2TYJ2_TAKRU,ENSTRUP00000029751,TAKRU,1.0,,,,,,,,1,,,,,,
A2A5N8,LMBL1_MOUSE,nan,MOUSE,1.0,,,,,,,,1,,,,,,
Q1RLH6,Q1RLH6_CIOIN,ENSCINP00000008413,CIOIN,1.0,,,,,,,,,,,,1,,
Q54B63,Q54B63_DICDI,nan,DICDI,1.0,,,,,,,,,,,1,,,
Q5RGR0,Q5RGR0_DANRE,nan,DANRE,1.0,,,,,,,,1,,,,,,
Q5VUG0,SMBT2_HUMAN,nan,HUMAN,1.0,,,,,,,,1,,,,,,
Q80VG1,SCML4_MOUSE,nan,MOUSE,1.0,,,,,,,,,,1,,,,
Q8K214,SCMH1_MOUSE,nan,MOUSE,1.0,,,,,,,,,,,,1,,
Q8N228,SCML4_HUMAN,nan,HUMAN,1.0,,,,,,,,,,1,,,,
Q96GD3,SCMH1_HUMAN,nan,HUMAN,1.0,,,,,,,,,,,,1,,
Q96JM7,LMBL3_HUMAN,nan,HUMAN,1.0,,,,,,,,,,,,1,,
Q9JMD2,SMBT1_RAT,nan,RAT,1.0,,,,,,,,1,,,,,,
Q9UHJ3,SMBT1_HUMAN,nan,HUMAN,1.0,,,,,,,,1,,,,,,
Q9VB52,Q9VB52_DROME,nan,DROME,1.0,,,,,,,,,,,,1,,
nan,nan,ENSBTAP00000053763,BOVIN,1.0,,,,,,,,1,,,,,,
nan,nan,ENSCAFP00000012949,CANFA,1.0,,,,,,,,1,,,,,,
nan,nan,ENSOANP00000024313,ORNAN,1.0,,,,,,,,1,,,,,,
H2R712,H2R712_PANTR,ENSPTRP00000049764,PANTR,1.0,,,,,,,,,,1,,,,
F7DXT5,F7DXT5_MACMU,ENSMMUP00000016660,MACMU,1.0,,,,,,,,,,,,,,1
H2QKD6,H2QKD6_PANTR,ENSPTRP00000023196,PANTR,1.0,,,,,,,,1,,,,,,
F1NLU1,F1NLU1_CHICK,ENSGALP00000002052,CHICK,1.0,,,,,,,,,,,,1,,
F1MMQ1,F1MMQ1_BOVIN,ENSBTAP00000053475,BOVIN,1.0,,,,,,,,1,,,,,,
F1M8A7,F1M8A7_RAT,ENSRNOP00000033062,RAT,1.0,,,,,,,,,,,,1,,
E2RLD3,E2RLD3_CANFA,ENSCAFP00000013658,CANFA,1.0,,,,,,,,1,,,,,,
E2RGV6,E2RGV6_CANFA,ENSCAFP00000027430,CANFA,1.0,,,,,,,,1,,,,,,
E2RGC5,E2RGC5_CANFA,ENSCAFP00000018840,CANFA,1.0,,,,,,,,,,,,1,,
E1C0C2,E1C0C2_CHICK,nan,CHICK,1.0,,,,,,,,,,1,,,,
E1BTX5,E1BTX5_CHICK,nan,CHICK,1.0,,,,,,,,1,,,,,,
E1BMP1,E1BMP1_BOVIN,ENSBTAP00000007770,BOVIN,1.0,,,,,,,,1,,,,,,
D4ADH6,nan,nan,nan,1.0,,,,,,,,,,,,1,,
D4A1M3,nan,nan,nan,1.0,,,,,,,,,,1,,,,
D3ZWK4,LMBL1_RAT,nan,RAT,1.0,,,,,,,,1,,,,,,
D3ZRL8,D3ZRL8_RAT,ENSRNOP00000004968,RAT,1.0,,,,,,,,,,,,1,,
C4PYQ2,nan,nan,nan,1.0,,,,,,,,1,,,,,,
C3Y1B4,C3Y1B4_BRAFL,nan,BRAFL,1.0,,,,,,,,1,,,,,,
B1AVB4,B1AVB4_MOUSE,nan,MOUSE,1.0,,,,,,,,,,,,1,,
F1N3K5,F1N3K5_BOVIN,ENSBTAP00000007486,BOVIN,1.0,,,,,,,,,,1,,,,
F1PDM5,F1PDM5_CANFA,ENSCAFP00000007631,CANFA,1.0,,,,,,,,1,,,,,,
H2QE83,H2QE83_PANTR,ENSPTRP00000016759,PANTR,1.0,,,,,,,,1,,,,,,
F1QWE7,F1QWE7_DANRE,ENSDARP00000101801,DANRE,1.0,,,,,,,,1,,,,,,
F7HF90,F7HF90_MACMU,ENSMMUP00000008865,MACMU,1.0,,,,,,,,1,,,,,,
F7GUG5,F7GUG5_MACMU,ENSMMUP00000021414,MACMU,1.0,,,,,,,,1,,,,,,
F7GLP9,F7GLP9_MONDO,ENSMODP00000026808,MONDO,1.0,,,,,,,,1,,,,,,
F7GHF3,F7GHF3_MACMU,ENSMMUP00000033301,MACMU,1.0,,,,,,,,,,1,,,,
F7GAD2,F7GAD2_MACMU,ENSMMUP00000019076,MACMU,1.0,,,,,,,,1,,,,,,
F7FTY7,F7FTY7_MACMU,ENSMMUP00000040382,MACMU,1.0,,,,,,,,,,,,1,,
F7FJW6,F7FJW6_MACMU,ENSMMUP00000028322,MACMU,1.0,,,,,,,,1,,,,,,
F7DX49,F7DX49_XENTR,ENSXETP00000049711,XENTR,1.0,,,,,,,,1,,,,,,
F7C3Y4,F7C3Y4_MACMU,ENSMMUP00000006741,MACMU,1.0,,,,,,,,,,,,1,,
F7AKJ9,F7AKJ9_MONDO,ENSMODP00000022462,MONDO,1.0,,,,,,,,,,1,,,,
F7ABT3,F7ABT3_MONDO,ENSMODP00000004493,MONDO,1.0,,,,,,,,1,,,,,,
F6YMJ2,F6YMJ2_XENTR,ENSXETP00000026446,XENTR,1.0,,,,,,,,1,,,,,,
F6YKM3,F6YKM3_ORNAN,ENSOANP00000025119,ORNAN,1.0,,,,,,,,,,1,,,,
F6QYE8,F6QYE8_MACMU,ENSMMUP00000025229,MACMU,1.0,,,,,,,,1,,,,,,
F6QQA0,F6QQA0_CIOIN,ENSCINP00000025543,CIOIN,1.0,,,,,,,,,,,,1,,
nan,nan,ENSXETP00000002449,XENTR,1.0,,,,,,,,,,1,,,,
